Epoch,Loss,TestAcc,TestAuc
1,0.8021,0.6667,0.2656
2,0.7347,0.6667,0.2656
3,0.7685,0.6667,0.2656
4,0.6804,0.6667,0.2578
5,0.7039,0.6667,0.2656
6,0.6593,0.6667,0.3203
7,0.6578,0.6667,0.3516
8,0.6766,0.6667,0.2891
9,0.6812,0.6667,0.2422
10,0.6856,0.6667,0.2109
11,0.6589,0.6667,0.2109
12,0.6584,0.6667,0.2031
13,0.6748,0.6667,0.2031
14,0.6577,0.6667,0.1875
15,0.6546,0.6667,0.1953
16,0.6423,0.6667,0.1719
17,0.6532,0.6667,0.1797
18,0.6909,0.6667,0.1875
19,0.6667,0.6667,0.1953
20,0.6778,0.6667,0.2344
21,0.6615,0.6667,0.2578
22,0.7278,0.6667,0.1875
23,0.6687,0.6667,0.1797
24,0.6536,0.6667,0.1719
25,0.6616,0.6667,0.1953
26,0.6539,0.6667,0.2109
27,0.6632,0.6667,0.2188
28,0.6638,0.6667,0.2344
29,0.6676,0.6667,0.2344
30,0.6742,0.6667,0.2344
31,0.6325,0.6667,0.2500
32,0.6600,0.6667,0.2578
33,0.6937,0.6667,0.2578
34,0.6789,0.6667,0.2656
35,0.6619,0.6667,0.2656
36,0.6656,0.6667,0.2656
37,0.6609,0.6667,0.2500
38,0.6798,0.6667,0.2578
39,0.6923,0.6667,0.2578
40,0.6709,0.6667,0.2578
41,0.6699,0.6667,0.2578
42,0.6820,0.6667,0.2656
43,0.6626,0.6667,0.2656
44,0.6783,0.6667,0.2656
45,0.6535,0.6667,0.2656
46,0.6600,0.6667,0.2812
47,0.6701,0.6667,0.2734
48,0.6802,0.6667,0.2812
49,0.6625,0.6667,0.2812
50,0.6704,0.6667,0.3047
51,0.6650,0.6667,0.3125
52,0.6550,0.6667,0.4062
53,0.6544,0.6667,0.3125
54,0.6685,0.6667,0.3125
55,0.6589,0.6667,0.3125
56,0.6573,0.6667,0.3203
57,0.6719,0.6667,0.3359
58,0.6749,0.6667,0.3516
59,0.6631,0.6667,0.3438
60,0.8289,0.6667,0.2578
61,0.6667,0.6667,0.2188
62,0.6586,0.6667,0.2031
63,0.6624,0.6667,0.2031
64,0.6503,0.6667,0.1875
65,0.6676,0.6667,0.1875
66,0.6616,0.6667,0.1875
67,0.6602,0.6667,0.1797
68,0.6531,0.6667,0.1719
69,0.6721,0.6667,0.1719
70,0.6839,0.6667,0.1719
71,0.6592,0.6667,0.1797
72,0.6656,0.6667,0.1875
73,0.6499,0.6667,0.1797
74,0.6619,0.6667,0.1797
75,0.6591,0.6667,0.1797
76,0.6555,0.6667,0.1797
77,0.6781,0.6667,0.1797
78,0.6573,0.6667,0.1797
79,0.6607,0.6667,0.1797
80,0.6558,0.6667,0.1797
81,0.6663,0.6667,0.1875
82,0.6701,0.6667,0.1953
83,0.6617,0.6667,0.2031
84,0.6600,0.6667,0.2109
85,0.6670,0.6667,0.2109
86,0.6591,0.6667,0.2109
87,0.6597,0.6667,0.2109
88,0.6723,0.6667,0.2109
89,0.6636,0.6667,0.2109
90,0.6532,0.6667,0.2266
91,0.6541,0.6667,0.2266
92,0.6721,0.6667,0.3750
93,0.6643,0.6667,0.6328
94,0.6696,0.6667,0.2422
95,0.6588,0.6667,0.2344
96,0.6724,0.6667,0.2188
97,0.6619,0.6667,0.2109
98,0.6725,0.6667,0.2109
99,0.6747,0.6667,0.2422
100,0.6527,0.6667,0.7109
