Epoch,Loss,TestAcc,TestAuc
1,1.8776,0.3684,0.5952
2,0.9915,0.3684,0.5833
3,1.1068,0.3684,0.5833
4,2.6168,0.3684,0.5952
5,1.0549,0.3684,0.5952
6,0.7814,0.3684,0.5952
7,0.6446,0.3684,0.5952
8,0.7466,0.3684,0.5952
9,1.8430,0.3684,0.6071
10,0.7206,0.3684,0.6071
11,0.7206,0.3684,0.5952
12,0.8431,0.3684,0.5952
13,0.6235,0.3684,0.5833
14,0.7883,0.3684,0.5952
15,0.6695,0.3684,0.5952
16,0.6497,0.3684,0.5952
17,0.7118,0.3684,0.5952
18,0.6801,0.3684,0.5952
19,0.6908,0.3684,0.5952
20,0.6669,0.3684,0.6071
21,0.7184,0.3684,0.6071
22,0.6524,0.3684,0.6071
23,0.6719,0.3684,0.6071
24,0.6683,0.3684,0.6310
25,0.6546,0.3684,0.6429
26,0.6562,0.3684,0.6667
27,0.6616,0.3684,0.6667
28,0.7013,0.3684,0.6667
29,0.6460,0.3684,0.6667
30,0.7366,0.3684,0.6429
31,0.6803,0.3684,0.7024
32,0.6763,0.3684,0.6786
33,0.7370,0.3684,0.6667
34,0.8214,0.3684,0.6429
35,0.6997,0.3684,0.6071
36,0.6628,0.3684,0.6071
37,0.6637,0.3684,0.6071
38,0.6955,0.3684,0.6071
39,0.7016,0.3684,0.6071
40,0.6683,0.3684,0.6071
41,0.6862,0.3684,0.6071
42,0.6887,0.3684,0.6071
43,0.6779,0.3684,0.6071
44,0.7024,0.3684,0.6310
45,0.6573,0.3684,0.6310
46,0.6716,0.3684,0.6310
47,0.6763,0.3684,0.6310
48,0.6613,0.3684,0.6310
49,0.6712,0.3684,0.6310
50,0.6718,0.3684,0.6310
51,0.6634,0.3684,0.6310
52,0.6631,0.3684,0.6310
53,0.6528,0.3684,0.6190
54,0.6580,0.3684,0.6190
55,0.6684,0.3684,0.6190
56,0.6652,0.3684,0.6190
57,0.6604,0.3684,0.6190
58,0.6628,0.3684,0.6190
59,0.6577,0.3684,0.6071
60,0.6833,0.3684,0.6071
61,0.6702,0.3684,0.6190
62,0.6613,0.3684,0.6548
63,0.6595,0.3684,0.6667
64,0.7384,0.3684,0.6548
65,0.6495,0.3684,0.6429
66,0.6835,0.3684,0.6548
67,0.6672,0.3684,0.6310
68,0.6570,0.3684,0.6190
69,0.6585,0.3684,0.6071
70,0.6566,0.3684,0.6071
71,0.6776,0.3684,0.6071
72,0.6589,0.3684,0.6190
73,0.6675,0.3684,0.6190
74,0.7504,0.3684,0.6190
75,0.6693,0.3684,0.6190
76,0.6658,0.3684,0.6190
77,0.6684,0.3684,0.6190
78,0.7028,0.3684,0.6310
79,0.6781,0.3684,0.6548
80,0.6789,0.3684,0.6667
81,0.6766,0.3684,0.6548
82,0.6782,0.3684,0.6429
83,0.6597,0.3684,0.6548
84,1.1028,0.3684,0.6429
85,0.6521,0.3684,0.6667
86,0.6767,0.3684,0.6667
87,0.6850,0.3684,0.6667
88,0.6582,0.3684,0.6667
89,0.6942,0.3684,0.6667
90,0.6737,0.3684,0.6667
91,0.6685,0.3684,0.6667
92,0.6827,0.3684,0.6667
93,0.6678,0.3684,0.6667
94,0.6852,0.3684,0.6667
95,0.6384,0.3684,0.6667
96,0.6622,0.3684,0.6667
97,0.6732,0.3684,0.6667
98,0.6514,0.3684,0.6667
99,0.6862,0.3684,0.6667
100,0.6724,0.3684,0.6667
