Epoch,Loss,TestAcc,TestAuc
1,1.2744,0.8235,0.6667
2,0.8513,0.8235,0.3810
3,0.7996,0.8235,0.3571
4,0.9071,0.8235,0.6667
5,0.7272,0.8824,0.7381
6,0.9659,0.8824,0.8095
7,0.7258,0.8824,0.8333
8,1.1374,0.8824,0.8333
9,0.8023,0.8235,0.7381
10,0.8183,0.8235,0.7381
11,0.7971,0.8235,0.6905
12,0.7202,0.8235,0.7143
13,0.7661,0.8235,0.7381
14,0.6716,0.8235,0.8571
15,0.7178,0.8824,0.7857
16,0.7241,0.8824,0.7857
17,0.7457,0.8824,0.7857
18,0.6765,0.8235,0.8571
19,0.6651,0.8235,0.7143
20,0.7105,0.8235,0.6667
21,0.6716,0.8235,0.6429
22,0.6598,0.8235,0.5714
23,0.6545,0.8235,0.5000
24,0.6805,0.8235,0.4524
25,0.6872,0.8235,0.4286
26,0.6235,0.8235,0.4286
27,0.9968,0.8235,0.5476
28,0.8836,0.8235,0.7143
29,0.6833,0.8235,0.8095
30,0.6548,0.7647,0.7619
31,0.6880,0.7647,0.7381
32,0.6447,0.7647,0.7381
33,0.7302,0.8824,0.7619
34,0.7112,0.8235,0.7857
35,0.6633,0.8235,0.7857
36,0.6579,0.8235,0.8333
37,0.6666,0.8235,0.8095
38,0.6733,0.8235,0.8333
39,0.6896,0.8235,0.8571
40,0.6900,0.8235,0.8333
41,0.6704,0.8235,0.8333
42,0.7060,0.8235,0.8333
43,0.6383,0.8235,0.8810
44,0.6483,0.8235,0.8571
45,0.6567,0.8235,0.8333
46,0.6737,0.8235,0.8095
47,0.6647,0.8235,0.7381
48,0.7264,0.8235,0.6429
49,0.7174,0.8235,0.6667
50,0.6774,0.8235,0.6667
51,0.6818,0.8235,0.6429
52,0.6576,0.8235,0.5714
53,0.6448,0.8235,0.3333
54,0.6361,0.8235,0.3333
55,0.6557,0.8235,0.3333
56,0.6735,0.8235,0.2857
57,0.6606,0.8235,0.3333
58,0.6687,0.8235,0.3095
59,0.6637,0.8235,0.2857
60,0.8082,0.8235,0.3571
61,0.6780,0.8235,0.3333
62,0.6604,0.8235,0.3333
63,0.6594,0.8235,0.3333
64,0.6600,0.8235,0.3095
65,0.6717,0.8235,0.3333
66,0.6419,0.8235,0.3333
67,0.8842,0.8235,0.3333
68,0.6805,0.8235,0.3571
69,0.6393,0.8235,0.4048
70,0.7158,0.8235,0.3571
71,0.6899,0.8235,0.3095
72,0.6700,0.8235,0.3333
73,0.6877,0.8235,0.3095
74,0.6507,0.8235,0.3333
75,0.6614,0.8235,0.3095
76,0.6509,0.8235,0.3571
77,0.6526,0.8235,0.3571
78,0.6876,0.8235,0.3571
79,0.6477,0.8235,0.3571
80,0.6381,0.8235,0.3333
81,0.6550,0.8235,0.3095
82,0.6481,0.8235,0.3333
83,0.6585,0.8235,0.3095
84,0.6448,0.8235,0.3333
85,0.6626,0.8235,0.3333
86,0.6639,0.8235,0.3333
87,0.6895,0.8235,0.3333
88,0.6636,0.8235,0.3333
89,0.6565,0.8235,0.3571
90,0.6747,0.8235,0.4048
91,0.6810,0.8235,0.4048
92,0.7089,0.8235,0.3571
93,0.6640,0.8235,0.3810
94,0.6704,0.8235,0.4286
95,0.6498,0.8235,0.4524
96,0.6558,0.8235,0.4524
97,0.6480,0.8235,0.4286
98,0.6316,0.8235,0.4524
99,0.6550,0.8235,0.4286
100,0.6498,0.8235,0.4524
