Epoch,Loss,TestAcc,TestAuc
1,1.9920,0.4615,0.3810
2,0.9875,0.5385,0.6429
3,0.8190,0.5385,0.6429
4,0.8335,0.5385,0.6429
5,0.7741,0.5385,0.6429
6,0.8389,0.5385,0.6429
7,0.8978,0.5385,0.6429
8,0.6761,0.5385,0.6429
9,0.7664,0.5385,0.6429
10,0.6632,0.5385,0.6429
11,0.7296,0.5385,0.6667
12,0.7303,0.5385,0.7619
13,0.7644,0.5385,0.7143
14,0.7627,0.5385,0.7381
15,0.6375,0.5385,0.6667
16,0.6964,0.5385,0.6429
17,0.7155,0.5385,0.6429
18,0.6955,0.5385,0.6429
19,0.6526,0.5385,0.6429
20,0.7024,0.5385,0.6429
21,0.6928,0.5385,0.6429
22,0.6745,0.5385,0.6429
23,0.6965,0.5385,0.6429
24,0.6580,0.5385,0.6429
25,0.7027,0.5385,0.6429
26,0.6730,0.5385,0.6429
27,0.6675,0.5385,0.6429
28,0.6581,0.5385,0.6429
29,0.6727,0.5385,0.6429
30,0.6878,0.5385,0.6429
31,0.6790,0.5385,0.6429
32,0.6646,0.5385,0.6429
33,0.6623,0.5385,0.6429
34,0.6966,0.5385,0.6429
35,0.7062,0.5385,0.6429
36,0.6711,0.5385,0.6429
37,0.6781,0.5385,0.6429
38,0.6941,0.5385,0.6190
39,0.6770,0.5385,0.6190
40,0.6870,0.5385,0.6190
41,0.6739,0.5385,0.6190
42,0.6830,0.5385,0.6190
43,0.6710,0.5385,0.6190
44,0.6909,0.5385,0.6190
45,0.6686,0.5385,0.6190
46,0.6515,0.5385,0.6190
47,0.6414,0.5385,0.6190
48,0.6532,0.5385,0.6190
49,0.6599,0.5385,0.6190
50,0.6918,0.5385,0.6190
51,0.6919,0.5385,0.6190
52,0.6835,0.5385,0.6190
53,0.6670,0.5385,0.6190
54,0.6513,0.5385,0.6190
55,0.6707,0.5385,0.6190
56,0.6796,0.5385,0.6190
57,0.6695,0.5385,0.6190
58,0.6773,0.5385,0.6190
59,0.6532,0.5385,0.6190
60,0.6578,0.5385,0.6190
61,0.6594,0.5385,0.6190
62,0.6871,0.5385,0.6190
63,0.6953,0.5385,0.6190
64,0.6768,0.5385,0.6190
65,0.6718,0.5385,0.6190
66,0.6724,0.5385,0.6190
67,0.6734,0.5385,0.6190
68,0.6781,0.5385,0.6190
69,0.6717,0.5385,0.4762
70,0.6816,0.5385,0.5476
71,0.6733,0.5385,0.4286
72,0.6635,0.5385,0.5238
73,0.6763,0.5385,0.4524
74,0.6813,0.5385,0.4048
75,0.6803,0.5385,0.5238
76,0.6650,0.5385,0.5000
77,0.6823,0.5385,0.6190
78,0.6879,0.5385,0.6190
79,0.6755,0.5385,0.6190
80,0.6739,0.5385,0.6190
81,0.6709,0.5385,0.6190
82,0.6745,0.5385,0.6190
83,0.6741,0.5385,0.6190
84,0.6830,0.5385,0.6190
85,0.6660,0.5385,0.6190
86,0.6680,0.5385,0.6190
87,0.6732,0.5385,0.6190
88,0.6722,0.5385,0.6190
89,0.6841,0.5385,0.6190
90,0.6836,0.5385,0.6190
91,0.6686,0.5385,0.6190
92,0.6760,0.5385,0.6190
93,0.6896,0.5385,0.6190
94,0.6705,0.5385,0.6190
95,0.6669,0.5385,0.5714
96,0.6730,0.5385,0.5000
97,0.6626,0.5385,0.5000
98,0.6626,0.5385,0.3571
99,0.6705,0.5385,0.3095
100,0.6640,0.5385,0.2857
