Epoch,Loss,TestAcc,TestAuc
1,0.5801,0.9118,0.5699
2,0.4811,0.9118,0.5699
3,0.4734,0.9118,0.5699
4,0.4233,0.9118,0.5699
5,0.4787,0.9118,0.5699
6,0.4507,0.9118,0.5806
7,0.4617,0.9118,0.5806
8,0.4506,0.9118,0.5806
9,0.4704,0.9118,0.5806
10,0.4366,0.9118,0.5806
11,0.4218,0.9118,0.5806
12,0.4701,0.9118,0.5806
13,0.4567,0.9118,0.5806
14,0.4445,0.9118,0.5806
15,0.4332,0.9118,0.5914
16,0.4269,0.9118,0.5806
17,0.4173,0.9118,0.5806
18,0.4369,0.9118,0.5806
19,0.4014,0.9118,0.5806
20,0.4671,0.9118,0.5806
21,0.4585,0.9118,0.5806
22,0.4241,0.9118,0.5806
23,0.4073,0.9118,0.5806
24,0.4233,0.9118,0.5914
25,0.4068,0.9118,0.5806
26,0.4109,0.9118,0.5806
27,0.4136,0.9118,0.5806
28,0.4146,0.9118,0.5914
29,0.4409,0.9118,0.5914
30,0.4405,0.9118,0.6129
31,0.4368,0.9118,0.6022
32,0.4287,0.9118,0.5914
33,0.4182,0.9118,0.5914
34,0.4066,0.9118,0.5914
35,0.4217,0.9118,0.5914
36,0.4271,0.9118,0.5914
37,0.4228,0.9118,0.6022
38,0.4105,0.9118,0.6129
39,0.4194,0.9118,0.6129
40,0.4278,0.9118,0.6129
41,0.4198,0.9118,0.6129
42,0.4112,0.9118,0.6129
43,0.4226,0.9118,0.6129
44,0.4187,0.9118,0.6129
45,0.4105,0.9118,0.6129
46,0.4140,0.9118,0.6237
47,0.4041,0.9118,0.6559
48,0.4179,0.9118,0.7634
49,0.4257,0.9118,0.7634
50,0.4350,0.9118,0.7634
51,0.4307,0.9118,0.6989
52,0.4156,0.9118,0.6667
53,0.4067,0.9118,0.6237
54,0.4046,0.9118,0.6237
55,0.4399,0.9118,0.6129
56,0.4394,0.9118,0.6237
57,0.4224,0.9118,0.6237
58,0.4406,0.9118,0.6559
59,0.4224,0.9118,0.6774
60,0.4243,0.9118,0.6774
61,0.4123,0.9118,0.6559
62,0.4233,0.9118,0.6559
63,0.4061,0.9118,0.6882
64,0.4124,0.9118,0.7634
65,0.4271,0.9118,0.7849
66,0.4265,0.9118,0.6559
67,0.4163,0.9118,0.6237
68,0.4266,0.9118,0.6237
69,0.4066,0.9118,0.6237
70,0.4089,0.9118,0.6237
71,0.4217,0.9118,0.6237
72,0.4144,0.9118,0.6344
73,0.4255,0.9118,0.7204
74,0.4193,0.9118,0.8065
75,0.4191,0.9118,0.7204
76,0.4174,0.9118,0.6667
77,0.4224,0.9118,0.6344
78,0.4141,0.9118,0.6344
79,0.4263,0.9118,0.6344
80,0.4139,0.9118,0.6344
81,0.4144,0.9118,0.6344
82,0.4155,0.9118,0.6344
83,0.4183,0.9118,0.6882
84,0.4183,0.9118,0.7742
85,0.4310,0.9118,0.5161
86,0.4361,0.9118,0.7849
87,0.4185,0.9118,0.6667
88,0.4301,0.9118,0.6237
89,0.4258,0.9118,0.6237
90,0.4057,0.9118,0.6237
91,0.4122,0.9118,0.6237
92,0.4237,0.9118,0.6344
93,0.4058,0.9118,0.6344
94,0.4134,0.9118,0.6237
95,0.4053,0.9118,0.6344
96,0.4142,0.9118,0.6344
97,0.4223,0.9118,0.6344
98,0.4178,0.9118,0.6344
99,0.4191,0.9118,0.6237
100,0.4120,0.9118,0.6344
