Epoch,Loss,TestAcc,TestAuc
1,1.6018,0.5625,0.2698
2,0.8609,0.5625,0.7619
3,1.1144,0.5625,0.7460
4,0.9680,0.5625,0.7460
5,1.1065,0.5625,0.7460
6,0.9801,0.5625,0.6032
7,0.7535,0.5625,0.3016
8,0.8905,0.5625,0.2222
9,0.6606,0.4375,0.2381
10,0.7299,0.4375,0.2381
11,0.7459,0.4375,0.2381
12,0.8023,0.4375,0.2381
13,0.7253,0.4375,0.2222
14,0.6989,0.4375,0.2222
15,0.7069,0.4375,0.2698
16,0.7223,0.5625,0.3016
17,0.7143,0.5625,0.2381
18,0.6759,0.5625,0.3016
19,0.6935,0.5625,0.3492
20,0.7063,0.5625,0.3651
21,0.7153,0.5625,0.4286
22,0.7266,0.5625,0.4603
23,0.7249,0.5625,0.4603
24,0.7069,0.5625,0.4603
25,0.7018,0.5625,0.4444
26,0.7003,0.5625,0.4286
27,0.6960,0.5625,0.4286
28,0.7055,0.5625,0.3968
29,0.7008,0.5625,0.3968
30,0.6965,0.5625,0.3968
31,0.7117,0.5625,0.4286
32,0.6907,0.5625,0.4444
33,0.7125,0.5625,0.4444
34,0.7116,0.5625,0.4286
35,0.6907,0.5625,0.3651
36,0.6809,0.4375,0.3175
37,0.6921,0.4375,0.3016
38,0.6904,0.4375,0.3333
39,0.6913,0.4375,0.2857
40,0.7045,0.4375,0.3333
41,0.6970,0.4375,0.3333
42,0.7043,0.4375,0.2857
43,0.6976,0.4375,0.3175
44,0.6885,0.4375,0.3175
45,0.7106,0.3750,0.3016
46,0.6852,0.4375,0.2698
47,0.6963,0.5625,0.3016
48,0.7095,0.5625,0.3333
49,0.6918,0.5625,0.3175
50,0.6918,0.5625,0.3175
51,0.7474,0.5625,0.3333
52,0.7083,0.5625,0.3016
53,0.6993,0.5625,0.2857
54,0.6891,0.4375,0.3016
55,0.7045,0.4375,0.2857
56,0.6879,0.4375,0.2698
57,0.6897,0.4375,0.2381
58,0.6882,0.4375,0.2381
59,0.6897,0.4375,0.2540
60,0.6844,0.4375,0.2698
61,0.7081,0.4375,0.2857
62,0.6882,0.5625,0.3016
63,0.6997,0.5625,0.2540
64,0.7085,0.5625,0.3016
65,0.6869,0.5625,0.2857
66,0.7023,0.5625,0.3016
67,0.6930,0.5625,0.3016
68,0.6967,0.5625,0.3175
69,0.7102,0.5625,0.2857
70,0.6915,0.5625,0.2540
71,0.6857,0.5625,0.3016
72,0.6821,0.4375,0.3175
73,0.7052,0.4375,0.2698
74,0.7004,0.4375,0.2698
75,0.7248,0.4375,0.2698
76,0.6758,0.4375,0.2857
77,0.6871,0.4375,0.2857
78,0.7003,0.4375,0.2857
79,0.6934,0.4375,0.2857
80,0.6902,0.3125,0.3175
81,0.6843,0.4375,0.3016
82,0.6619,0.5625,0.2857
83,0.6989,0.5625,0.2857
84,0.6838,0.5000,0.2857
85,0.6875,0.4375,0.2857
86,0.6949,0.4375,0.3016
87,0.6882,0.3750,0.3016
88,0.6891,0.4375,0.3016
89,0.6989,0.4375,0.3016
90,0.6986,0.4375,0.3016
91,0.7037,0.2500,0.3016
92,0.7109,0.3750,0.3016
93,0.6816,0.2500,0.2857
94,0.6953,0.3750,0.3016
95,0.6724,0.4375,0.3333
96,0.6843,0.5625,0.3175
97,0.6860,0.5625,0.3175
98,0.6898,0.5625,0.3175
99,0.6937,0.5625,0.3175
100,0.6827,0.4375,0.3175
