Epoch,Loss,TestAcc,TestAuc
1,0.3571,0.9540,0.7409
2,0.2399,0.9540,0.7382
3,0.2363,0.9540,0.7359
4,0.2264,0.9540,0.7355
5,0.2197,0.9540,0.7351
6,0.2200,0.9540,0.7361
7,0.2195,0.9540,0.7366
8,0.2123,0.9540,0.7293
9,0.2143,0.9540,0.7184
10,0.2128,0.9540,0.7340
11,0.2122,0.9540,0.7374
12,0.2197,0.9540,0.7358
13,0.2111,0.9540,0.7348
14,0.2064,0.9540,0.7334
15,0.2104,0.9540,0.7361
16,0.2127,0.9540,0.7357
17,0.2091,0.9540,0.7338
18,0.2125,0.9540,0.7343
19,0.2124,0.9540,0.7345
20,0.2110,0.9540,0.7337
21,0.2121,0.9540,0.3454
22,0.2081,0.9540,0.2636
23,0.2092,0.9540,0.2910
24,0.2101,0.9540,0.7367
25,0.2072,0.9540,0.7361
26,0.2085,0.9540,0.7310
27,0.2103,0.9540,0.7368
28,0.2073,0.9540,0.7361
29,0.2070,0.9540,0.7343
30,0.2100,0.9540,0.4330
31,0.2121,0.9540,0.2613
32,0.2085,0.9540,0.7299
33,0.2081,0.9540,0.7346
34,0.2101,0.9540,0.7346
35,0.2068,0.9540,0.7303
36,0.2089,0.9540,0.2632
37,0.2062,0.9540,0.2477
38,0.2085,0.9540,0.2634
39,0.2090,0.9540,0.2634
40,0.2082,0.9540,0.7366
41,0.2067,0.9540,0.7340
42,0.2077,0.9540,0.5072
43,0.2094,0.9540,0.7321
44,0.2087,0.9540,0.7344
45,0.2073,0.9540,0.5939
46,0.2074,0.9540,0.2636
47,0.2100,0.9540,0.2630
48,0.2071,0.9540,0.2634
49,0.2070,0.9540,0.2628
50,0.2076,0.9540,0.7238
51,0.2071,0.9540,0.7188
52,0.2065,0.9540,0.7295
53,0.2072,0.9540,0.2609
54,0.2068,0.9540,0.7342
55,0.2093,0.9540,0.7334
56,0.2075,0.9540,0.7296
57,0.2069,0.9540,0.7344
58,0.2057,0.9540,0.5315
59,0.2074,0.9540,0.7340
60,0.2090,0.9540,0.7331
61,0.2069,0.9540,0.3485
62,0.2087,0.9540,0.5060
63,0.2082,0.9540,0.2637
64,0.2069,0.9540,0.7332
65,0.2065,0.9540,0.4837
66,0.2071,0.9540,0.2652
67,0.2069,0.9540,0.2654
68,0.2068,0.9540,0.2677
69,0.2072,0.9540,0.2660
70,0.2065,0.9540,0.7340
71,0.2064,0.9540,0.7338
72,0.2076,0.9540,0.7346
73,0.2065,0.9540,0.2660
74,0.2067,0.9540,0.2649
75,0.2065,0.9540,0.2681
76,0.2060,0.9540,0.7342
77,0.2067,0.9540,0.7342
78,0.2062,0.9540,0.7340
79,0.2066,0.9540,0.7339
80,0.2062,0.9540,0.7320
81,0.2066,0.9540,0.7334
82,0.2070,0.9540,0.7344
83,0.2064,0.9540,0.7342
84,0.2061,0.9540,0.2662
85,0.2061,0.9540,0.7331
86,0.2061,0.9540,0.7335
87,0.2070,0.9540,0.2652
88,0.2067,0.9540,0.7342
89,0.2060,0.9540,0.7338
90,0.2070,0.9540,0.7340
91,0.2064,0.9540,0.7340
92,0.2072,0.9540,0.7338
93,0.2062,0.9540,0.7340
94,0.2064,0.9540,0.7340
95,0.2064,0.9540,0.7339
96,0.2076,0.9540,0.7332
97,0.2064,0.9540,0.7346
98,0.2060,0.9540,0.2657
99,0.2063,0.9540,0.7319
100,0.2061,0.9540,0.7334
