Epoch,Loss,TestAcc,TestAuc
1,0.6470,0.7378,0.4891
2,0.5900,0.7378,0.4900
3,0.5783,0.7378,0.4879
4,0.5836,0.7378,0.4905
5,0.5746,0.7378,0.4908
6,0.5735,0.7378,0.4905
7,0.5720,0.7378,0.4890
8,0.5722,0.7378,0.4904
9,0.5712,0.7378,0.4900
10,0.5715,0.7378,0.4902
11,0.5721,0.7378,0.4889
12,0.5694,0.7378,0.4806
13,0.5704,0.7378,0.4754
14,0.5691,0.7378,0.4956
15,0.5750,0.7378,0.4878
16,0.5684,0.7378,0.4854
17,0.5684,0.7378,0.4815
18,0.5697,0.7378,0.4813
19,0.5703,0.7378,0.4709
20,0.5667,0.7378,0.4863
21,0.5698,0.7378,0.4763
22,0.5666,0.7378,0.4603
23,0.5677,0.7378,0.4091
24,0.5662,0.7378,0.4770
25,0.5678,0.7378,0.4816
26,0.5688,0.7378,0.4630
27,0.5675,0.7378,0.4842
28,0.5679,0.7378,0.4849
29,0.5685,0.7378,0.4836
30,0.5669,0.7378,0.4703
31,0.5683,0.7378,0.4668
32,0.5675,0.7378,0.4675
33,0.5679,0.7378,0.4604
34,0.5675,0.7378,0.4779
35,0.5667,0.7378,0.4301
36,0.5669,0.7378,0.4740
37,0.5668,0.7378,0.4749
38,0.5671,0.7378,0.3587
39,0.5669,0.7378,0.4161
40,0.5676,0.7378,0.3407
41,0.5677,0.7378,0.4745
42,0.5670,0.7378,0.4792
43,0.5673,0.7378,0.4728
44,0.5676,0.7378,0.4725
45,0.5659,0.7378,0.4838
46,0.5674,0.7378,0.4870
47,0.5671,0.7378,0.3647
48,0.5680,0.7378,0.4575
49,0.5673,0.7378,0.3757
50,0.5670,0.7378,0.4657
51,0.5674,0.7378,0.4730
52,0.5672,0.7378,0.3389
53,0.5670,0.7378,0.3442
54,0.5673,0.7378,0.4826
55,0.5672,0.7378,0.4841
56,0.5672,0.7378,0.4689
57,0.5671,0.7378,0.4694
58,0.5674,0.7378,0.4776
59,0.5669,0.7378,0.4598
60,0.5670,0.7378,0.4211
61,0.5670,0.7378,0.4938
62,0.5670,0.7378,0.4794
63,0.5670,0.7378,0.3840
64,0.5677,0.7378,0.4825
65,0.5677,0.7378,0.3728
66,0.5671,0.7378,0.4956
67,0.5673,0.7378,0.4498
68,0.5674,0.7378,0.4863
69,0.5679,0.7378,0.4746
70,0.5673,0.7378,0.3712
71,0.5670,0.7378,0.3475
72,0.5669,0.7378,0.4550
73,0.5671,0.7378,0.4508
74,0.5669,0.7378,0.4562
75,0.5673,0.7378,0.4788
76,0.5668,0.7378,0.4773
77,0.5669,0.7378,0.4575
78,0.5668,0.7378,0.4445
79,0.5673,0.7378,0.4875
80,0.5672,0.7378,0.4628
81,0.5666,0.7378,0.4661
82,0.5677,0.7378,0.4551
83,0.5676,0.7378,0.4593
84,0.5669,0.7378,0.4572
85,0.5671,0.7378,0.4644
86,0.5667,0.7378,0.4776
87,0.5671,0.7378,0.4554
88,0.5675,0.7378,0.4413
89,0.5669,0.7378,0.4499
90,0.5667,0.7378,0.4561
91,0.5660,0.7378,0.4694
92,0.5677,0.7378,0.4720
93,0.5670,0.7378,0.4727
94,0.5669,0.7378,0.4557
95,0.5672,0.7378,0.4961
96,0.5679,0.7378,0.3302
97,0.5676,0.7378,0.4908
98,0.5668,0.7378,0.5017
99,0.5687,0.7378,0.5129
100,0.5674,0.7378,0.5046
