Epoch,Loss,TestAcc,TestAuc
1,0.5393,0.8647,0.4465
2,0.4885,0.8647,0.4467
3,0.4781,0.8647,0.4475
4,0.4921,0.8647,0.4513
5,0.4726,0.8647,0.4575
6,0.4737,0.8647,0.4527
7,0.4796,0.8647,0.4529
8,0.4736,0.8647,0.4565
9,0.4717,0.8647,0.4567
10,0.4783,0.8647,0.4559
11,0.4756,0.8647,0.4741
12,0.4718,0.8647,0.4567
13,0.4721,0.8647,0.4519
14,0.4701,0.8647,0.4499
15,0.4685,0.8647,0.5745
16,0.4704,0.8647,0.4413
17,0.4707,0.8647,0.4469
18,0.4713,0.8647,0.4485
19,0.4721,0.8647,0.4483
20,0.4698,0.8647,0.5499
21,0.4728,0.8647,0.4507
22,0.4732,0.8647,0.4455
23,0.4705,0.8647,0.4453
24,0.4688,0.8647,0.4509
25,0.4711,0.8647,0.4507
26,0.4695,0.8647,0.4505
27,0.4724,0.8647,0.4471
28,0.4667,0.8647,0.4475
29,0.4717,0.8647,0.4477
30,0.4713,0.8647,0.4467
31,0.4687,0.8647,0.4471
32,0.4698,0.8647,0.4453
33,0.4703,0.8647,0.4413
34,0.4702,0.8647,0.4447
35,0.4693,0.8647,0.4449
36,0.4695,0.8647,0.4445
37,0.4676,0.8647,0.4461
38,0.4676,0.8647,0.4445
39,0.4694,0.8647,0.4433
40,0.4699,0.8647,0.4427
41,0.4706,0.8647,0.4409
42,0.4709,0.8647,0.4449
43,0.4690,0.8647,0.4447
44,0.4704,0.8647,0.4375
45,0.4689,0.8647,0.4395
46,0.4696,0.8647,0.4358
47,0.4689,0.8647,0.4332
48,0.4684,0.8647,0.4348
49,0.4689,0.8647,0.4423
50,0.4685,0.8647,0.4461
51,0.4691,0.8647,0.4409
52,0.4689,0.8647,0.4463
53,0.4690,0.8647,0.4509
54,0.4682,0.8647,0.5513
55,0.4689,0.8647,0.4288
56,0.4685,0.8647,0.4305
57,0.4696,0.8647,0.5237
58,0.4686,0.8647,0.4443
59,0.4696,0.8647,0.4391
60,0.4681,0.8647,0.4395
61,0.4679,0.8647,0.4449
62,0.4686,0.8647,0.4377
63,0.4683,0.8647,0.4872
64,0.4688,0.8647,0.4389
65,0.4690,0.8647,0.4413
66,0.4685,0.8647,0.4409
67,0.4684,0.8647,0.4464
68,0.4678,0.8647,0.4465
69,0.4683,0.8647,0.4465
70,0.4684,0.8647,0.4462
71,0.4690,0.8647,0.4381
72,0.4679,0.8647,0.4459
73,0.4686,0.8647,0.4473
74,0.4685,0.8647,0.4470
75,0.4696,0.8647,0.4437
76,0.4683,0.8647,0.4475
77,0.4682,0.8647,0.4493
78,0.4681,0.8647,0.4767
79,0.4683,0.8647,0.5637
80,0.4689,0.8647,0.5615
81,0.4682,0.8647,0.4551
82,0.4686,0.8647,0.4583
83,0.4683,0.8647,0.5553
84,0.4684,0.8647,0.4463
85,0.4684,0.8647,0.4491
86,0.4679,0.8647,0.4457
87,0.4687,0.8647,0.4463
88,0.4681,0.8647,0.4465
89,0.4682,0.8647,0.4465
90,0.4684,0.8647,0.4439
91,0.4681,0.8647,0.4353
92,0.4682,0.8647,0.4440
93,0.4681,0.8647,0.4429
94,0.4684,0.8647,0.4471
95,0.4680,0.8647,0.5471
96,0.4682,0.8647,0.5626
97,0.4681,0.8647,0.5544
98,0.4681,0.8647,0.5591
99,0.4682,0.8647,0.4549
100,0.4686,0.8647,0.4501
