Epoch,Loss,TestAcc,TestAuc
1,0.2552,0.9469,0.5000
2,0.2373,0.9469,0.5000
3,0.2279,0.9469,0.5000
4,0.1966,0.9469,0.5000
5,0.1941,0.9469,0.5000
6,0.1994,0.9469,0.5000
7,0.1850,0.9469,0.5000
8,0.1765,0.9469,0.5000
9,0.1822,0.9469,0.5000
10,0.1852,0.9469,0.5000
11,0.1784,0.9469,0.5000
12,0.1757,0.9469,0.5000
13,0.1674,0.9469,0.5000
14,0.1734,0.9469,0.5000
15,0.1692,0.9469,0.5000
16,0.1697,0.9469,0.5000
17,0.1706,0.9469,0.5000
18,0.1675,0.9469,0.5000
19,0.1728,0.9469,0.5000
20,0.1710,0.9469,0.5000
21,0.1698,0.9469,0.5000
22,0.1708,0.9469,0.5000
23,0.1672,0.9469,0.5000
24,0.1700,0.9469,0.5000
25,0.1663,0.9469,0.5000
26,0.1677,0.9469,0.5000
27,0.1650,0.9469,0.5000
28,0.1674,0.9469,0.5000
29,0.1699,0.9469,0.5000
30,0.1676,0.9469,0.5000
31,0.1686,0.9469,0.5000
32,0.1683,0.9469,0.5000
33,0.1699,0.9469,0.5000
34,0.1678,0.9469,0.5000
35,0.1692,0.9469,0.5000
36,0.1624,0.9469,0.5000
37,0.1648,0.9469,0.5000
38,0.1711,0.9469,0.5000
39,0.1706,0.9469,0.5000
40,0.1651,0.9469,0.5000
41,0.1662,0.9469,0.5000
42,0.1670,0.9469,0.5000
43,0.1660,0.9469,0.5000
44,0.1685,0.9469,0.5000
45,0.1664,0.9469,0.5000
46,0.1660,0.9469,0.5000
47,0.1680,0.9469,0.5000
48,0.1686,0.9469,0.5000
49,0.1699,0.9469,0.5000
50,0.1678,0.9469,0.5000
51,0.1648,0.9469,0.5000
52,0.1642,0.9469,0.5000
53,0.1655,0.9469,0.5000
54,0.1647,0.9469,0.5000
55,0.1654,0.9469,0.5000
56,0.1647,0.9469,0.5000
57,0.1654,0.9469,0.5000
58,0.1674,0.9469,0.5000
59,0.1636,0.9469,0.5000
60,0.1646,0.9469,0.5000
61,0.1682,0.9469,0.5000
62,0.1641,0.9469,0.5000
63,0.1637,0.9469,0.5000
64,0.1661,0.9469,0.5000
65,0.1644,0.9469,0.5000
66,0.1659,0.9469,0.5000
67,0.1651,0.9469,0.5000
68,0.1667,0.9469,0.5000
69,0.1638,0.9469,0.5000
70,0.1637,0.9469,0.5000
71,0.1649,0.9469,0.5000
72,0.1663,0.9469,0.5000
73,0.1665,0.9469,0.5000
74,0.1648,0.9469,0.5000
75,0.1629,0.9469,0.5000
76,0.1642,0.9469,0.5000
77,0.1651,0.9469,0.5000
78,0.1662,0.9469,0.5000
79,0.1650,0.9469,0.5000
80,0.1644,0.9469,0.5000
81,0.1650,0.9469,0.5000
82,0.1657,0.9469,0.5000
83,0.1668,0.9469,0.5000
84,0.1642,0.9469,0.5000
85,0.1641,0.9469,0.5000
86,0.1645,0.9469,0.5000
87,0.1661,0.9469,0.5000
88,0.1640,0.9469,0.5000
89,0.1652,0.9469,0.5000
90,0.1637,0.9469,0.5000
91,0.1661,0.9469,0.5000
92,0.1643,0.9469,0.5000
93,0.1650,0.9469,0.5000
94,0.1649,0.9469,0.5000
95,0.1647,0.9469,0.5000
96,0.1656,0.9469,0.5000
97,0.1657,0.9469,0.5000
98,0.1644,0.9469,0.5000
99,0.1651,0.9469,0.5000
100,0.1649,0.9469,0.5000
