Epoch,Loss,TestAcc,TestAuc
1,0.6492,0.7585,0.5000
2,0.6219,0.7585,0.5000
3,0.6212,0.7585,0.5000
4,0.6220,0.7585,0.5000
5,0.6171,0.7585,0.5000
6,0.6202,0.7585,0.5000
7,0.6146,0.7585,0.5000
8,0.6198,0.7585,0.5000
9,0.6125,0.7585,0.5000
10,0.6119,0.7585,0.5000
11,0.6142,0.7585,0.5068
12,0.6149,0.7585,0.5000
13,0.6157,0.7585,0.5000
14,0.6161,0.7585,0.5000
15,0.6142,0.7585,0.5000
16,0.6137,0.7585,0.5000
17,0.6123,0.7585,0.5000
18,0.6157,0.7585,0.5000
19,0.6147,0.7585,0.5000
20,0.6150,0.7585,0.5000
21,0.6136,0.7585,0.5000
22,0.6140,0.7585,0.5000
23,0.6127,0.7585,0.5000
24,0.6138,0.7585,0.5000
25,0.6152,0.7585,0.5000
26,0.6125,0.7585,0.5000
27,0.6133,0.7585,0.5000
28,0.6140,0.7585,0.5000
29,0.6142,0.7585,0.5000
30,0.6133,0.7585,0.5000
31,0.6123,0.7585,0.5000
32,0.6149,0.7585,0.5000
33,0.6152,0.7585,0.5000
34,0.6128,0.7585,0.5000
35,0.6140,0.7585,0.5000
36,0.6134,0.7585,0.5000
37,0.6143,0.7585,0.5000
38,0.6135,0.7585,0.5000
39,0.6130,0.7585,0.5000
40,0.6129,0.7585,0.5000
41,0.6136,0.7585,0.5000
42,0.6128,0.7585,0.5000
43,0.6127,0.7585,0.5000
44,0.6120,0.7585,0.5000
45,0.6146,0.7585,0.5000
46,0.6130,0.7585,0.5000
47,0.6128,0.7585,0.5000
48,0.6131,0.7585,0.5000
49,0.6138,0.7585,0.5000
50,0.6135,0.7585,0.5000
51,0.6134,0.7585,0.5000
52,0.6129,0.7585,0.5000
53,0.6127,0.7585,0.5000
54,0.6136,0.7585,0.5000
55,0.6131,0.7585,0.5000
56,0.6133,0.7585,0.5000
57,0.6138,0.7585,0.5000
58,0.6140,0.7585,0.5000
59,0.6133,0.7585,0.5000
60,0.6127,0.7585,0.5000
61,0.6132,0.7585,0.5000
62,0.6134,0.7585,0.5000
63,0.6127,0.7585,0.5000
64,0.6129,0.7585,0.5000
65,0.6135,0.7585,0.5000
66,0.6134,0.7585,0.5000
67,0.6131,0.7585,0.5000
68,0.6133,0.7585,0.5000
69,0.6132,0.7585,0.5000
70,0.6132,0.7585,0.5000
71,0.6130,0.7585,0.5000
72,0.6130,0.7585,0.5000
73,0.6131,0.7585,0.5000
74,0.6132,0.7585,0.5000
75,0.6131,0.7585,0.5000
76,0.6132,0.7585,0.5000
77,0.6135,0.7585,0.5000
78,0.6127,0.7585,0.5000
79,0.6129,0.7585,0.5000
80,0.6130,0.7585,0.5000
81,0.6130,0.7585,0.5000
82,0.6132,0.7585,0.5000
83,0.6130,0.7585,0.5000
84,0.6130,0.7585,0.5000
85,0.6123,0.7585,0.5000
86,0.6131,0.7585,0.5000
87,0.6134,0.7585,0.5000
88,0.6134,0.7585,0.5000
89,0.6120,0.7585,0.5000
90,0.6157,0.7585,0.5000
91,0.6135,0.7585,0.5000
92,0.6132,0.7585,0.5000
93,0.6131,0.7585,0.5000
94,0.6131,0.7585,0.5000
95,0.6138,0.7585,0.5000
96,0.6129,0.7585,0.5000
97,0.6129,0.7585,0.5000
98,0.6129,0.7585,0.5000
99,0.6128,0.7585,0.5000
100,0.6128,0.7585,0.5000
