Epoch,Loss,TestAcc,TestAuc
1,0.4324,0.8971,0.5160
2,0.3943,0.8971,0.5155
3,0.3811,0.8971,0.5150
4,0.3688,0.8971,0.5147
5,0.3631,0.8971,0.5168
6,0.3696,0.8971,0.5163
7,0.3621,0.8971,0.5137
8,0.3744,0.8971,0.5137
9,0.3613,0.8971,0.5131
10,0.3633,0.8971,0.5124
11,0.3656,0.8971,0.5155
12,0.3611,0.8971,0.5147
13,0.3603,0.8971,0.5126
14,0.3586,0.8971,0.5137
15,0.3563,0.8971,0.5092
16,0.3683,0.8971,0.5129
17,0.3593,0.8971,0.5139
18,0.3570,0.8971,0.5124
19,0.3583,0.8971,0.5126
20,0.3599,0.8971,0.5165
21,0.3563,0.8971,0.5105
22,0.3527,0.8971,0.5129
23,0.3568,0.8971,0.5087
24,0.3579,0.8971,0.5074
25,0.3582,0.8971,0.4996
26,0.3602,0.8971,0.5111
27,0.3575,0.8971,0.5246
28,0.3550,0.8971,0.4934
29,0.3558,0.8971,0.5074
30,0.3617,0.8971,0.5131
31,0.3568,0.8971,0.5122
32,0.3552,0.8971,0.5059
33,0.3531,0.8971,0.5030
34,0.3555,0.8971,0.5004
35,0.3567,0.8971,0.5061
36,0.3554,0.8971,0.5108
37,0.3557,0.8971,0.4954
38,0.3554,0.8971,0.4983
39,0.3550,0.8971,0.4967
40,0.3552,0.8971,0.5652
41,0.3571,0.8971,0.5137
42,0.3525,0.8971,0.5087
43,0.3557,0.8971,0.5077
44,0.3532,0.8971,0.5074
45,0.3522,0.8971,0.4528
46,0.3568,0.8971,0.5118
47,0.3531,0.8971,0.5129
48,0.3561,0.8971,0.5129
49,0.3591,0.8971,0.5111
50,0.3524,0.8971,0.5360
51,0.3563,0.8971,0.5466
52,0.3556,0.8971,0.5134
53,0.3539,0.8971,0.5116
54,0.3564,0.8971,0.5085
55,0.3541,0.8971,0.5259
56,0.3530,0.8971,0.5095
57,0.3556,0.8971,0.5056
58,0.3534,0.8971,0.5003
59,0.3554,0.8971,0.4960
60,0.3568,0.8971,0.5100
61,0.3568,0.8971,0.5069
62,0.3557,0.8971,0.5074
63,0.3543,0.8971,0.4811
64,0.3566,0.8971,0.5007
65,0.3540,0.8971,0.5066
66,0.3557,0.8971,0.4699
67,0.3538,0.8971,0.4650
68,0.3538,0.8971,0.4277
69,0.3524,0.8971,0.4525
70,0.3549,0.8971,0.4405
71,0.3585,0.8971,0.5022
72,0.3556,0.8971,0.5040
73,0.3576,0.8971,0.5007
74,0.3602,0.8971,0.5043
75,0.3533,0.8971,0.4988
76,0.3529,0.8971,0.4416
77,0.3523,0.8971,0.5228
78,0.3549,0.8971,0.5155
79,0.3544,0.8971,0.5079
80,0.3530,0.8971,0.4934
81,0.3565,0.8971,0.4634
82,0.3540,0.8971,0.5103
83,0.3533,0.8971,0.5092
84,0.3536,0.8971,0.4967
85,0.3535,0.8971,0.5001
86,0.3537,0.8971,0.5311
87,0.3542,0.8971,0.5087
88,0.3540,0.8971,0.5170
89,0.3532,0.8971,0.5077
90,0.3543,0.8971,0.5548
91,0.3524,0.8971,0.5319
92,0.3530,0.8971,0.5507
93,0.3537,0.8971,0.5167
94,0.3521,0.8971,0.5061
95,0.3531,0.8971,0.5233
96,0.3539,0.8971,0.5254
97,0.3542,0.8971,0.5233
98,0.3521,0.8971,0.5493
99,0.3531,0.8971,0.5069
100,0.3560,0.8971,0.5090
