Epoch,Loss,TestAcc,TestAuc
1,0.4474,0.9758,0.4723
2,0.1707,0.9758,0.4733
3,0.1619,0.9758,0.4723
4,0.2079,0.9758,0.4663
5,0.1705,0.9758,0.4653
6,0.1624,0.9758,0.4663
7,0.1430,0.9758,0.4703
8,0.1538,0.9758,0.4683
9,0.1416,0.9758,0.4683
10,0.1461,0.9758,0.4683
11,0.1489,0.9758,0.4683
12,0.1388,0.9758,0.4693
13,0.1418,0.9758,0.4693
14,0.1448,0.9758,0.4703
15,0.1420,0.9758,0.4703
16,0.1378,0.9758,0.4713
17,0.1362,0.9758,0.4733
18,0.1389,0.9758,0.4752
19,0.1361,0.9758,0.4733
20,0.1355,0.9758,0.4693
21,0.1361,0.9758,0.4693
22,0.1430,0.9758,0.4683
23,0.1374,0.9758,0.4683
24,0.1363,0.9758,0.4703
25,0.1434,0.9758,0.4693
26,0.1363,0.9758,0.4693
27,0.1316,0.9758,0.4683
28,0.1337,0.9758,0.4673
29,0.1359,0.9758,0.4663
30,0.1425,0.9758,0.4663
31,0.1357,0.9758,0.4713
32,0.1381,0.9758,0.4723
33,0.1290,0.9758,0.4703
34,0.1323,0.9758,0.4693
35,0.1333,0.9758,0.4703
36,0.1333,0.9758,0.4703
37,0.1352,0.9758,0.4693
38,0.1412,0.9758,0.4723
39,0.1365,0.9758,0.4713
40,0.1374,0.9758,0.4743
41,0.1327,0.9758,0.4703
42,0.1354,0.9758,0.4713
43,0.1324,0.9758,0.4703
44,0.1360,0.9758,0.4673
45,0.1367,0.9758,0.4574
46,0.1375,0.9758,0.4663
47,0.1396,0.9758,0.4624
48,0.1418,0.9758,0.5069
49,0.1356,0.9758,0.4614
50,0.1339,0.9758,0.4614
51,0.1338,0.9758,0.4584
52,0.1323,0.9758,0.4614
53,0.1342,0.9758,0.4485
54,0.1368,0.9758,0.5257
55,0.1343,0.9758,0.4663
56,0.1327,0.9758,0.4653
57,0.1355,0.9758,0.4564
58,0.1361,0.9758,0.5891
59,0.1327,0.9758,0.4644
60,0.1333,0.9758,0.4624
61,0.1357,0.9758,0.4634
62,0.1343,0.9758,0.4644
63,0.1347,0.9758,0.4673
64,0.1341,0.9758,0.4673
65,0.1340,0.9758,0.4653
66,0.1347,0.9758,0.4634
67,0.1349,0.9758,0.4644
68,0.1325,0.9758,0.4644
69,0.1321,0.9758,0.4634
70,0.1392,0.9758,0.4693
71,0.1362,0.9758,0.4693
72,0.1334,0.9758,0.4624
73,0.1352,0.9758,0.3693
74,0.1344,0.9758,0.4653
75,0.1307,0.9758,0.4644
76,0.1319,0.9758,0.4653
77,0.1323,0.9758,0.4693
78,0.1326,0.9758,0.4703
79,0.1334,0.9758,0.4713
80,0.1304,0.9758,0.4693
81,0.1322,0.9758,0.4693
82,0.1318,0.9758,0.4693
83,0.1337,0.9758,0.4743
84,0.1331,0.9758,0.4683
85,0.1355,0.9758,0.4713
86,0.1327,0.9758,0.4743
87,0.1330,0.9758,0.5347
88,0.1337,0.9758,0.5653
89,0.1302,0.9758,0.5337
90,0.1323,0.9758,0.4703
91,0.1347,0.9758,0.4733
92,0.1323,0.9758,0.4663
93,0.1319,0.9758,0.4663
94,0.1352,0.9758,0.4673
95,0.1335,0.9758,0.4713
96,0.1334,0.9758,0.4683
97,0.1316,0.9758,0.4693
98,0.1355,0.9758,0.4470
99,0.1317,0.9758,0.4614
100,0.1317,0.9758,0.4624
