Epoch,Loss,TestAcc,TestAuc
1,0.4377,0.9167,0.5000
2,0.3660,0.9167,0.5000
3,0.3401,0.9167,0.5000
4,0.3536,0.9167,0.5000
5,0.3334,0.9167,0.5000
6,0.3808,0.9167,0.5000
7,0.3312,0.9167,0.5000
8,0.3230,0.9167,0.5000
9,0.3309,0.9167,0.5000
10,0.3280,0.9167,0.5000
11,0.3525,0.9167,0.5000
12,0.3343,0.9167,0.5000
13,0.3544,0.9167,0.5000
14,0.3175,0.9167,0.5000
15,0.3261,0.9167,0.5000
16,0.3160,0.9167,0.5000
17,0.3195,0.9167,0.5000
18,0.3170,0.9167,0.5000
19,0.3183,0.9167,0.5000
20,0.3147,0.9167,0.5000
21,0.3159,0.9167,0.5000
22,0.3171,0.9167,0.5000
23,0.3158,0.9167,0.5000
24,0.3161,0.9167,0.5000
25,0.3145,0.9167,0.5000
26,0.3148,0.9167,0.5000
27,0.3191,0.9167,0.5000
28,0.3096,0.9167,0.5000
29,0.3177,0.9167,0.5000
30,0.3210,0.9167,0.5000
31,0.3296,0.9167,0.5000
32,0.3228,0.9167,0.5000
33,0.3165,0.9167,0.5000
34,0.3104,0.9167,0.5000
35,0.3111,0.9167,0.5000
36,0.3176,0.9167,0.5000
37,0.3187,0.9167,0.5000
38,0.3119,0.9167,0.5000
39,0.3158,0.9167,0.5000
40,0.3158,0.9167,0.5000
41,0.3132,0.9167,0.5000
42,0.3183,0.9167,0.5000
43,0.3207,0.9167,0.5000
44,0.3130,0.9167,0.5000
45,0.3124,0.9167,0.5000
46,0.3216,0.9167,0.5000
47,0.3148,0.9167,0.5000
48,0.3234,0.9167,0.5000
49,0.3182,0.9167,0.5000
50,0.3110,0.9167,0.5000
51,0.3131,0.9167,0.5000
52,0.3128,0.9167,0.5000
53,0.3115,0.9167,0.5000
54,0.3132,0.9167,0.5000
55,0.3108,0.9167,0.5000
56,0.3131,0.9167,0.5000
57,0.3154,0.9167,0.5000
58,0.3150,0.9167,0.5000
59,0.3140,0.9167,0.5000
60,0.3395,0.9167,0.5000
61,0.3190,0.9167,0.5000
62,0.3134,0.9167,0.5000
63,0.3156,0.9167,0.5000
64,0.3149,0.9167,0.5000
65,0.3125,0.9167,0.5000
66,0.3091,0.9167,0.5000
67,0.3114,0.9167,0.5000
68,0.3068,0.9167,0.5000
69,0.3162,0.9167,0.5000
70,0.3117,0.9167,0.5000
71,0.3147,0.9167,0.5000
72,0.3149,0.9167,0.5000
73,0.3153,0.9167,0.5000
74,0.3138,0.9167,0.5000
75,0.3116,0.9167,0.5000
76,0.3116,0.9167,0.5000
77,0.3112,0.9167,0.5000
78,0.3121,0.9167,0.5000
79,0.3147,0.9167,0.5000
80,0.3133,0.9167,0.5000
81,0.3152,0.9167,0.5000
82,0.3160,0.9167,0.5000
83,0.3144,0.9167,0.5000
84,0.3083,0.9167,0.5000
85,0.3184,0.9167,0.5000
86,0.3210,0.9167,0.5000
87,0.3160,0.9167,0.5000
88,0.3141,0.9167,0.5000
89,0.3121,0.9167,0.5000
90,0.3116,0.9167,0.5000
91,0.3153,0.9167,0.5000
92,0.3151,0.9167,0.5000
93,0.3102,0.9167,0.5000
94,0.3135,0.9167,0.5000
95,0.3146,0.9167,0.5000
96,0.3179,0.9167,0.5000
97,0.3135,0.9167,0.5000
98,0.3139,0.9167,0.5000
99,0.3157,0.9167,0.5000
100,0.3153,0.9167,0.5000
