Epoch,Loss,TestAcc,TestAuc
1,0.6765,0.8689,0.6651
2,0.3327,0.8689,0.6675
3,0.3207,0.8689,0.6675
4,0.2970,0.8689,0.6698
5,0.2903,0.8689,0.6698
6,0.2774,0.8689,0.6698
7,0.3072,0.8689,0.6698
8,0.2969,0.8689,0.6698
9,0.2932,0.8689,0.6698
10,0.2835,0.8689,0.6698
11,0.2837,0.8689,0.6698
12,0.2865,0.8689,0.6675
13,0.2916,0.8689,0.6698
14,0.2675,0.8689,0.6698
15,0.2606,0.8689,0.6675
16,0.2857,0.8689,0.6675
17,0.2702,0.8689,0.6675
18,0.2877,0.8689,0.6651
19,0.2945,0.8689,0.6651
20,0.2851,0.8689,0.6651
21,0.2548,0.8689,0.6651
22,0.2698,0.8689,0.6627
23,0.2758,0.8689,0.6604
24,0.2782,0.8689,0.6604
25,0.2686,0.8689,0.6604
26,0.2792,0.8689,0.6627
27,0.2434,0.8689,0.6627
28,0.2532,0.8689,0.6627
29,0.2759,0.8689,0.6627
30,0.2756,0.8689,0.6627
31,0.2755,0.8689,0.6627
32,0.2727,0.8689,0.6580
33,0.2706,0.8689,0.6580
34,0.2623,0.8689,0.6580
35,0.2636,0.8689,0.6580
36,0.2610,0.8689,0.6557
37,0.2585,0.8689,0.6557
38,0.2603,0.8689,0.6557
39,0.2802,0.8689,0.6557
40,0.2600,0.8689,0.6557
41,0.2575,0.8689,0.6533
42,0.2589,0.8689,0.6533
43,0.2622,0.8689,0.6557
44,0.2726,0.8689,0.6580
45,0.2542,0.8689,0.6580
46,0.2590,0.8689,0.6580
47,0.2567,0.8689,0.6557
48,0.2692,0.8689,0.6509
49,0.2612,0.8689,0.6509
50,0.2749,0.8689,0.6509
51,0.2626,0.8689,0.6486
52,0.2658,0.8689,0.6509
53,0.2564,0.8689,0.6509
54,0.2636,0.8689,0.6462
55,0.2592,0.8689,0.6509
56,0.2588,0.8689,0.6509
57,0.2595,0.8689,0.6509
58,0.2590,0.8689,0.6509
59,0.2642,0.8689,0.6509
60,0.2592,0.8689,0.6486
61,0.2628,0.8689,0.6509
62,0.2536,0.8689,0.6509
63,0.2590,0.8689,0.6509
64,0.2452,0.8689,0.6509
65,0.2500,0.8689,0.6486
66,0.2649,0.8689,0.6486
67,0.2592,0.8689,0.6462
68,0.2652,0.8689,0.6462
69,0.2645,0.8689,0.6462
70,0.2586,0.8689,0.6415
71,0.2649,0.8689,0.6462
72,0.2665,0.8689,0.6439
73,0.2603,0.8689,0.6439
74,0.2495,0.8689,0.6439
75,0.2602,0.8689,0.6415
76,0.2596,0.8689,0.6509
77,0.2552,0.8689,0.6509
78,0.2638,0.8689,0.6415
79,0.2606,0.8689,0.6439
80,0.2501,0.8689,0.6415
81,0.2665,0.8689,0.6486
82,0.2562,0.8689,0.6274
83,0.2485,0.8689,0.2524
84,0.2617,0.8689,0.4363
85,0.2690,0.8689,0.6038
86,0.2551,0.8689,0.6203
87,0.2603,0.8689,0.6321
88,0.2584,0.8689,0.6392
89,0.2641,0.8689,0.6156
90,0.2578,0.8689,0.6085
91,0.2562,0.8689,0.6108
92,0.2598,0.8689,0.6061
93,0.2528,0.8689,0.6297
94,0.2559,0.8689,0.6344
95,0.2590,0.8689,0.6250
96,0.2558,0.8689,0.6038
97,0.2512,0.8689,0.6297
98,0.2566,0.8689,0.6392
99,0.2550,0.8689,0.6415
100,0.2575,0.8689,0.6368
