Epoch,Loss,TestAcc,TestAuc
1,0.6578,0.7255,0.5333
2,0.6093,0.7255,0.4843
3,0.6107,0.7255,0.5221
4,0.5997,0.7255,0.5158
5,0.5937,0.7255,0.5173
6,0.6005,0.7255,0.5006
7,0.5942,0.7255,0.4817
8,0.5948,0.7255,0.5119
9,0.6005,0.7255,0.5063
10,0.5942,0.7255,0.4919
11,0.5946,0.7255,0.5002
12,0.5923,0.7255,0.4788
13,0.5971,0.7255,0.4140
14,0.5941,0.7255,0.3773
15,0.5924,0.7255,0.4008
16,0.5934,0.7255,0.4914
17,0.5944,0.7255,0.4640
18,0.5934,0.7255,0.4621
19,0.5914,0.7255,0.4768
20,0.5909,0.7255,0.4503
21,0.5901,0.7255,0.4528
22,0.5938,0.7255,0.4160
23,0.5920,0.7255,0.4378
24,0.5926,0.7255,0.4885
25,0.5932,0.7255,0.4829
26,0.5942,0.7255,0.4688
27,0.5944,0.7255,0.4749
28,0.5912,0.7255,0.4735
29,0.5910,0.7255,0.4772
30,0.5926,0.7255,0.4643
31,0.5923,0.7255,0.4708
32,0.5924,0.7255,0.4833
33,0.5926,0.7255,0.4651
34,0.5927,0.7255,0.4928
35,0.5909,0.7255,0.4984
36,0.5906,0.7255,0.5043
37,0.5938,0.7255,0.4937
38,0.5933,0.7255,0.4978
39,0.5934,0.7255,0.4923
40,0.5932,0.7255,0.4888
41,0.5913,0.7255,0.4849
42,0.5908,0.7255,0.4876
43,0.5928,0.7255,0.5192
44,0.5922,0.7255,0.5134
45,0.5929,0.7255,0.5076
46,0.5928,0.7255,0.4893
47,0.5952,0.7255,0.4881
48,0.5918,0.7255,0.4879
49,0.5922,0.7255,0.4903
50,0.5928,0.7255,0.4887
51,0.5923,0.7255,0.4729
52,0.5897,0.7255,0.4680
53,0.5915,0.7255,0.4783
54,0.5923,0.7255,0.4709
55,0.5929,0.7255,0.5005
56,0.5919,0.7255,0.4884
57,0.5916,0.7255,0.4976
58,0.5924,0.7255,0.5001
59,0.5917,0.7255,0.5046
60,0.5925,0.7255,0.4928
61,0.5923,0.7255,0.4532
62,0.5919,0.7255,0.3926
63,0.5918,0.7255,0.4297
64,0.5922,0.7255,0.4889
65,0.5916,0.7255,0.4882
66,0.5926,0.7255,0.4818
67,0.5916,0.7255,0.4844
68,0.5906,0.7255,0.4952
69,0.5934,0.7255,0.4856
70,0.5919,0.7255,0.4931
71,0.5931,0.7255,0.3993
72,0.5924,0.7255,0.4695
73,0.5918,0.7255,0.4761
74,0.5917,0.7255,0.4137
75,0.5916,0.7255,0.4992
76,0.5919,0.7255,0.3945
77,0.5903,0.7255,0.4823
78,0.5922,0.7255,0.5027
79,0.5921,0.7255,0.4988
80,0.5910,0.7255,0.5014
81,0.5929,0.7255,0.3901
82,0.5923,0.7255,0.5022
83,0.5921,0.7255,0.3657
84,0.5916,0.7255,0.4931
85,0.5920,0.7255,0.5012
86,0.5917,0.7255,0.4434
87,0.5922,0.7255,0.5043
88,0.5988,0.7255,0.5151
89,0.5940,0.7255,0.4841
90,0.5934,0.7255,0.4824
91,0.5922,0.7255,0.4631
92,0.5913,0.7255,0.4970
93,0.5987,0.7255,0.4894
94,0.5938,0.7255,0.4712
95,0.5938,0.7255,0.4932
96,0.5955,0.7255,0.4671
97,0.5935,0.7255,0.4489
98,0.5936,0.7255,0.5042
99,0.5920,0.7255,0.4736
100,0.5916,0.7255,0.4957
