Epoch,Loss,TestAcc,TestAuc
1,0.4064,0.9614,0.5000
2,0.2694,0.9614,0.5000
3,0.2669,0.9614,0.5000
4,0.2838,0.9614,0.5000
5,0.2509,0.9614,0.5000
6,0.2539,0.9614,0.5000
7,0.2527,0.9614,0.5000
8,0.2457,0.9614,0.5000
9,0.2506,0.9614,0.5000
10,0.2490,0.9614,0.5000
11,0.2407,0.9614,0.5000
12,0.2488,0.9614,0.5000
13,0.2434,0.9614,0.5000
14,0.2431,0.9614,0.5000
15,0.2391,0.9614,0.5000
16,0.2350,0.9614,0.5000
17,0.2411,0.9614,0.5000
18,0.2369,0.9614,0.5000
19,0.2373,0.9614,0.5000
20,0.2376,0.9614,0.5000
21,0.2357,0.9614,0.5000
22,0.2410,0.9614,0.5000
23,0.2395,0.9614,0.5000
24,0.2392,0.9614,0.5000
25,0.2424,0.9614,0.5000
26,0.2372,0.9614,0.5000
27,0.2409,0.9614,0.5000
28,0.2399,0.9614,0.5000
29,0.2382,0.9614,0.5000
30,0.2384,0.9614,0.5000
31,0.2371,0.9614,0.5000
32,0.2322,0.9614,0.5000
33,0.2399,0.9614,0.5000
34,0.2380,0.9614,0.5000
35,0.2382,0.9614,0.5000
36,0.2364,0.9614,0.5000
37,0.2353,0.9614,0.5000
38,0.2383,0.9614,0.5000
39,0.2374,0.9614,0.5000
40,0.2387,0.9614,0.5000
41,0.2378,0.9614,0.5000
42,0.2360,0.9614,0.5000
43,0.2378,0.9614,0.5000
44,0.2372,0.9614,0.5000
45,0.2393,0.9614,0.5000
46,0.2356,0.9614,0.5000
47,0.2357,0.9614,0.5000
48,0.2372,0.9614,0.5000
49,0.2381,0.9614,0.5000
50,0.2378,0.9614,0.5000
51,0.2371,0.9614,0.5000
52,0.2380,0.9614,0.5000
53,0.2363,0.9614,0.5000
54,0.2350,0.9614,0.5000
55,0.2352,0.9614,0.5000
56,0.2384,0.9614,0.5000
57,0.2367,0.9614,0.5000
58,0.2350,0.9614,0.5000
59,0.2358,0.9614,0.5000
60,0.2345,0.9614,0.5000
61,0.2341,0.9614,0.5000
62,0.2369,0.9614,0.5000
63,0.2349,0.9614,0.5000
64,0.2353,0.9614,0.5000
65,0.2387,0.9614,0.5000
66,0.2396,0.9614,0.5000
67,0.2337,0.9614,0.5000
68,0.2347,0.9614,0.5000
69,0.2353,0.9614,0.5000
70,0.2326,0.9614,0.5000
71,0.2375,0.9614,0.5000
72,0.2369,0.9614,0.5000
73,0.2344,0.9614,0.5000
74,0.2376,0.9614,0.5000
75,0.2361,0.9614,0.5000
76,0.2370,0.9614,0.5000
77,0.2353,0.9614,0.5000
78,0.2347,0.9614,0.5000
79,0.2358,0.9614,0.5000
80,0.2366,0.9614,0.5000
81,0.2364,0.9614,0.5000
82,0.2358,0.9614,0.5000
83,0.2361,0.9614,0.5000
84,0.2361,0.9614,0.5000
85,0.2359,0.9614,0.5000
86,0.2339,0.9614,0.5000
87,0.2372,0.9614,0.5000
88,0.2349,0.9614,0.5000
89,0.2371,0.9614,0.5000
90,0.2347,0.9614,0.5000
91,0.2349,0.9614,0.5000
92,0.2362,0.9614,0.5000
93,0.2356,0.9614,0.5000
94,0.2352,0.9614,0.5000
95,0.2362,0.9614,0.5000
96,0.2354,0.9614,0.5000
97,0.2352,0.9614,0.5000
98,0.2357,0.9614,0.5000
99,0.2384,0.9614,0.5000
100,0.2358,0.9614,0.5000
