Epoch,Loss,TestAcc,TestAuc
1,0.1478,0.9710,0.6053
2,0.1276,0.9710,0.6028
3,0.1486,0.9710,0.6020
4,0.1201,0.9710,0.6012
5,0.1092,0.9710,0.5978
6,0.1046,0.9710,0.5970
7,0.1023,0.9710,0.5970
8,0.1139,0.9710,0.5970
9,0.0963,0.9710,0.5954
10,0.0972,0.9710,0.5970
11,0.1016,0.9710,0.5937
12,0.0995,0.9710,0.5954
13,0.0902,0.9710,0.5970
14,0.0973,0.9710,0.5995
15,0.0946,0.9710,0.5995
16,0.0978,0.9710,0.6003
17,0.0934,0.9710,0.6003
18,0.0980,0.9710,0.6012
19,0.0946,0.9710,0.5978
20,0.0953,0.9710,0.5978
21,0.0990,0.9710,0.5978
22,0.0950,0.9710,0.5970
23,0.0985,0.9710,0.5945
24,0.0948,0.9710,0.5945
25,0.0934,0.9710,0.5954
26,0.0951,0.9710,0.5962
27,0.0937,0.9710,0.5970
28,0.0949,0.9710,0.5962
29,0.0935,0.9710,0.5970
30,0.0928,0.9710,0.6003
31,0.0910,0.9710,0.6012
32,0.0913,0.9710,0.5987
33,0.0911,0.9710,0.5978
34,0.0980,0.9710,0.5970
35,0.0946,0.9710,0.5978
36,0.0921,0.9710,0.5995
37,0.0936,0.9710,0.5995
38,0.0922,0.9710,0.6012
39,0.0926,0.9710,0.6012
40,0.0934,0.9710,0.5995
41,0.0931,0.9710,0.5987
42,0.0967,0.9710,0.6003
43,0.0960,0.9710,0.6078
44,0.0910,0.9710,0.6003
45,0.0909,0.9710,0.6036
46,0.0908,0.9710,0.6061
47,0.0938,0.9710,0.6078
48,0.0923,0.9710,0.6003
49,0.0909,0.9710,0.5987
50,0.0916,0.9710,0.5995
51,0.0928,0.9710,0.6012
52,0.0925,0.9710,0.5738
53,0.0921,0.9710,0.6061
54,0.0928,0.9710,0.5995
55,0.0917,0.9710,0.5983
56,0.0961,0.9710,0.5987
57,0.0920,0.9710,0.5987
58,0.0914,0.9710,0.6003
59,0.0971,0.9710,0.6012
60,0.0931,0.9710,0.5978
61,0.0944,0.9710,0.5970
62,0.0917,0.9710,0.5978
63,0.0934,0.9710,0.5970
64,0.0913,0.9710,0.5978
65,0.0933,0.9710,0.5978
66,0.0933,0.9710,0.5954
67,0.0910,0.9710,0.5937
68,0.0946,0.9710,0.5945
69,0.0945,0.9710,0.5945
70,0.0914,0.9710,0.5945
71,0.0901,0.9710,0.5954
72,0.0955,0.9710,0.5945
73,0.0917,0.9710,0.5954
74,0.0916,0.9710,0.5945
75,0.0911,0.9710,0.5954
76,0.0921,0.9710,0.5954
77,0.0895,0.9710,0.5954
78,0.0938,0.9710,0.5970
79,0.0911,0.9710,0.5954
80,0.0921,0.9710,0.5970
81,0.0928,0.9710,0.5978
82,0.0920,0.9710,0.5962
83,0.0915,0.9710,0.5962
84,0.0916,0.9710,0.5987
85,0.0925,0.9710,0.5970
86,0.0926,0.9710,0.5970
87,0.0909,0.9710,0.5978
88,0.0945,0.9710,0.5970
89,0.0914,0.9710,0.5978
90,0.0918,0.9710,0.5995
91,0.0906,0.9710,0.6003
92,0.0944,0.9710,0.5995
93,0.0924,0.9710,0.5995
94,0.0922,0.9710,0.6020
95,0.0919,0.9710,0.5995
96,0.0915,0.9710,0.6012
97,0.0918,0.9710,0.6012
98,0.0920,0.9710,0.6020
99,0.0935,0.9710,0.6020
100,0.0914,0.9710,0.6020
