Epoch,Loss,TestAcc,TestAuc
1,0.7168,0.8309,0.5000
2,0.5889,0.8309,0.5000
3,0.5760,0.8309,0.5000
4,0.5787,0.8309,0.5000
5,0.5690,0.8309,0.5000
6,0.5705,0.8309,0.5000
7,0.5695,0.8309,0.5000
8,0.5739,0.8309,0.5000
9,0.5778,0.8309,0.5000
10,0.5667,0.8309,0.5000
11,0.5656,0.8309,0.5000
12,0.5657,0.8309,0.5000
13,0.5673,0.8309,0.5000
14,0.5643,0.8357,0.5143
15,0.5677,0.8309,0.5114
16,0.5640,0.8309,0.5000
17,0.5676,0.8309,0.5114
18,0.5648,0.8309,0.5000
19,0.5677,0.8309,0.5114
20,0.5636,0.8309,0.5000
21,0.5673,0.8309,0.5114
22,0.5677,0.8309,0.5114
23,0.5650,0.8309,0.5000
24,0.5617,0.8309,0.5000
25,0.5728,0.8309,0.5000
26,0.5619,0.8309,0.5114
27,0.5651,0.8309,0.5000
28,0.5687,0.8309,0.5114
29,0.5627,0.8309,0.5114
30,0.5674,0.8309,0.5114
31,0.5629,0.8309,0.5000
32,0.5640,0.8309,0.5114
33,0.5635,0.8309,0.5114
34,0.5634,0.8357,0.5143
35,0.5639,0.8309,0.5114
36,0.5679,0.8357,0.5143
37,0.5616,0.8309,0.5000
38,0.5644,0.8309,0.5000
39,0.5645,0.8309,0.5000
40,0.5637,0.8309,0.5114
41,0.5641,0.8309,0.5114
42,0.5638,0.8309,0.5114
43,0.5629,0.8309,0.5114
44,0.5619,0.8309,0.5000
45,0.5638,0.8309,0.5114
46,0.5643,0.8309,0.5000
47,0.5636,0.8309,0.5114
48,0.5627,0.8357,0.5143
49,0.5669,0.8309,0.5000
50,0.5641,0.8309,0.5000
51,0.5634,0.8309,0.5000
52,0.5627,0.8309,0.5000
53,0.5626,0.8309,0.5000
54,0.5636,0.8309,0.5000
55,0.5635,0.8309,0.5114
56,0.5644,0.8309,0.5000
57,0.5625,0.8309,0.5000
58,0.5636,0.8309,0.5000
59,0.5645,0.8309,0.5114
60,0.5666,0.8309,0.5000
61,0.5633,0.8309,0.5000
62,0.5618,0.8309,0.5114
63,0.5640,0.8357,0.5143
64,0.5593,0.8309,0.5000
65,0.5625,0.8309,0.5000
66,0.5622,0.8309,0.5000
67,0.5626,0.8309,0.5114
68,0.5625,0.8309,0.5000
69,0.5644,0.8309,0.5000
70,0.5633,0.8309,0.5000
71,0.5606,0.8309,0.5000
72,0.5628,0.8309,0.5000
73,0.5630,0.8309,0.5000
74,0.5619,0.8309,0.5000
75,0.5638,0.8309,0.5000
76,0.5637,0.8309,0.5000
77,0.5631,0.8309,0.5000
78,0.5615,0.8309,0.5000
79,0.5639,0.8309,0.5114
80,0.5627,0.8309,0.5000
81,0.5632,0.8309,0.5000
82,0.5639,0.8309,0.5114
83,0.5637,0.8309,0.5000
84,0.5645,0.8309,0.5000
85,0.5632,0.8309,0.5000
86,0.5636,0.8309,0.5000
87,0.5615,0.8309,0.5114
88,0.5645,0.8309,0.5000
89,0.5630,0.8309,0.5000
90,0.5645,0.8309,0.5000
91,0.5636,0.8309,0.5000
92,0.5626,0.8309,0.5000
93,0.5639,0.8309,0.5000
94,0.5631,0.8357,0.5143
95,0.5628,0.8309,0.5000
96,0.5637,0.8309,0.5000
97,0.5620,0.8309,0.5000
98,0.5641,0.8309,0.5000
99,0.5639,0.8309,0.5000
100,0.5636,0.8309,0.5000
