Epoch,Loss,TestAcc,TestAuc
1,0.4482,0.9508,0.5000
2,0.3064,0.9508,0.5000
3,0.2898,0.9508,0.5000
4,0.3086,0.9508,0.5000
5,0.2765,0.9508,0.5000
6,0.3198,0.9508,0.5000
7,0.3171,0.9508,0.5000
8,0.3070,0.9508,0.5000
9,0.2687,0.9508,0.5000
10,0.2671,0.9508,0.5000
11,0.2889,0.9508,0.5000
12,0.2666,0.9508,0.5000
13,0.2740,0.9508,0.5000
14,0.3442,0.9508,0.5000
15,0.2766,0.9508,0.5000
16,0.2836,0.9508,0.5000
17,0.3090,0.9508,0.5000
18,0.2933,0.9508,0.5000
19,0.2761,0.9508,0.5000
20,0.2626,0.9508,0.5000
21,0.2566,0.9508,0.5000
22,0.2602,0.9508,0.5000
23,0.2552,0.9508,0.5000
24,0.2566,0.9508,0.5000
25,0.2607,0.9508,0.5000
26,0.2694,0.9508,0.5000
27,0.2577,0.9508,0.5000
28,0.2694,0.9508,0.5000
29,0.2573,0.9508,0.5000
30,0.2618,0.9508,0.5000
31,0.2422,0.9508,0.5000
32,0.2752,0.9508,0.5000
33,0.2622,0.9508,0.5000
34,0.2600,0.9508,0.5000
35,0.2570,0.9508,0.5000
36,0.2694,0.9508,0.5000
37,0.2702,0.9508,0.5000
38,0.2669,0.9508,0.5000
39,0.2515,0.9508,0.5000
40,0.2535,0.9508,0.5000
41,0.2520,0.9508,0.5000
42,0.2597,0.9508,0.5000
43,0.2649,0.9508,0.5000
44,0.2502,0.9508,0.5000
45,0.2620,0.9508,0.5000
46,0.2532,0.9508,0.5000
47,0.2588,0.9508,0.5000
48,0.2523,0.9508,0.5000
49,0.2537,0.9508,0.5000
50,0.2637,0.9508,0.5000
51,0.2534,0.9508,0.5000
52,0.2600,0.9508,0.5000
53,0.2673,0.9508,0.5000
54,0.2631,0.9508,0.5000
55,0.2588,0.9508,0.5000
56,0.2630,0.9508,0.5000
57,0.2555,0.9508,0.5000
58,0.2644,0.9508,0.5000
59,0.2639,0.9508,0.5000
60,0.2530,0.9508,0.5000
61,0.2533,0.9508,0.5000
62,0.2597,0.9508,0.5000
63,0.2625,0.9508,0.5000
64,0.2733,0.9508,0.5000
65,0.2541,0.9508,0.5000
66,0.2638,0.9508,0.5000
67,0.2579,0.9508,0.5000
68,0.2650,0.9508,0.5000
69,0.2542,0.9508,0.5000
70,0.2572,0.9508,0.5000
71,0.2577,0.9508,0.5000
72,0.2582,0.9508,0.5000
73,0.2585,0.9508,0.5000
74,0.2567,0.9508,0.5000
75,0.2634,0.9508,0.5000
76,0.2588,0.9508,0.5000
77,0.2543,0.9508,0.5000
78,0.2525,0.9508,0.5000
79,0.2593,0.9508,0.5000
80,0.2556,0.9508,0.5000
81,0.2671,0.9508,0.5000
82,0.2535,0.9508,0.5000
83,0.2585,0.9508,0.5000
84,0.2587,0.9508,0.5000
85,0.2525,0.9508,0.5000
86,0.2529,0.9508,0.5000
87,0.2532,0.9508,0.5000
88,0.2545,0.9508,0.5000
89,0.2626,0.9508,0.5000
90,0.2577,0.9508,0.5000
91,0.2569,0.9508,0.5000
92,0.2600,0.9508,0.5000
93,0.2596,0.9508,0.5000
94,0.2616,0.9508,0.5000
95,0.2597,0.9508,0.5000
96,0.2551,0.9508,0.5000
97,0.2591,0.9508,0.5000
98,0.2552,0.9508,0.5000
99,0.2599,0.9508,0.5000
100,0.2559,0.9508,0.5000
