Epoch,Loss,TestAcc,TestAuc
1,0.6084,0.8116,0.5566
2,0.5372,0.8116,0.5574
3,0.5389,0.8116,0.5578
4,0.5260,0.8116,0.5602
5,0.5192,0.8116,0.5601
6,0.5156,0.8116,0.5585
7,0.5256,0.8116,0.5690
8,0.5127,0.8116,0.5572
9,0.5187,0.8116,0.5619
10,0.5162,0.8116,0.5582
11,0.5163,0.8116,0.5544
12,0.5179,0.8116,0.5542
13,0.5115,0.8116,0.5597
14,0.5148,0.8116,0.5542
15,0.5198,0.8116,0.5556
16,0.5117,0.8116,0.5095
17,0.5136,0.8019,0.4500
18,0.5148,0.8116,0.5146
19,0.5169,0.8116,0.5623
20,0.5121,0.8116,0.5523
21,0.5148,0.8116,0.5499
22,0.5138,0.8116,0.5082
23,0.5135,0.8116,0.5483
24,0.5147,0.8116,0.5474
25,0.5174,0.8116,0.5509
26,0.5151,0.8116,0.5475
27,0.5120,0.8116,0.5510
28,0.5131,0.8116,0.5491
29,0.5158,0.8116,0.5543
30,0.5140,0.8116,0.5562
31,0.5145,0.8116,0.5535
32,0.5135,0.8116,0.5506
33,0.5134,0.8116,0.5530
34,0.5135,0.8116,0.5495
35,0.5119,0.8116,0.4228
36,0.5143,0.8116,0.4456
37,0.5103,0.8116,0.5489
38,0.5114,0.8116,0.4949
39,0.5106,0.8116,0.5476
40,0.5119,0.8116,0.5530
41,0.5169,0.8116,0.5569
42,0.5131,0.8116,0.5491
43,0.5145,0.8116,0.5552
44,0.5121,0.8116,0.5546
45,0.5123,0.8116,0.5471
46,0.5113,0.8116,0.5520
47,0.5140,0.8116,0.4531
48,0.5114,0.8116,0.5494
49,0.5100,0.8116,0.5500
50,0.5131,0.8116,0.5494
51,0.5117,0.8116,0.5527
52,0.5123,0.8116,0.4969
53,0.5144,0.8116,0.5475
54,0.5158,0.8116,0.4288
55,0.5146,0.8116,0.5234
56,0.5125,0.8116,0.5377
57,0.5122,0.8116,0.5559
58,0.5136,0.8116,0.4386
59,0.5134,0.8116,0.5572
60,0.5109,0.8116,0.4372
61,0.5127,0.8116,0.4299
62,0.5121,0.8116,0.4291
63,0.5111,0.8116,0.5422
64,0.5125,0.8116,0.5297
65,0.5113,0.8116,0.5549
66,0.5138,0.8116,0.5552
67,0.5116,0.8116,0.5542
68,0.5122,0.8116,0.5556
69,0.5132,0.8116,0.5475
70,0.5118,0.8116,0.5500
71,0.5120,0.8116,0.5420
72,0.5126,0.8116,0.5411
73,0.5128,0.8116,0.4915
74,0.5116,0.8116,0.5375
75,0.5114,0.8116,0.5420
76,0.5115,0.8116,0.5498
77,0.5120,0.8116,0.5501
78,0.5120,0.8116,0.5420
79,0.5124,0.8116,0.5224
80,0.5119,0.8116,0.5434
81,0.5105,0.8116,0.5514
82,0.5114,0.8116,0.5379
83,0.5127,0.8116,0.5344
84,0.5123,0.8116,0.5417
85,0.5137,0.8116,0.5198
86,0.5118,0.8116,0.5373
87,0.5110,0.8116,0.5515
88,0.5110,0.8116,0.5436
89,0.5115,0.8116,0.5428
90,0.5125,0.8116,0.4649
91,0.5126,0.8116,0.4370
92,0.5120,0.8116,0.5188
93,0.5121,0.8116,0.5465
94,0.5112,0.8116,0.5462
95,0.5113,0.8116,0.4370
96,0.5118,0.8116,0.5446
97,0.5130,0.8116,0.5422
98,0.5123,0.8116,0.5364
99,0.5122,0.8116,0.5471
100,0.5122,0.8116,0.5382
