Epoch,Loss,TestAcc,TestAuc
1,0.6394,0.8361,0.4078
2,0.5144,0.8361,0.4078
3,0.5028,0.8361,0.4196
4,0.4972,0.8361,0.4275
5,0.5063,0.8361,0.4314
6,0.4684,0.8361,0.4373
7,0.4599,0.8361,0.4431
8,0.4540,0.8361,0.4510
9,0.4601,0.8361,0.4510
10,0.4741,0.8361,0.4510
11,0.4739,0.8361,0.4490
12,0.4543,0.8361,0.4490
13,0.4547,0.8361,0.4490
14,0.4611,0.8361,0.4333
15,0.4646,0.8361,0.4412
16,0.4476,0.8361,0.4490
17,0.4575,0.8361,0.4353
18,0.4514,0.8361,0.4451
19,0.4536,0.8361,0.4549
20,0.4561,0.8361,0.5549
21,0.4509,0.8361,0.5000
22,0.4570,0.8361,0.5765
23,0.4549,0.8361,0.5647
24,0.4637,0.8361,0.5627
25,0.4502,0.8361,0.5706
26,0.4483,0.8361,0.5667
27,0.4447,0.8361,0.5843
28,0.4403,0.8361,0.5922
29,0.4443,0.8361,0.5765
30,0.4509,0.8361,0.5510
31,0.4511,0.8361,0.5471
32,0.4651,0.8361,0.5392
33,0.4447,0.8361,0.5333
34,0.4546,0.8361,0.5314
35,0.4452,0.8361,0.5294
36,0.4517,0.8361,0.5235
37,0.4370,0.8361,0.5216
38,0.4401,0.8361,0.5157
39,0.4490,0.8361,0.5157
40,0.4468,0.8361,0.4765
41,0.4615,0.8361,0.4098
42,0.4457,0.8361,0.4745
43,0.4419,0.8361,0.4431
44,0.4332,0.8361,0.4647
45,0.4614,0.8361,0.4667
46,0.4600,0.8361,0.4706
47,0.4470,0.8361,0.6000
48,0.4538,0.8361,0.6627
49,0.4489,0.8361,0.5118
50,0.4451,0.8361,0.6294
51,0.4511,0.8361,0.5784
52,0.4325,0.8361,0.6824
53,0.4523,0.8361,0.6765
54,0.4581,0.8361,0.5765
55,0.4538,0.8361,0.5784
56,0.4399,0.8361,0.5176
57,0.4476,0.8361,0.5020
58,0.4550,0.8361,0.6471
59,0.4529,0.8361,0.5863
60,0.4423,0.8361,0.6510
61,0.4510,0.8361,0.6373
62,0.4468,0.8361,0.5843
63,0.4493,0.8361,0.5941
64,0.4480,0.8361,0.5490
65,0.4430,0.8361,0.5059
66,0.4424,0.8361,0.4941
67,0.4586,0.8361,0.5765
68,0.4528,0.8361,0.5804
69,0.4422,0.8361,0.6196
70,0.4471,0.8361,0.5784
71,0.4443,0.8361,0.5667
72,0.4431,0.8361,0.5686
73,0.4569,0.8361,0.5784
74,0.4479,0.8361,0.5725
75,0.4446,0.8361,0.5706
76,0.4560,0.8361,0.4941
77,0.4436,0.8361,0.5510
78,0.4512,0.8361,0.5549
79,0.4426,0.8361,0.4824
80,0.4418,0.8361,0.4980
81,0.4447,0.8361,0.5529
82,0.4477,0.8361,0.5490
83,0.4381,0.8361,0.5510
84,0.4457,0.8361,0.5608
85,0.4488,0.8361,0.5608
86,0.4335,0.8361,0.5529
87,0.4468,0.8361,0.5431
88,0.4447,0.8361,0.5392
89,0.4431,0.8361,0.5647
90,0.4422,0.8361,0.5706
91,0.4401,0.8361,0.5804
92,0.4477,0.8361,0.5706
93,0.4435,0.8361,0.5627
94,0.4451,0.8361,0.5314
95,0.4461,0.8361,0.5098
96,0.4441,0.8361,0.5176
97,0.4400,0.8361,0.5373
98,0.4483,0.8361,0.5353
99,0.4420,0.8361,0.5333
100,0.4507,0.8361,0.5294
