Epoch,Loss,TestAcc,TestAuc
1,0.4956,0.8689,0.5000
2,0.5187,0.8689,0.5000
3,0.4279,0.8689,0.5000
4,0.4857,0.8689,0.5000
5,0.4587,0.8689,0.5000
6,0.4280,0.8689,0.5000
7,0.4387,0.8689,0.5000
8,0.4442,0.8689,0.5000
9,0.4418,0.8689,0.5000
10,0.4351,0.8689,0.5000
11,0.3807,0.8689,0.5000
12,0.4420,0.8689,0.5000
13,0.4000,0.8689,0.5000
14,0.3980,0.8689,0.5000
15,0.3918,0.8689,0.5000
16,0.4014,0.8689,0.5000
17,0.3873,0.8689,0.5000
18,0.3885,0.8689,0.5000
19,0.3940,0.8689,0.5000
20,0.3864,0.8689,0.5000
21,0.3907,0.8689,0.5000
22,0.3921,0.8689,0.5000
23,0.3963,0.8689,0.5000
24,0.3897,0.8689,0.5000
25,0.3784,0.8689,0.5000
26,0.4017,0.8689,0.5000
27,0.3902,0.8689,0.5000
28,0.3899,0.8689,0.5000
29,0.3847,0.8689,0.5000
30,0.3766,0.8689,0.5000
31,0.3830,0.8689,0.5000
32,0.3928,0.8689,0.5000
33,0.3912,0.8689,0.5000
34,0.3934,0.8689,0.5000
35,0.3847,0.8689,0.5000
36,0.3877,0.8689,0.5000
37,0.3868,0.8689,0.5000
38,0.3762,0.8689,0.5000
39,0.3940,0.8689,0.5000
40,0.3831,0.8689,0.5000
41,0.3742,0.8689,0.5000
42,0.3822,0.8689,0.5000
43,0.4132,0.8689,0.5000
44,0.3833,0.8689,0.5000
45,0.4024,0.8689,0.5000
46,0.3999,0.8689,0.5000
47,0.3899,0.8689,0.5000
48,0.3836,0.8689,0.5000
49,0.3778,0.8689,0.5000
50,0.3948,0.8689,0.5000
51,0.3974,0.8689,0.5000
52,0.3895,0.8689,0.5000
53,0.3915,0.8689,0.5000
54,0.3817,0.8689,0.5000
55,0.3972,0.8689,0.5000
56,0.3885,0.8689,0.5000
57,0.3974,0.8689,0.5000
58,0.3765,0.8689,0.5000
59,0.3924,0.8689,0.5000
60,0.3867,0.8689,0.5000
61,0.3857,0.8689,0.5000
62,0.3925,0.8689,0.5000
63,0.3822,0.8689,0.5000
64,0.3875,0.8689,0.5000
65,0.3820,0.8689,0.5000
66,0.3860,0.8689,0.5000
67,0.3948,0.8689,0.5000
68,0.3831,0.8689,0.5000
69,0.3891,0.8689,0.5000
70,0.3815,0.8689,0.5000
71,0.3894,0.8689,0.5000
72,0.3893,0.8689,0.5000
73,0.3913,0.8689,0.5000
74,0.3821,0.8689,0.5000
75,0.3964,0.8689,0.5000
76,0.3883,0.8689,0.5000
77,0.3885,0.8689,0.5000
78,0.3867,0.8689,0.5000
79,0.3808,0.8689,0.5000
80,0.3908,0.8689,0.5000
81,0.3845,0.8689,0.5000
82,0.3885,0.8689,0.5000
83,0.3850,0.8689,0.5000
84,0.3863,0.8689,0.5000
85,0.3856,0.8689,0.5000
86,0.3901,0.8689,0.5000
87,0.3856,0.8689,0.5000
88,0.3868,0.8689,0.5000
89,0.3958,0.8689,0.5000
90,0.3921,0.8689,0.5000
91,0.3887,0.8689,0.5000
92,0.3882,0.8689,0.5000
93,0.3804,0.8689,0.5000
94,0.3831,0.8689,0.5000
95,0.3909,0.8689,0.5000
96,0.3835,0.8689,0.5000
97,0.3890,0.8689,0.5000
98,0.3865,0.8689,0.5000
99,0.3855,0.8689,0.5000
100,0.3874,0.8689,0.5000
