Epoch,Loss,TestAcc,TestAuc
1,0.6745,0.8033,0.5000
2,0.5169,0.8033,0.5000
3,0.5258,0.8033,0.5000
4,0.5196,0.8033,0.5000
5,0.5261,0.8033,0.5000
6,0.5560,0.8033,0.5000
7,0.5305,0.8033,0.5000
8,0.5082,0.8033,0.5000
9,0.5274,0.8033,0.5000
10,0.4622,0.8033,0.5000
11,0.5045,0.8033,0.5000
12,0.5007,0.8033,0.5000
13,0.5065,0.8033,0.5000
14,0.4758,0.8033,0.5000
15,0.4938,0.8033,0.5000
16,0.4857,0.8033,0.5000
17,0.4682,0.8033,0.5000
18,0.4784,0.8033,0.5000
19,0.4850,0.8033,0.5000
20,0.4774,0.8033,0.5000
21,0.4823,0.8033,0.5000
22,0.4583,0.8033,0.5000
23,0.4738,0.8033,0.5000
24,0.4857,0.8033,0.5000
25,0.4709,0.8033,0.5000
26,0.4672,0.8033,0.5000
27,0.4772,0.8033,0.5000
28,0.4753,0.8033,0.5000
29,0.4908,0.8033,0.5000
30,0.4782,0.8033,0.5000
31,0.4802,0.8033,0.5000
32,0.4574,0.8033,0.5000
33,0.4807,0.8033,0.5000
34,0.4810,0.8033,0.5000
35,0.4705,0.8033,0.5000
36,0.4753,0.8033,0.5000
37,0.4773,0.8033,0.5000
38,0.4614,0.8033,0.5000
39,0.4809,0.8033,0.5000
40,0.4717,0.8033,0.5000
41,0.4773,0.8033,0.5000
42,0.4750,0.8033,0.5000
43,0.4710,0.8033,0.5000
44,0.4661,0.8033,0.5000
45,0.4827,0.8033,0.5000
46,0.4731,0.8033,0.5000
47,0.4758,0.8033,0.5000
48,0.4745,0.8033,0.5000
49,0.4714,0.8033,0.5000
50,0.4811,0.8033,0.5000
51,0.4776,0.8033,0.5000
52,0.4768,0.8033,0.5000
53,0.4652,0.8033,0.5000
54,0.4668,0.8033,0.5000
55,0.4825,0.8033,0.5000
56,0.4661,0.8033,0.5000
57,0.4669,0.8033,0.5000
58,0.4682,0.8033,0.5000
59,0.4696,0.8033,0.5000
60,0.4663,0.8033,0.5000
61,0.4785,0.8033,0.5000
62,0.4712,0.8033,0.5000
63,0.4870,0.8033,0.5000
64,0.4681,0.8033,0.5000
65,0.4710,0.8033,0.5000
66,0.4786,0.8033,0.5000
67,0.4787,0.8033,0.5000
68,0.4810,0.8033,0.5000
69,0.4799,0.8033,0.5000
70,0.4703,0.8033,0.5000
71,0.4752,0.8033,0.5000
72,0.4636,0.8033,0.5000
73,0.4642,0.8033,0.5000
74,0.4804,0.8033,0.5000
75,0.4774,0.8033,0.5000
76,0.4700,0.8033,0.5000
77,0.4712,0.8033,0.5000
78,0.4722,0.8033,0.5000
79,0.4733,0.8033,0.5000
80,0.4722,0.8033,0.5000
81,0.4762,0.8033,0.5000
82,0.4746,0.8033,0.5000
83,0.4759,0.8033,0.5000
84,0.4679,0.8033,0.5000
85,0.4725,0.8033,0.5000
86,0.4720,0.8033,0.5000
87,0.4715,0.8033,0.5000
88,0.4679,0.8033,0.5000
89,0.4675,0.8033,0.5000
90,0.4703,0.8033,0.5000
91,0.4697,0.8033,0.5000
92,0.4682,0.8033,0.5000
93,0.4699,0.8033,0.5000
94,0.4809,0.8033,0.5000
95,0.4726,0.8033,0.5000
96,0.4709,0.8033,0.5000
97,0.4673,0.8033,0.5000
98,0.4682,0.8033,0.5000
99,0.4705,0.8033,0.5000
100,0.4651,0.8033,0.5000
