Epoch,Loss,TestAcc,TestAuc
1,0.6528,0.8689,0.5425
2,0.5999,0.8689,0.5613
3,0.6115,0.8689,0.6274
4,0.5329,0.8689,0.6745
5,0.5243,0.8689,0.6392
6,0.5216,0.8689,0.6061
7,0.5240,0.8689,0.5660
8,0.5172,0.8689,0.5401
9,0.5271,0.8689,0.5542
10,0.5160,0.8689,0.5920
11,0.5029,0.8689,0.5708
12,0.5248,0.8689,0.5613
13,0.5296,0.8689,0.5472
14,0.5174,0.8689,0.5330
15,0.5057,0.8689,0.5354
16,0.4944,0.8689,0.5259
17,0.5109,0.8689,0.5259
18,0.5129,0.8689,0.5236
19,0.5030,0.8689,0.5425
20,0.5168,0.8689,0.5778
21,0.4993,0.8689,0.5920
22,0.4970,0.8689,0.5943
23,0.5019,0.8689,0.6108
24,0.4968,0.8689,0.6179
25,0.4966,0.8689,0.6274
26,0.4964,0.8689,0.6344
27,0.4857,0.8689,0.6368
28,0.4987,0.8689,0.6439
29,0.4960,0.8689,0.6533
30,0.4996,0.8689,0.6462
31,0.4937,0.8689,0.6698
32,0.4995,0.8689,0.7146
33,0.5046,0.8689,0.7264
34,0.4910,0.8689,0.6887
35,0.5091,0.8689,0.6840
36,0.4938,0.8689,0.4788
37,0.4937,0.8689,0.4481
38,0.4992,0.8689,0.4623
39,0.4935,0.8689,0.6769
40,0.5077,0.8689,0.6745
41,0.4974,0.8689,0.6651
42,0.4951,0.8689,0.4646
43,0.5022,0.8689,0.4269
44,0.4972,0.8689,0.4316
45,0.5044,0.8689,0.6085
46,0.4993,0.8689,0.4693
47,0.4939,0.8689,0.4552
48,0.4976,0.8689,0.4410
49,0.4958,0.8689,0.4245
50,0.4912,0.8689,0.4127
51,0.4900,0.8689,0.5142
52,0.4834,0.8689,0.5802
53,0.4950,0.8689,0.5825
54,0.4936,0.8689,0.5637
55,0.4921,0.8689,0.5094
56,0.5017,0.8689,0.3160
57,0.4993,0.8689,0.5330
58,0.4930,0.8689,0.5708
59,0.4998,0.8689,0.5755
60,0.5019,0.8689,0.5755
61,0.4943,0.8689,0.5849
62,0.4959,0.8689,0.5790
63,0.4963,0.8689,0.5778
64,0.4921,0.8689,0.5802
65,0.4971,0.8689,0.5849
66,0.4962,0.8689,0.5259
67,0.4932,0.8689,0.5330
68,0.4958,0.8689,0.5613
69,0.4939,0.8689,0.5849
70,0.4946,0.8689,0.5967
71,0.4973,0.8689,0.5778
72,0.4886,0.8689,0.5802
73,0.4937,0.8689,0.5896
74,0.4932,0.8689,0.5825
75,0.4921,0.8689,0.5542
76,0.5017,0.8689,0.3514
77,0.5005,0.8689,0.3726
78,0.4946,0.8689,0.3561
79,0.4974,0.8689,0.3561
80,0.4903,0.8689,0.3538
81,0.4887,0.8689,0.3349
82,0.4985,0.8689,0.3349
83,0.4961,0.8689,0.3632
84,0.4959,0.8689,0.3420
85,0.4961,0.8689,0.3090
86,0.4971,0.8689,0.4835
87,0.5015,0.8689,0.4811
88,0.5015,0.8689,0.3208
89,0.4954,0.8689,0.4009
90,0.4972,0.8689,0.3113
91,0.4998,0.8689,0.4858
92,0.4912,0.8689,0.5448
93,0.4959,0.8689,0.5590
94,0.4923,0.8689,0.5613
95,0.4941,0.8689,0.5425
96,0.4958,0.8689,0.5377
97,0.4953,0.8689,0.5542
98,0.4938,0.8689,0.5613
99,0.4916,0.8689,0.5283
100,0.4924,0.8689,0.5000
