Epoch,Loss,TestAcc,TestAuc
1,0.4819,0.9508,0.5000
2,0.3736,0.9508,0.5000
3,0.3357,0.9508,0.5000
4,0.3525,0.9508,0.5000
5,0.3399,0.9508,0.5000
6,0.3650,0.9508,0.5000
7,0.3066,0.9508,0.5000
8,0.3027,0.9508,0.5000
9,0.3093,0.9508,0.5000
10,0.2835,0.9508,0.5000
11,0.3242,0.9508,0.5000
12,0.3056,0.9508,0.5000
13,0.3054,0.9508,0.5000
14,0.3478,0.9508,0.5000
15,0.2981,0.9508,0.5000
16,0.3080,0.9508,0.5000
17,0.3280,0.9508,0.5000
18,0.3248,0.9508,0.5000
19,0.3066,0.9508,0.5000
20,0.2781,0.9508,0.5000
21,0.3121,0.9508,0.5000
22,0.2827,0.9508,0.5000
23,0.2933,0.9508,0.5000
24,0.2842,0.9508,0.5000
25,0.3035,0.9508,0.5000
26,0.2976,0.9508,0.5000
27,0.3066,0.9508,0.5000
28,0.3086,0.9508,0.5000
29,0.3027,0.9508,0.5000
30,0.2806,0.9508,0.5000
31,0.2959,0.9508,0.5000
32,0.3046,0.9508,0.5000
33,0.2936,0.9508,0.5000
34,0.3056,0.9508,0.5000
35,0.2831,0.9508,0.5000
36,0.2971,0.9508,0.5000
37,0.2975,0.9508,0.5000
38,0.2904,0.9508,0.5000
39,0.2829,0.9508,0.5000
40,0.3058,0.9508,0.5000
41,0.3034,0.9508,0.5000
42,0.2888,0.9508,0.5000
43,0.2975,0.9508,0.5000
44,0.2879,0.9508,0.5000
45,0.2933,0.9508,0.5000
46,0.2895,0.9508,0.5000
47,0.2899,0.9508,0.5000
48,0.2964,0.9508,0.5000
49,0.2930,0.9508,0.5000
50,0.2925,0.9508,0.5000
51,0.2800,0.9508,0.5000
52,0.2848,0.9508,0.5000
53,0.2897,0.9508,0.5000
54,0.2951,0.9508,0.5000
55,0.2896,0.9508,0.5000
56,0.2842,0.9508,0.5000
57,0.2891,0.9508,0.5000
58,0.2836,0.9508,0.5000
59,0.2938,0.9508,0.5000
60,0.3005,0.9508,0.5000
61,0.2887,0.9508,0.5000
62,0.2978,0.9508,0.5000
63,0.2831,0.9508,0.5000
64,0.2903,0.9508,0.5000
65,0.2889,0.9508,0.5000
66,0.2867,0.9508,0.5000
67,0.2810,0.9508,0.5000
68,0.2983,0.9508,0.5000
69,0.2915,0.9508,0.5000
70,0.2888,0.9508,0.5000
71,0.2821,0.9508,0.5000
72,0.2896,0.9508,0.5000
73,0.2863,0.9508,0.5000
74,0.2881,0.9508,0.5000
75,0.2979,0.9508,0.5000
76,0.2818,0.9508,0.5000
77,0.2874,0.9508,0.5000
78,0.2914,0.9508,0.5000
79,0.2947,0.9508,0.5000
80,0.2859,0.9508,0.5000
81,0.2981,0.9508,0.5000
82,0.2850,0.9508,0.5000
83,0.2908,0.9508,0.5000
84,0.2842,0.9508,0.5000
85,0.2895,0.9508,0.5000
86,0.2841,0.9508,0.5000
87,0.2844,0.9508,0.5000
88,0.2910,0.9508,0.5000
89,0.2891,0.9508,0.5000
90,0.2918,0.9508,0.5000
91,0.2887,0.9508,0.5000
92,0.2870,0.9508,0.5000
93,0.2810,0.9508,0.5000
94,0.2961,0.9508,0.5000
95,0.2847,0.9508,0.5000
96,0.2839,0.9508,0.5000
97,0.2883,0.9508,0.5000
98,0.2958,0.9508,0.5000
99,0.2926,0.9508,0.5000
100,0.2879,0.9508,0.5000
