Epoch,Loss,TestAcc,TestAuc
1,0.1325,0.9824,0.6292
2,0.0937,0.9824,0.6293
3,0.0810,0.9824,0.6307
4,0.0758,0.9824,0.6340
5,0.0746,0.9824,0.6357
6,0.0732,0.9824,0.6347
7,0.0711,0.9824,0.6363
8,0.0698,0.9824,0.6341
9,0.0711,0.9824,0.6326
10,0.0687,0.9824,0.6285
11,0.0690,0.9824,0.6244
12,0.0699,0.9824,0.6262
13,0.0694,0.9824,0.6289
14,0.0678,0.9824,0.6264
15,0.0692,0.9824,0.6285
16,0.0668,0.9824,0.6275
17,0.0669,0.9824,0.6286
18,0.0664,0.9824,0.6313
19,0.0656,0.9824,0.6291
20,0.0674,0.9824,0.6307
21,0.0657,0.9824,0.6311
22,0.0648,0.9824,0.6329
23,0.0652,0.9824,0.6317
24,0.0657,0.9824,0.4372
25,0.0649,0.9824,0.6329
26,0.0675,0.9824,0.6262
27,0.0652,0.9824,0.6361
28,0.0656,0.9824,0.6327
29,0.0648,0.9824,0.6257
30,0.0647,0.9824,0.3481
31,0.0658,0.9824,0.4133
32,0.0656,0.9824,0.6264
33,0.0649,0.9824,0.6364
34,0.0647,0.9824,0.6338
35,0.0653,0.9824,0.5961
36,0.0649,0.9824,0.6199
37,0.0647,0.9824,0.6245
38,0.0665,0.9824,0.4110
39,0.0656,0.9824,0.6250
40,0.0655,0.9824,0.6264
41,0.0652,0.9824,0.6159
42,0.0641,0.9824,0.6194
43,0.0656,0.9824,0.6261
44,0.0653,0.9824,0.6251
45,0.0649,0.9824,0.6266
46,0.0648,0.9824,0.6302
47,0.0653,0.9824,0.6277
48,0.0652,0.9824,0.6307
49,0.0648,0.9824,0.6225
50,0.0651,0.9824,0.6280
51,0.0655,0.9824,0.6261
52,0.0648,0.9824,0.6261
53,0.0643,0.9824,0.6198
54,0.0670,0.9824,0.6248
55,0.0651,0.9824,0.4184
56,0.0648,0.9824,0.4232
57,0.0647,0.9824,0.6135
58,0.0640,0.9824,0.6312
59,0.0644,0.9824,0.6149
60,0.0640,0.9824,0.6252
61,0.0648,0.9824,0.3536
62,0.0655,0.9824,0.6152
63,0.0651,0.9824,0.6294
64,0.0647,0.9824,0.6290
65,0.0656,0.9824,0.3713
66,0.0647,0.9824,0.6295
67,0.0633,0.9824,0.6282
68,0.0656,0.9824,0.6375
69,0.0657,0.9824,0.6320
70,0.0650,0.9824,0.6342
71,0.0639,0.9824,0.6333
72,0.0646,0.9824,0.6326
73,0.0653,0.9824,0.6177
74,0.0648,0.9824,0.6331
75,0.0663,0.9824,0.6320
76,0.0646,0.9824,0.6305
77,0.0648,0.9824,0.6328
78,0.0647,0.9824,0.6261
79,0.0654,0.9824,0.6278
80,0.0641,0.9824,0.6318
81,0.0649,0.9824,0.6320
82,0.0652,0.9824,0.6313
83,0.0644,0.9824,0.6329
84,0.0647,0.9824,0.6307
85,0.0649,0.9824,0.6327
86,0.0647,0.9824,0.6331
87,0.0648,0.9824,0.6316
88,0.0646,0.9824,0.6317
89,0.0655,0.9824,0.6298
90,0.0655,0.9824,0.6317
91,0.0642,0.9824,0.6322
92,0.0653,0.9824,0.6310
93,0.0642,0.9824,0.6248
94,0.0643,0.9824,0.6303
95,0.0649,0.9824,0.6323
96,0.0640,0.9824,0.6274
97,0.0657,0.9824,0.6308
98,0.0644,0.9824,0.6334
99,0.0641,0.9824,0.6351
100,0.0648,0.9824,0.6333
