Epoch,Loss,TestAcc,TestAuc
1,0.1365,0.9868,0.6366
2,0.0929,0.9868,0.6392
3,0.0833,0.9868,0.6404
4,0.0725,0.9868,0.6446
5,0.0683,0.9868,0.6435
6,0.0662,0.9868,0.6442
7,0.0709,0.9868,0.6338
8,0.0671,0.9868,0.6419
9,0.0649,0.9868,0.6374
10,0.0677,0.9868,0.6438
11,0.0658,0.9868,0.3267
12,0.0664,0.9868,0.6306
13,0.0661,0.9868,0.6316
14,0.0670,0.9868,0.6247
15,0.0650,0.9868,0.6145
16,0.0660,0.9868,0.4885
17,0.0651,0.9868,0.6338
18,0.0663,0.9868,0.6331
19,0.0673,0.9868,0.6270
20,0.0649,0.9868,0.6361
21,0.0662,0.9868,0.6358
22,0.0652,0.9868,0.6450
23,0.0656,0.9868,0.6456
24,0.0658,0.9868,0.6427
25,0.0649,0.9868,0.6420
26,0.0646,0.9868,0.6387
27,0.0641,0.9868,0.6339
28,0.0650,0.9868,0.6260
29,0.0649,0.9868,0.6485
30,0.0640,0.9868,0.6481
31,0.0651,0.9868,0.6409
32,0.0648,0.9868,0.6513
33,0.0643,0.9868,0.6427
34,0.0652,0.9868,0.6384
35,0.0650,0.9868,0.6367
36,0.0644,0.9868,0.6384
37,0.0647,0.9868,0.6428
38,0.0649,0.9868,0.6241
39,0.0648,0.9868,0.6343
40,0.0647,0.9868,0.6478
41,0.0651,0.9868,0.6473
42,0.0645,0.9868,0.6471
43,0.0662,0.9868,0.6456
44,0.0643,0.9868,0.6382
45,0.0656,0.9868,0.6420
46,0.0650,0.9868,0.6491
47,0.0640,0.9868,0.6297
48,0.0639,0.9868,0.6417
49,0.0647,0.9868,0.3130
50,0.0647,0.9868,0.6478
51,0.0641,0.9868,0.6409
52,0.0645,0.9868,0.3609
53,0.0655,0.9868,0.6499
54,0.0643,0.9868,0.3839
55,0.0644,0.9868,0.6528
56,0.0646,0.9868,0.6493
57,0.0637,0.9868,0.6458
58,0.0648,0.9868,0.6514
59,0.0652,0.9868,0.6485
60,0.0646,0.9868,0.6493
61,0.0644,0.9868,0.6489
62,0.0639,0.9868,0.6480
63,0.0658,0.9868,0.6524
64,0.0642,0.9868,0.6445
65,0.0667,0.9868,0.6476
66,0.0655,0.9868,0.6491
67,0.0645,0.9868,0.6450
68,0.0645,0.9868,0.6473
69,0.0656,0.9868,0.6453
70,0.0648,0.9868,0.6471
71,0.0636,0.9868,0.6414
72,0.0687,0.9868,0.6554
73,0.0642,0.9868,0.6450
74,0.0654,0.9868,0.6458
75,0.0643,0.9868,0.6435
76,0.0651,0.9868,0.6456
77,0.0646,0.9868,0.6424
78,0.0646,0.9868,0.6465
79,0.0649,0.9868,0.6424
80,0.0640,0.9868,0.6409
81,0.0650,0.9868,0.6445
82,0.0651,0.9868,0.6468
83,0.0646,0.9868,0.6407
84,0.0641,0.9868,0.6460
85,0.0640,0.9868,0.6481
86,0.0649,0.9868,0.6460
87,0.0645,0.9868,0.6430
88,0.0653,0.9868,0.6399
89,0.0649,0.9868,0.6391
90,0.0667,0.9868,0.6513
91,0.0647,0.9868,0.6488
92,0.0645,0.9868,0.6499
93,0.0644,0.9868,0.6480
94,0.0639,0.9868,0.6463
95,0.0659,0.9868,0.6481
96,0.0650,0.9868,0.6478
97,0.0649,0.9868,0.6422
98,0.0646,0.9868,0.6452
99,0.0657,0.9868,0.6483
100,0.0642,0.9868,0.6473
