Epoch,Loss,TestAcc,TestAuc
1,0.5358,0.8507,0.5488
2,0.4582,0.8507,0.5522
3,0.4545,0.8507,0.5545
4,0.4587,0.8507,0.5577
5,0.4498,0.8507,0.5582
6,0.4484,0.8507,0.5549
7,0.4449,0.8507,0.5581
8,0.4483,0.8507,0.5570
9,0.4454,0.8507,0.4477
10,0.4458,0.8507,0.5610
11,0.4459,0.8507,0.4842
12,0.4464,0.8507,0.5632
13,0.4447,0.8507,0.5610
14,0.4465,0.8507,0.5620
15,0.4439,0.8507,0.5636
16,0.4441,0.8507,0.4879
17,0.4451,0.8507,0.4622
18,0.4444,0.8507,0.4798
19,0.4443,0.8507,0.4721
20,0.4442,0.8507,0.5545
21,0.4443,0.8507,0.5565
22,0.4443,0.8507,0.4761
23,0.4433,0.8507,0.5547
24,0.4446,0.8507,0.5533
25,0.4433,0.8507,0.5526
26,0.4427,0.8507,0.4727
27,0.4434,0.8507,0.4773
28,0.4443,0.8507,0.5568
29,0.4442,0.8507,0.5473
30,0.4442,0.8507,0.5523
31,0.4437,0.8507,0.5495
32,0.4442,0.8507,0.4688
33,0.4435,0.8507,0.4613
34,0.4438,0.8507,0.5349
35,0.4435,0.8507,0.4957
36,0.4433,0.8507,0.4686
37,0.4440,0.8507,0.5547
38,0.4438,0.8507,0.5545
39,0.4435,0.8507,0.5540
40,0.4439,0.8507,0.5476
41,0.4433,0.8507,0.4644
42,0.4442,0.8507,0.4748
43,0.4435,0.8507,0.4708
44,0.4435,0.8507,0.4569
45,0.4431,0.8507,0.4582
46,0.4441,0.8507,0.5460
47,0.4435,0.8507,0.4736
48,0.4438,0.8507,0.5514
49,0.4437,0.8507,0.5418
50,0.4430,0.8507,0.5512
51,0.4436,0.8507,0.5496
52,0.4434,0.8507,0.4432
53,0.4424,0.8507,0.5481
54,0.4449,0.8507,0.5522
55,0.4436,0.8507,0.4517
56,0.4434,0.8507,0.5525
57,0.4443,0.8507,0.4641
58,0.4436,0.8507,0.4638
59,0.4436,0.8507,0.5528
60,0.4436,0.8507,0.4662
61,0.4435,0.8507,0.5491
62,0.4438,0.8507,0.5515
63,0.4440,0.8507,0.4467
64,0.4440,0.8507,0.5490
65,0.4435,0.8507,0.4650
66,0.4431,0.8507,0.5481
67,0.4439,0.8507,0.5486
68,0.4436,0.8507,0.4585
69,0.4439,0.8507,0.4632
70,0.4437,0.8507,0.5520
71,0.4437,0.8507,0.5475
72,0.4432,0.8507,0.4603
73,0.4440,0.8507,0.5489
74,0.4438,0.8507,0.4666
75,0.4437,0.8507,0.4661
76,0.4440,0.8507,0.4612
77,0.4438,0.8507,0.4576
78,0.4437,0.8507,0.4625
79,0.4435,0.8507,0.5514
80,0.4439,0.8507,0.4538
81,0.4438,0.8507,0.5525
82,0.4439,0.8507,0.4540
83,0.4437,0.8507,0.4597
84,0.4436,0.8507,0.4642
85,0.4439,0.8507,0.5341
86,0.4437,0.8507,0.5515
87,0.4436,0.8507,0.5516
88,0.4437,0.8507,0.4515
89,0.4436,0.8507,0.4493
90,0.4436,0.8507,0.5524
91,0.4436,0.8507,0.4486
92,0.4438,0.8507,0.5526
93,0.4437,0.8507,0.5525
94,0.4436,0.8507,0.5495
95,0.4435,0.8507,0.5559
96,0.4436,0.8507,0.5344
97,0.4437,0.8507,0.5273
98,0.4436,0.8507,0.5188
99,0.4437,0.8507,0.5456
100,0.4435,0.8507,0.5017
