Epoch,Loss,TestAcc,TestAuc
1,0.5052,0.9078,0.4174
2,0.3826,0.9078,0.4180
3,0.3623,0.9078,0.4166
4,0.3589,0.9078,0.4180
5,0.3561,0.9078,0.4211
6,0.3621,0.9078,0.4209
7,0.3526,0.9078,0.4306
8,0.3487,0.9078,0.4152
9,0.3486,0.9078,0.4165
10,0.3509,0.9078,0.4208
11,0.3494,0.9078,0.5757
12,0.3465,0.9078,0.4506
13,0.3497,0.9078,0.4126
14,0.3452,0.9078,0.4070
15,0.3490,0.9078,0.4085
16,0.3463,0.9078,0.4127
17,0.3486,0.9078,0.4094
18,0.3489,0.9078,0.4224
19,0.3482,0.9078,0.5740
20,0.3473,0.9078,0.4549
21,0.3469,0.9078,0.4121
22,0.3454,0.9078,0.4127
23,0.3469,0.9078,0.3853
24,0.3453,0.9078,0.4138
25,0.3473,0.9078,0.4158
26,0.3472,0.9078,0.4081
27,0.3452,0.9078,0.5202
28,0.3465,0.9078,0.3786
29,0.3457,0.9078,0.4081
30,0.3449,0.9078,0.4153
31,0.3461,0.9078,0.4103
32,0.3441,0.9078,0.4158
33,0.3447,0.9078,0.4769
34,0.3455,0.9078,0.5756
35,0.3469,0.9078,0.5491
36,0.3455,0.9078,0.5141
37,0.3453,0.9078,0.4103
38,0.3452,0.9078,0.3771
39,0.3458,0.9078,0.4101
40,0.3452,0.9078,0.4370
41,0.3447,0.9078,0.4113
42,0.3458,0.9078,0.4061
43,0.3450,0.9078,0.5817
44,0.3453,0.9078,0.5857
45,0.3458,0.9078,0.3906
46,0.3445,0.9078,0.5754
47,0.3447,0.9078,0.5803
48,0.3461,0.9078,0.5836
49,0.3450,0.9078,0.5855
50,0.3454,0.9078,0.4070
51,0.3459,0.9078,0.4588
52,0.3457,0.9078,0.5839
53,0.3452,0.9078,0.4116
54,0.3451,0.9078,0.5849
55,0.3455,0.9078,0.5352
56,0.3449,0.9078,0.5897
57,0.3457,0.9078,0.5894
58,0.3448,0.9078,0.5526
59,0.3454,0.9078,0.5915
60,0.3452,0.9078,0.5900
61,0.3448,0.9078,0.5992
62,0.3446,0.9078,0.5901
63,0.3458,0.9078,0.4038
64,0.3449,0.9078,0.4115
65,0.3452,0.9078,0.4137
66,0.3452,0.9078,0.5913
67,0.3450,0.9078,0.4066
68,0.3450,0.9078,0.3677
69,0.3450,0.9078,0.5498
70,0.3452,0.9078,0.4156
71,0.3451,0.9078,0.4120
72,0.3450,0.9078,0.4413
73,0.3451,0.9078,0.5949
74,0.3450,0.9078,0.4078
75,0.3449,0.9078,0.5881
76,0.3448,0.9078,0.5900
77,0.3450,0.9078,0.5865
78,0.3449,0.9078,0.5943
79,0.3450,0.9078,0.4079
80,0.3453,0.9078,0.5949
81,0.3451,0.9078,0.4086
82,0.3450,0.9078,0.4104
83,0.3452,0.9078,0.4096
84,0.3449,0.9078,0.5886
85,0.3452,0.9078,0.5855
86,0.3450,0.9078,0.5821
87,0.3450,0.9078,0.5840
88,0.3453,0.9078,0.4133
89,0.3450,0.9078,0.4309
90,0.3457,0.9078,0.4119
91,0.3451,0.9078,0.4168
92,0.3448,0.9078,0.5860
93,0.3452,0.9078,0.5864
94,0.3451,0.9078,0.4164
95,0.3450,0.9078,0.5848
96,0.3451,0.9078,0.5876
97,0.3449,0.9078,0.5874
98,0.3451,0.9078,0.5912
99,0.3450,0.9078,0.4114
100,0.3449,0.9078,0.5923
