Epoch,Loss,TestAcc,TestAuc
1,0.5778,0.7731,0.5140
2,0.5105,0.7731,0.5117
3,0.5049,0.7731,0.5094
4,0.5054,0.7731,0.5112
5,0.5052,0.7731,0.4747
6,0.5040,0.7731,0.3744
7,0.5037,0.7731,0.4944
8,0.5043,0.7731,0.5071
9,0.5024,0.7731,0.4043
10,0.5030,0.7731,0.4559
11,0.5024,0.7731,0.4044
12,0.5029,0.7731,0.5057
13,0.5033,0.7731,0.5069
14,0.5074,0.7731,0.5302
15,0.5029,0.7731,0.4755
16,0.5021,0.7731,0.5002
17,0.5025,0.7731,0.5166
18,0.5027,0.7731,0.4907
19,0.5035,0.7731,0.4896
20,0.5021,0.7731,0.4847
21,0.5018,0.7731,0.4005
22,0.5024,0.7731,0.5041
23,0.5021,0.7731,0.5031
24,0.5025,0.7731,0.4879
25,0.5022,0.7731,0.4703
26,0.5023,0.7731,0.4732
27,0.5022,0.7731,0.4964
28,0.5022,0.7731,0.5042
29,0.5020,0.7731,0.5199
30,0.5025,0.7731,0.4899
31,0.5021,0.7731,0.4896
32,0.5027,0.7731,0.4947
33,0.5025,0.7731,0.5086
34,0.5021,0.7731,0.4906
35,0.5026,0.7731,0.5057
36,0.5023,0.7731,0.5070
37,0.5026,0.7731,0.4986
38,0.5025,0.7731,0.5099
39,0.5022,0.7731,0.5295
40,0.5023,0.7731,0.5125
41,0.5021,0.7731,0.5067
42,0.5023,0.7731,0.5089
43,0.5024,0.7731,0.4983
44,0.5022,0.7731,0.5048
45,0.5021,0.7731,0.5070
46,0.5021,0.7731,0.5052
47,0.5025,0.7731,0.4741
48,0.5022,0.7731,0.5043
49,0.5023,0.7731,0.5073
50,0.5021,0.7731,0.5040
51,0.5021,0.7731,0.5024
52,0.5022,0.7731,0.4965
53,0.5021,0.7731,0.5042
54,0.5023,0.7731,0.4966
55,0.5024,0.7731,0.5011
56,0.5020,0.7731,0.5014
57,0.5024,0.7731,0.4972
58,0.5021,0.7731,0.5044
59,0.5021,0.7731,0.5047
60,0.5021,0.7731,0.4953
61,0.5023,0.7731,0.4959
62,0.5022,0.7731,0.4962
63,0.5021,0.7731,0.4955
64,0.5022,0.7731,0.4958
65,0.5021,0.7731,0.5039
66,0.5021,0.7731,0.5039
67,0.5021,0.7731,0.4871
68,0.5021,0.7731,0.5044
69,0.5022,0.7731,0.4998
70,0.5022,0.7731,0.5037
71,0.5022,0.7731,0.5040
72,0.5023,0.7731,0.5019
73,0.5022,0.7731,0.5050
74,0.5021,0.7731,0.5026
75,0.5022,0.7731,0.5043
76,0.5023,0.7731,0.4947
77,0.5022,0.7731,0.5027
78,0.5022,0.7731,0.5137
79,0.5024,0.7731,0.5050
80,0.5022,0.7731,0.4996
81,0.5022,0.7731,0.5038
82,0.5025,0.7731,0.5050
83,0.5024,0.7731,0.5070
84,0.5022,0.7731,0.5040
85,0.5021,0.7731,0.4993
86,0.5020,0.7731,0.5320
87,0.5021,0.7731,0.4755
88,0.5022,0.7731,0.5053
89,0.5022,0.7731,0.5117
90,0.5020,0.7731,0.4935
91,0.5020,0.7731,0.4948
92,0.5022,0.7731,0.5000
93,0.5021,0.7731,0.4948
94,0.5021,0.7731,0.5046
95,0.5021,0.7731,0.4943
96,0.5022,0.7731,0.5410
97,0.5024,0.7731,0.5000
98,0.5023,0.7731,0.5046
99,0.5022,0.7731,0.4909
100,0.5022,0.7731,0.5013
