Epoch,Loss,TestAcc,TestAuc
1,0.1213,0.9839,0.5135
2,0.0957,0.9839,0.5154
3,0.0828,0.9839,0.5143
4,0.0668,0.9839,0.5146
5,0.0589,0.9839,0.5157
6,0.0644,0.9839,0.5160
7,0.0612,0.9839,0.5187
8,0.0610,0.9839,0.5226
9,0.0589,0.9839,0.5261
10,0.0577,0.9839,0.5299
11,0.0571,0.9839,0.5233
12,0.0564,0.9839,0.5320
13,0.0571,0.9839,0.5364
14,0.0547,0.9839,0.5342
15,0.0533,0.9839,0.5341
16,0.0576,0.9839,0.5287
17,0.0543,0.9839,0.5287
18,0.0556,0.9839,0.5571
19,0.0556,0.9839,0.6159
20,0.0546,0.9839,0.5326
21,0.0731,0.9839,0.5215
22,0.0560,0.9839,0.5238
23,0.0569,0.9839,0.5246
24,0.0589,0.9839,0.5249
25,0.0545,0.9839,0.5237
26,0.0560,0.9839,0.5252
27,0.0572,0.9839,0.5271
28,0.0560,0.9839,0.5334
29,0.0561,0.9839,0.5337
30,0.0556,0.9839,0.5315
31,0.0539,0.9839,0.5285
32,0.0533,0.9839,0.5264
33,0.0550,0.9839,0.5262
34,0.0551,0.9839,0.5245
35,0.0544,0.9839,0.5253
36,0.0548,0.9839,0.5235
37,0.0553,0.9839,0.5279
38,0.0549,0.9839,0.5257
39,0.0556,0.9839,0.5244
40,0.0561,0.9839,0.5283
41,0.0557,0.9839,0.5254
42,0.0550,0.9839,0.6176
43,0.0546,0.9839,0.5272
44,0.0551,0.9839,0.5400
45,0.0550,0.9839,0.5285
46,0.0555,0.9839,0.6144
47,0.0541,0.9839,0.5610
48,0.0564,0.9839,0.5229
49,0.0554,0.9839,0.6116
50,0.0545,0.9839,0.5273
51,0.0541,0.9839,0.5226
52,0.0547,0.9839,0.5207
53,0.0547,0.9839,0.5226
54,0.0550,0.9839,0.5226
55,0.0537,0.9839,0.5229
56,0.0549,0.9839,0.5226
57,0.0546,0.9839,0.5241
58,0.0554,0.9839,0.5246
59,0.0540,0.9839,0.5233
60,0.0553,0.9839,0.5252
61,0.0549,0.9839,0.5269
62,0.0555,0.9839,0.6195
63,0.0540,0.9839,0.5244
64,0.0544,0.9839,0.6534
65,0.0538,0.9839,0.5180
66,0.0560,0.9839,0.5313
67,0.0545,0.9839,0.5591
68,0.0547,0.9839,0.5348
69,0.0544,0.9839,0.6066
70,0.0547,0.9839,0.5248
71,0.0547,0.9839,0.6147
72,0.0545,0.9839,0.5219
73,0.0549,0.9839,0.6034
74,0.0543,0.9839,0.5215
75,0.0541,0.9839,0.5203
76,0.0539,0.9839,0.5204
77,0.0560,0.9839,0.5210
78,0.0550,0.9839,0.5229
79,0.0556,0.9839,0.5203
80,0.0548,0.9839,0.5218
81,0.0547,0.9839,0.5199
82,0.0569,0.9839,0.5196
83,0.0548,0.9839,0.5203
84,0.0546,0.9839,0.5193
85,0.0545,0.9839,0.5198
86,0.0542,0.9839,0.5187
87,0.0551,0.9839,0.5207
88,0.0543,0.9839,0.5214
89,0.0548,0.9839,0.5195
90,0.0543,0.9839,0.5189
91,0.0543,0.9839,0.5187
92,0.0543,0.9839,0.5187
93,0.0541,0.9839,0.5192
94,0.0541,0.9839,0.5183
95,0.0541,0.9839,0.5183
96,0.0547,0.9839,0.5191
97,0.0546,0.9839,0.5156
98,0.0546,0.9839,0.5181
99,0.0544,0.9839,0.5162
100,0.0573,0.9839,0.5977
