Epoch,Loss,TestAcc,TestAuc
1,0.5518,0.7921,0.6116
2,0.5308,0.7921,0.6145
3,0.5271,0.7921,0.6232
4,0.5230,0.7921,0.6212
5,0.5240,0.7921,0.6180
6,0.5211,0.7921,0.6342
7,0.5212,0.7921,0.6159
8,0.5234,0.7921,0.6137
9,0.5218,0.7921,0.6123
10,0.5215,0.7921,0.6152
11,0.5216,0.7921,0.6150
12,0.5197,0.7921,0.6137
13,0.5205,0.7921,0.6099
14,0.5257,0.7921,0.6207
15,0.5217,0.7921,0.4578
16,0.5216,0.7921,0.6114
17,0.5220,0.7921,0.6068
18,0.5205,0.7921,0.6044
19,0.5206,0.7921,0.6060
20,0.5221,0.7921,0.6122
21,0.5205,0.7921,0.6087
22,0.5216,0.7921,0.6064
23,0.5217,0.7921,0.6068
24,0.5222,0.7921,0.6087
25,0.5218,0.7921,0.6079
26,0.5213,0.7921,0.6082
27,0.5207,0.7921,0.5979
28,0.5209,0.7921,0.6041
29,0.5214,0.7921,0.6053
30,0.5216,0.7921,0.4299
31,0.5215,0.7921,0.6086
32,0.5211,0.7921,0.3963
33,0.5218,0.7921,0.6011
34,0.5213,0.7921,0.6086
35,0.5223,0.7921,0.6041
36,0.5216,0.7921,0.4788
37,0.5214,0.7921,0.6054
38,0.5219,0.7921,0.4597
39,0.5207,0.7921,0.6052
40,0.5217,0.7921,0.4771
41,0.5211,0.7921,0.5698
42,0.5212,0.7921,0.4112
43,0.5215,0.7921,0.4494
44,0.5217,0.7921,0.4014
45,0.5221,0.7921,0.4128
46,0.5219,0.7921,0.4755
47,0.5219,0.7921,0.4145
48,0.5217,0.7921,0.4143
49,0.5218,0.7921,0.3995
50,0.5221,0.7921,0.4100
51,0.5217,0.7921,0.4154
52,0.5219,0.7921,0.4003
53,0.5218,0.7921,0.6053
54,0.5217,0.7921,0.4605
55,0.5219,0.7921,0.6001
56,0.5215,0.7921,0.6054
57,0.5223,0.7921,0.6022
58,0.5220,0.7921,0.4007
59,0.5217,0.7921,0.4160
60,0.5216,0.7921,0.6053
61,0.5213,0.7921,0.6051
62,0.5223,0.7921,0.5987
63,0.5220,0.7921,0.3943
64,0.5219,0.7921,0.6045
65,0.5219,0.7921,0.3972
66,0.5215,0.7921,0.4148
67,0.5220,0.7921,0.4136
68,0.5218,0.7921,0.5972
69,0.5218,0.7921,0.4335
70,0.5216,0.7921,0.4173
71,0.5218,0.7921,0.6053
72,0.5218,0.7921,0.4188
73,0.5217,0.7921,0.6052
74,0.5217,0.7921,0.6041
75,0.5217,0.7921,0.5938
76,0.5216,0.7921,0.4189
77,0.5216,0.7921,0.6056
78,0.5216,0.7921,0.6055
79,0.5217,0.7921,0.6054
80,0.5233,0.7921,0.3942
81,0.5236,0.7921,0.6051
82,0.5225,0.7921,0.5968
83,0.5219,0.7921,0.6052
84,0.5217,0.7921,0.6052
85,0.5229,0.7921,0.6051
86,0.5226,0.7921,0.3953
87,0.5217,0.7921,0.3952
88,0.5218,0.7921,0.6046
89,0.5217,0.7921,0.6047
90,0.5217,0.7921,0.6048
91,0.5217,0.7921,0.3980
92,0.5218,0.7921,0.4025
93,0.5216,0.7921,0.6050
94,0.5216,0.7921,0.6036
95,0.5217,0.7921,0.6051
96,0.5216,0.7921,0.6048
97,0.5226,0.7921,0.6047
98,0.5216,0.7921,0.3953
99,0.5218,0.7921,0.6050
100,0.5218,0.7921,0.3957
