Epoch,Loss,TestAcc,TestAuc
1,0.2242,0.9707,0.4596
2,0.1777,0.9707,0.4636
3,0.1598,0.9707,0.4637
4,0.1533,0.9707,0.4673
5,0.1427,0.9707,0.4784
6,0.1412,0.9707,0.4734
7,0.1381,0.9707,0.4770
8,0.1399,0.9707,0.4814
9,0.1385,0.9707,0.4861
10,0.1392,0.9707,0.4831
11,0.1373,0.9707,0.5140
12,0.1394,0.9707,0.4775
13,0.1493,0.9707,0.4796
14,0.1406,0.9707,0.4796
15,0.1371,0.9707,0.4809
16,0.1374,0.9707,0.4796
17,0.1379,0.9707,0.4734
18,0.1389,0.9707,0.4746
19,0.1371,0.9707,0.4749
20,0.1368,0.9707,0.4721
21,0.1368,0.9707,0.4780
22,0.1356,0.9707,0.4707
23,0.1351,0.9707,0.4681
24,0.1373,0.9707,0.4704
25,0.1367,0.9707,0.5181
26,0.1368,0.9707,0.4667
27,0.1357,0.9707,0.4670
28,0.1361,0.9707,0.4915
29,0.1357,0.9707,0.4688
30,0.1363,0.9707,0.4935
31,0.1350,0.9707,0.4631
32,0.1364,0.9707,0.4597
33,0.1361,0.9707,0.4675
34,0.1368,0.9707,0.4684
35,0.1362,0.9707,0.4798
36,0.1358,0.9707,0.4680
37,0.1352,0.9707,0.4707
38,0.1363,0.9707,0.4716
39,0.1350,0.9707,0.4730
40,0.1366,0.9707,0.5343
41,0.1353,0.9707,0.6659
42,0.1354,0.9707,0.4467
43,0.1356,0.9707,0.5179
44,0.1353,0.9707,0.5012
45,0.1356,0.9707,0.5147
46,0.1355,0.9707,0.5414
47,0.1349,0.9707,0.5302
48,0.1352,0.9707,0.4818
49,0.1359,0.9707,0.4514
50,0.1369,0.9707,0.4840
51,0.1361,0.9707,0.5235
52,0.1365,0.9707,0.4586
53,0.1353,0.9707,0.5225
54,0.1357,0.9707,0.5213
55,0.1357,0.9707,0.4627
56,0.1356,0.9707,0.5160
57,0.1358,0.9707,0.5228
58,0.1365,0.9707,0.4613
59,0.1357,0.9707,0.5240
60,0.1358,0.9707,0.5656
61,0.1352,0.9707,0.4640
62,0.1369,0.9707,0.5299
63,0.1358,0.9707,0.5263
64,0.1355,0.9707,0.5265
65,0.1358,0.9707,0.4595
66,0.1356,0.9707,0.4494
67,0.1353,0.9707,0.5327
68,0.1364,0.9707,0.4563
69,0.1353,0.9707,0.5341
70,0.1355,0.9707,0.5336
71,0.1351,0.9707,0.4572
72,0.1363,0.9707,0.4635
73,0.1360,0.9707,0.5329
74,0.1350,0.9707,0.5367
75,0.1358,0.9707,0.5324
76,0.1355,0.9707,0.4629
77,0.1361,0.9707,0.4633
78,0.1353,0.9707,0.4621
79,0.1356,0.9707,0.4388
80,0.1354,0.9707,0.4624
81,0.1355,0.9707,0.4636
82,0.1356,0.9707,0.4622
83,0.1355,0.9707,0.4627
84,0.1358,0.9707,0.4590
85,0.1360,0.9707,0.4609
86,0.1353,0.9707,0.5379
87,0.1355,0.9707,0.4603
88,0.1354,0.9707,0.4584
89,0.1356,0.9707,0.4619
90,0.1351,0.9707,0.4617
91,0.1357,0.9707,0.4614
92,0.1351,0.9707,0.4630
93,0.1350,0.9707,0.4624
94,0.1358,0.9707,0.4636
95,0.1353,0.9707,0.4643
96,0.1351,0.9707,0.4633
97,0.1355,0.9707,0.4634
98,0.1353,0.9707,0.4667
99,0.1359,0.9707,0.4667
100,0.1358,0.9707,0.4634
