Epoch,Loss,TestAcc,TestAuc
1,0.1287,0.9824,0.4297
2,0.1037,0.9824,0.4332
3,0.0846,0.9824,0.4418
4,0.0789,0.9824,0.4261
5,0.0779,0.9824,0.4257
6,0.0780,0.9824,0.4241
7,0.0723,0.9824,0.4322
8,0.0735,0.9824,0.4472
9,0.0739,0.9824,0.4190
10,0.0735,0.9824,0.4215
11,0.0715,0.9824,0.4215
12,0.0755,0.9824,0.4090
13,0.0711,0.9824,0.4083
14,0.0726,0.9824,0.3910
15,0.0725,0.9824,0.4095
16,0.0694,0.9824,0.4108
17,0.0700,0.9824,0.4115
18,0.0710,0.9824,0.4151
19,0.0717,0.9824,0.4069
20,0.0693,0.9824,0.4216
21,0.0701,0.9824,0.4312
22,0.0704,0.9824,0.4214
23,0.0701,0.9824,0.4193
24,0.0696,0.9824,0.4194
25,0.0697,0.9824,0.4147
26,0.0694,0.9824,0.4182
27,0.0699,0.9824,0.4177
28,0.0705,0.9824,0.4180
29,0.0694,0.9824,0.4179
30,0.0694,0.9824,0.4196
31,0.0695,0.9824,0.4214
32,0.0697,0.9824,0.4230
33,0.0696,0.9824,0.4239
34,0.0697,0.9824,0.4273
35,0.0700,0.9824,0.4195
36,0.0711,0.9824,0.4265
37,0.0698,0.9824,0.4439
38,0.0698,0.9824,0.4314
39,0.0696,0.9824,0.4475
40,0.0697,0.9824,0.4293
41,0.0696,0.9824,0.4196
42,0.0697,0.9824,0.4270
43,0.0694,0.9824,0.4374
44,0.0690,0.9824,0.4229
45,0.0696,0.9824,0.4220
46,0.0693,0.9824,0.4295
47,0.0684,0.9824,0.4211
48,0.0703,0.9824,0.4200
49,0.0690,0.9824,0.4206
50,0.0696,0.9824,0.5215
51,0.0700,0.9824,0.5304
52,0.0694,0.9824,0.3745
53,0.0697,0.9824,0.4131
54,0.0702,0.9824,0.4224
55,0.0689,0.9824,0.4336
56,0.0707,0.9824,0.4223
57,0.0691,0.9824,0.4242
58,0.0697,0.9824,0.4201
59,0.0701,0.9824,0.4346
60,0.0692,0.9824,0.4302
61,0.0690,0.9824,0.4331
62,0.0692,0.9824,0.4360
63,0.0694,0.9824,0.4338
64,0.0699,0.9824,0.4214
65,0.0693,0.9824,0.4213
66,0.0695,0.9824,0.4220
67,0.0692,0.9824,0.4277
68,0.0691,0.9824,0.4225
69,0.0694,0.9824,0.4177
70,0.0689,0.9824,0.4322
71,0.0692,0.9824,0.4172
72,0.0698,0.9824,0.4298
73,0.0696,0.9824,0.4206
74,0.0692,0.9824,0.4329
75,0.0697,0.9824,0.4331
76,0.0699,0.9824,0.4317
77,0.0699,0.9824,0.4183
78,0.0692,0.9824,0.4170
79,0.0704,0.9824,0.4157
80,0.0698,0.9824,0.4225
81,0.0694,0.9824,0.4205
82,0.0694,0.9824,0.4190
83,0.0694,0.9824,0.4211
84,0.0700,0.9824,0.4271
85,0.0692,0.9824,0.4210
86,0.0705,0.9824,0.4216
87,0.0693,0.9824,0.4230
88,0.0691,0.9824,0.4269
89,0.0691,0.9824,0.4352
90,0.0701,0.9824,0.4337
91,0.0698,0.9824,0.4265
92,0.0699,0.9824,0.4206
93,0.0690,0.9824,0.3977
94,0.0692,0.9824,0.4203
95,0.0708,0.9824,0.4300
96,0.0692,0.9824,0.5396
97,0.0694,0.9824,0.4154
98,0.0696,0.9824,0.4273
99,0.0688,0.9824,0.4244
100,0.0691,0.9824,0.4323
