Epoch,Loss,TestAcc,TestAuc
1,0.1174,0.9868,0.4664
2,0.0980,0.9868,0.4652
3,0.0951,0.9868,0.4642
4,0.0931,0.9868,0.4642
5,0.0935,0.9868,0.4634
6,0.0928,0.9868,0.4507
7,0.0905,0.9868,0.4627
8,0.0893,0.9868,0.4631
9,0.0902,0.9868,0.4624
10,0.0889,0.9868,0.4636
11,0.0893,0.9868,0.4655
12,0.0877,0.9868,0.4639
13,0.0902,0.9868,0.4563
14,0.0891,0.9868,0.4636
15,0.0876,0.9868,0.4631
16,0.0881,0.9868,0.4620
17,0.0899,0.9868,0.4613
18,0.0887,0.9868,0.4416
19,0.0888,0.9868,0.4634
20,0.0890,0.9868,0.4651
21,0.0887,0.9868,0.5854
22,0.0955,0.9868,0.4649
23,0.0897,0.9868,0.4654
24,0.0881,0.9868,0.4654
25,0.0893,0.9868,0.4662
26,0.0878,0.9868,0.5364
27,0.0878,0.9868,0.4651
28,0.0882,0.9868,0.4651
29,0.0880,0.9868,0.4649
30,0.0873,0.9868,0.5648
31,0.0879,0.9868,0.4654
32,0.0882,0.9868,0.4649
33,0.0877,0.9868,0.4636
34,0.0883,0.9868,0.4654
35,0.0877,0.9868,0.4647
36,0.0879,0.9868,0.4649
37,0.0874,0.9868,0.5508
38,0.0880,0.9868,0.4652
39,0.0869,0.9868,0.4653
40,0.0877,0.9868,0.4655
41,0.0880,0.9868,0.4655
42,0.0877,0.9868,0.4655
43,0.0870,0.9868,0.4654
44,0.0886,0.9868,0.4651
45,0.0875,0.9868,0.4649
46,0.0872,0.9868,0.4657
47,0.0881,0.9868,0.4652
48,0.0881,0.9868,0.4642
49,0.0885,0.9868,0.4637
50,0.0872,0.9868,0.4636
51,0.0881,0.9868,0.4655
52,0.0879,0.9868,0.4656
53,0.0879,0.9868,0.4657
54,0.0879,0.9868,0.4651
55,0.0877,0.9868,0.4647
56,0.0882,0.9868,0.4651
57,0.0878,0.9868,0.4649
58,0.0876,0.9868,0.4652
59,0.0886,0.9868,0.4662
60,0.0873,0.9868,0.4654
61,0.0875,0.9868,0.4654
62,0.0881,0.9868,0.4657
63,0.0884,0.9868,0.4670
64,0.0893,0.9868,0.4649
65,0.0888,0.9868,0.4650
66,0.0877,0.9868,0.4646
67,0.0875,0.9868,0.4648
68,0.0878,0.9868,0.4652
69,0.0878,0.9868,0.4651
70,0.0880,0.9868,0.4647
71,0.0874,0.9868,0.4646
72,0.0879,0.9868,0.4646
73,0.0881,0.9868,0.4655
74,0.0885,0.9868,0.4651
75,0.0879,0.9868,0.4652
76,0.0877,0.9868,0.4649
77,0.0881,0.9868,0.4647
78,0.0875,0.9868,0.4646
79,0.0880,0.9868,0.4652
80,0.0883,0.9868,0.4651
81,0.0875,0.9868,0.4651
82,0.0870,0.9868,0.4675
83,0.0878,0.9868,0.4651
84,0.0875,0.9868,0.4654
85,0.0878,0.9868,0.4655
86,0.0879,0.9868,0.4654
87,0.0872,0.9868,0.4649
88,0.0880,0.9868,0.4651
89,0.0877,0.9868,0.4665
90,0.0877,0.9868,0.4660
91,0.0903,0.9868,0.4665
92,0.0872,0.9868,0.4664
93,0.0875,0.9868,0.4657
94,0.0879,0.9868,0.4659
95,0.0886,0.9868,0.4651
96,0.0877,0.9868,0.4660
97,0.0885,0.9868,0.4657
98,0.0883,0.9868,0.4556
99,0.0878,0.9868,0.4644
100,0.0878,0.9868,0.4649
