Epoch,Loss,TestAcc,TestAuc
1,0.3513,0.9341,0.4952
2,0.2634,0.9341,0.4967
3,0.2701,0.9341,0.5102
4,0.2513,0.9341,0.5021
5,0.2557,0.9341,0.5005
6,0.2528,0.9341,0.4631
7,0.2570,0.9341,0.5003
8,0.2510,0.9341,0.4949
9,0.2519,0.9341,0.4980
10,0.2504,0.9341,0.4979
11,0.2498,0.9341,0.4982
12,0.2518,0.9341,0.4976
13,0.2521,0.9341,0.4972
14,0.2495,0.9341,0.5011
15,0.2479,0.9341,0.4885
16,0.2481,0.9341,0.4964
17,0.2483,0.9341,0.4959
18,0.2508,0.9341,0.4979
19,0.2496,0.9341,0.4969
20,0.2485,0.9341,0.4960
21,0.2492,0.9341,0.4965
22,0.2477,0.9341,0.5007
23,0.2489,0.9341,0.5553
24,0.2494,0.9341,0.5073
25,0.2478,0.9341,0.4980
26,0.2484,0.9341,0.4983
27,0.2478,0.9341,0.4988
28,0.2489,0.9341,0.5115
29,0.2496,0.9341,0.4975
30,0.2486,0.9341,0.4945
31,0.2488,0.9341,0.5009
32,0.2477,0.9341,0.5019
33,0.2475,0.9341,0.5014
34,0.2481,0.9341,0.4936
35,0.2482,0.9341,0.4983
36,0.2468,0.9341,0.4926
37,0.2480,0.9341,0.5024
38,0.2477,0.9341,0.4949
39,0.2466,0.9341,0.4954
40,0.2481,0.9341,0.4921
41,0.2479,0.9341,0.4946
42,0.2489,0.9341,0.4919
43,0.2480,0.9341,0.4919
44,0.2479,0.9341,0.4931
45,0.2478,0.9341,0.4924
46,0.2475,0.9341,0.4928
47,0.2475,0.9341,0.4858
48,0.2472,0.9341,0.4932
49,0.2482,0.9341,0.4888
50,0.2475,0.9341,0.4937
51,0.2475,0.9341,0.4943
52,0.2467,0.9341,0.4948
53,0.2482,0.9341,0.4943
54,0.2482,0.9341,0.4947
55,0.2471,0.9341,0.4949
56,0.2472,0.9341,0.4951
57,0.2478,0.9341,0.4832
58,0.2479,0.9341,0.5030
59,0.2475,0.9341,0.4935
60,0.2475,0.9341,0.4779
61,0.2479,0.9341,0.4930
62,0.2480,0.9341,0.5026
63,0.2473,0.9341,0.5035
64,0.2476,0.9341,0.5021
65,0.2473,0.9341,0.4780
66,0.2472,0.9341,0.4953
67,0.2473,0.9341,0.4952
68,0.2471,0.9341,0.5020
69,0.2473,0.9341,0.4948
70,0.2470,0.9341,0.4948
71,0.2472,0.9341,0.4947
72,0.2474,0.9341,0.4938
73,0.2472,0.9341,0.4950
74,0.2471,0.9341,0.4944
75,0.2471,0.9341,0.4955
76,0.2470,0.9341,0.4953
77,0.2470,0.9341,0.4955
78,0.2471,0.9341,0.4956
79,0.2470,0.9341,0.4956
80,0.2472,0.9341,0.4954
81,0.2472,0.9341,0.5039
82,0.2470,0.9341,0.4416
83,0.2470,0.9341,0.5041
84,0.2472,0.9341,0.5042
85,0.2470,0.9341,0.4923
86,0.2471,0.9341,0.4952
87,0.2471,0.9341,0.4946
88,0.2471,0.9341,0.4952
89,0.2470,0.9341,0.4952
90,0.2470,0.9341,0.4949
91,0.2470,0.9341,0.5034
92,0.2471,0.9341,0.4516
93,0.2471,0.9341,0.4914
94,0.2469,0.9341,0.4954
95,0.2470,0.9341,0.4954
96,0.2471,0.9341,0.4959
97,0.2471,0.9341,0.4959
98,0.2471,0.9341,0.4949
99,0.2470,0.9341,0.4960
100,0.2470,0.9341,0.5029
