Epoch,Loss,TestAcc,TestAuc
1,0.1661,0.9854,0.4700
2,0.1120,0.9854,0.4737
3,0.0969,0.9854,0.4759
4,0.0946,0.9854,0.4722
5,0.0888,0.9854,0.4765
6,0.0944,0.9854,0.4810
7,0.0920,0.9854,0.4805
8,0.0921,0.9854,0.4783
9,0.0874,0.9854,0.4790
10,0.0914,0.9854,0.4727
11,0.0884,0.9854,0.4634
12,0.0873,0.9854,0.4786
13,0.0895,0.9854,0.4802
14,0.0914,0.9854,0.4718
15,0.0877,0.9854,0.5006
16,0.0882,0.9854,0.3823
17,0.0869,0.9854,0.4464
18,0.0884,0.9854,0.3920
19,0.0900,0.9854,0.4777
20,0.0856,0.9854,0.4761
21,0.0863,0.9854,0.4759
22,0.0874,0.9854,0.4768
23,0.0878,0.9854,0.4730
24,0.0862,0.9854,0.4759
25,0.0865,0.9854,0.4753
26,0.0867,0.9854,0.4764
27,0.0867,0.9854,0.4771
28,0.0866,0.9854,0.4762
29,0.0870,0.9854,0.4746
30,0.0857,0.9854,0.4756
31,0.0873,0.9854,0.4758
32,0.0858,0.9854,0.4753
33,0.0883,0.9854,0.5373
34,0.0877,0.9854,0.4741
35,0.0873,0.9854,0.4733
36,0.0869,0.9854,0.4738
37,0.0856,0.9854,0.4738
38,0.0860,0.9854,0.4750
39,0.0867,0.9854,0.4747
40,0.0864,0.9854,0.4749
41,0.0876,0.9854,0.4746
42,0.0867,0.9854,0.4738
43,0.0863,0.9854,0.4738
44,0.0866,0.9854,0.4738
45,0.0872,0.9854,0.4725
46,0.0866,0.9854,0.4698
47,0.0864,0.9854,0.4734
48,0.0863,0.9854,0.4735
49,0.0869,0.9854,0.4725
50,0.0870,0.9854,0.4750
51,0.0850,0.9854,0.4722
52,0.0871,0.9854,0.4734
53,0.0859,0.9854,0.4738
54,0.0868,0.9854,0.4738
55,0.0867,0.9854,0.4649
56,0.0879,0.9854,0.4694
57,0.0862,0.9854,0.4734
58,0.0874,0.9854,0.4733
59,0.0862,0.9854,0.4730
60,0.0861,0.9854,0.4733
61,0.0870,0.9854,0.4730
62,0.0868,0.9854,0.4746
63,0.0860,0.9854,0.4744
64,0.0862,0.9854,0.4728
65,0.0857,0.9854,0.4744
66,0.0858,0.9854,0.4739
67,0.0864,0.9854,0.4746
68,0.0864,0.9854,0.4734
69,0.0868,0.9854,0.4740
70,0.0873,0.9854,0.4731
71,0.0869,0.9854,0.4731
72,0.0866,0.9854,0.4731
73,0.0869,0.9854,0.4736
74,0.0866,0.9854,0.4738
75,0.0863,0.9854,0.4744
76,0.0863,0.9854,0.5367
77,0.0861,0.9854,0.4743
78,0.0866,0.9854,0.4731
79,0.0864,0.9854,0.4731
80,0.0855,0.9854,0.4732
81,0.0865,0.9854,0.4749
82,0.0857,0.9854,0.4729
83,0.0866,0.9854,0.4737
84,0.0856,0.9854,0.4722
85,0.0871,0.9854,0.4731
86,0.0860,0.9854,0.4724
87,0.0862,0.9854,0.4724
88,0.0868,0.9854,0.4738
89,0.0871,0.9854,0.4740
90,0.0867,0.9854,0.4743
91,0.0867,0.9854,0.4747
92,0.0863,0.9854,0.4740
93,0.0854,0.9854,0.4746
94,0.0857,0.9854,0.4741
95,0.0861,0.9854,0.4740
96,0.0860,0.9854,0.4737
97,0.0858,0.9854,0.4740
98,0.0861,0.9854,0.4736
99,0.0862,0.9854,0.4719
100,0.0862,0.9854,0.4719
