Epoch,Loss,TestAcc,TestAuc
1,0.1780,0.9780,0.5633
2,0.1164,0.9780,0.5677
3,0.1162,0.9780,0.5656
4,0.1034,0.9780,0.5551
5,0.0948,0.9780,0.5500
6,0.0906,0.9780,0.5319
7,0.0903,0.9780,0.5478
8,0.0881,0.9780,0.5517
9,0.0857,0.9780,0.5485
10,0.0866,0.9780,0.5551
11,0.0849,0.9780,0.5573
12,0.0857,0.9780,0.5578
13,0.0868,0.9780,0.5582
14,0.0868,0.9780,0.4460
15,0.0887,0.9780,0.5567
16,0.0872,0.9780,0.5591
17,0.0849,0.9780,0.5570
18,0.0838,0.9780,0.5553
19,0.0876,0.9780,0.5536
20,0.0829,0.9780,0.5551
21,0.0853,0.9780,0.5547
22,0.0838,0.9780,0.5553
23,0.0841,0.9780,0.5551
24,0.0879,0.9780,0.5401
25,0.0842,0.9780,0.5545
26,0.0844,0.9780,0.5552
27,0.0829,0.9780,0.5556
28,0.0842,0.9780,0.5556
29,0.0824,0.9780,0.5574
30,0.0857,0.9780,0.5556
31,0.0835,0.9780,0.5557
32,0.0838,0.9780,0.5562
33,0.0844,0.9780,0.5539
34,0.0841,0.9780,0.5552
35,0.0837,0.9780,0.5569
36,0.0830,0.9780,0.5576
37,0.0836,0.9780,0.5561
38,0.0832,0.9780,0.5582
39,0.0839,0.9780,0.5575
40,0.0830,0.9780,0.5589
41,0.0846,0.9780,0.5568
42,0.0848,0.9780,0.5558
43,0.0825,0.9780,0.5568
44,0.0835,0.9780,0.4366
45,0.0855,0.9780,0.5595
46,0.0830,0.9780,0.5615
47,0.0840,0.9780,0.5598
48,0.0833,0.9780,0.5578
49,0.0835,0.9780,0.5580
50,0.0846,0.9780,0.4402
51,0.0835,0.9780,0.4395
52,0.0828,0.9780,0.5617
53,0.0832,0.9780,0.5619
54,0.0835,0.9780,0.5590
55,0.0826,0.9780,0.5589
56,0.0835,0.9780,0.5599
57,0.0829,0.9780,0.5590
58,0.0826,0.9780,0.5604
59,0.0842,0.9780,0.5606
60,0.0826,0.9780,0.5609
61,0.0823,0.9780,0.5614
62,0.0834,0.9780,0.5604
63,0.0849,0.9780,0.5609
64,0.0843,0.9780,0.5612
65,0.0839,0.9780,0.5607
66,0.0840,0.9780,0.5605
67,0.0824,0.9780,0.5598
68,0.0826,0.9780,0.5628
69,0.0847,0.9780,0.5592
70,0.0839,0.9780,0.5600
71,0.0831,0.9780,0.5605
72,0.0826,0.9780,0.5617
73,0.0840,0.9780,0.5612
74,0.0832,0.9780,0.5605
75,0.0835,0.9780,0.5611
76,0.0832,0.9780,0.5618
77,0.0832,0.9780,0.5623
78,0.0838,0.9780,0.5619
79,0.0833,0.9780,0.5616
80,0.0831,0.9780,0.5619
81,0.0830,0.9780,0.5623
82,0.0835,0.9780,0.5614
83,0.0829,0.9780,0.5617
84,0.0860,0.9780,0.5615
85,0.0829,0.9780,0.5637
86,0.0837,0.9780,0.5615
87,0.0840,0.9780,0.5578
88,0.0835,0.9780,0.5604
89,0.0830,0.9780,0.5620
90,0.0836,0.9780,0.5631
91,0.0837,0.9780,0.5619
92,0.0828,0.9780,0.5610
93,0.0835,0.9780,0.5617
94,0.0833,0.9780,0.5611
95,0.0833,0.9780,0.5613
96,0.0834,0.9780,0.5556
97,0.0842,0.9780,0.5604
98,0.0859,0.9780,0.5608
99,0.0829,0.9780,0.5620
100,0.0865,0.9780,0.5565
