Epoch,Loss,TestAcc,TestAuc
1,0.2856,0.9590,0.4463
2,0.1801,0.9590,0.4502
3,0.1667,0.9590,0.4535
4,0.1697,0.9590,0.4649
5,0.1615,0.9590,0.4673
6,0.1596,0.9590,0.4779
7,0.1599,0.9590,0.4868
8,0.1560,0.9590,0.4647
9,0.1562,0.9590,0.4574
10,0.1588,0.9590,0.4559
11,0.1583,0.9590,0.4551
12,0.1567,0.9590,0.4616
13,0.1553,0.9590,0.4616
14,0.1553,0.9590,0.4518
15,0.1565,0.9590,0.4470
16,0.1597,0.9590,0.4542
17,0.1563,0.9590,0.4644
18,0.1542,0.9590,0.4789
19,0.1561,0.9590,0.4463
20,0.1550,0.9590,0.4391
21,0.1542,0.9590,0.4465
22,0.1570,0.9590,0.4472
23,0.1536,0.9590,0.5740
24,0.1572,0.9590,0.4466
25,0.1548,0.9590,0.5853
26,0.1556,0.9590,0.4494
27,0.1530,0.9590,0.4459
28,0.1532,0.9590,0.4430
29,0.1535,0.9590,0.4465
30,0.1533,0.9590,0.4390
31,0.1538,0.9590,0.4414
32,0.1533,0.9590,0.5727
33,0.1528,0.9590,0.4430
34,0.1537,0.9590,0.5880
35,0.1552,0.9590,0.4386
36,0.1535,0.9590,0.4352
37,0.1543,0.9590,0.4367
38,0.1540,0.9590,0.4318
39,0.1532,0.9590,0.4344
40,0.1526,0.9590,0.4405
41,0.1531,0.9590,0.4356
42,0.1543,0.9590,0.4336
43,0.1536,0.9590,0.4380
44,0.1533,0.9590,0.4385
45,0.1540,0.9590,0.4354
46,0.1522,0.9590,0.5608
47,0.1526,0.9590,0.4393
48,0.1544,0.9590,0.4595
49,0.1535,0.9590,0.4412
50,0.1534,0.9590,0.4383
51,0.1531,0.9590,0.4385
52,0.1540,0.9590,0.4400
53,0.1532,0.9590,0.4390
54,0.1535,0.9590,0.5662
55,0.1531,0.9590,0.5698
56,0.1530,0.9590,0.4435
57,0.1535,0.9590,0.4370
58,0.1534,0.9590,0.5679
59,0.1528,0.9590,0.4359
60,0.1540,0.9590,0.4361
61,0.1520,0.9590,0.4356
62,0.1544,0.9590,0.4363
63,0.1539,0.9590,0.5700
64,0.1537,0.9590,0.4390
65,0.1535,0.9590,0.4362
66,0.1531,0.9590,0.4355
67,0.1524,0.9590,0.4360
68,0.1528,0.9590,0.4377
69,0.1534,0.9590,0.4365
70,0.1532,0.9590,0.4358
71,0.1529,0.9590,0.4347
72,0.1528,0.9590,0.4362
73,0.1529,0.9590,0.4376
74,0.1536,0.9590,0.4353
75,0.1530,0.9590,0.4351
76,0.1533,0.9590,0.4359
77,0.1542,0.9590,0.4348
78,0.1535,0.9590,0.4358
79,0.1527,0.9590,0.4355
80,0.1522,0.9590,0.4361
81,0.1539,0.9590,0.4359
82,0.1534,0.9590,0.4357
83,0.1535,0.9590,0.4362
84,0.1541,0.9590,0.4362
85,0.1526,0.9590,0.4362
86,0.1530,0.9590,0.4360
87,0.1535,0.9590,0.4359
88,0.1534,0.9590,0.4355
89,0.1530,0.9590,0.4353
90,0.1535,0.9590,0.4335
91,0.1534,0.9590,0.5634
92,0.1541,0.9590,0.4344
93,0.1550,0.9590,0.4358
94,0.1522,0.9590,0.4348
95,0.1529,0.9590,0.5699
96,0.1533,0.9590,0.4357
97,0.1534,0.9590,0.4355
98,0.1533,0.9590,0.4350
99,0.1530,0.9590,0.4347
100,0.1531,0.9590,0.4306
