Epoch,Loss,TestAcc,TestAuc
1,0.2699,0.9429,0.3825
2,0.2290,0.9429,0.3987
3,0.2268,0.9429,0.3879
4,0.2189,0.9429,0.3990
5,0.2240,0.9429,0.3910
6,0.2178,0.9429,0.3944
7,0.2183,0.9429,0.6089
8,0.2160,0.9429,0.4020
9,0.2179,0.9429,0.3969
10,0.2160,0.9429,0.3947
11,0.2160,0.9429,0.4383
12,0.2198,0.9429,0.4170
13,0.2313,0.9429,0.3960
14,0.2135,0.9429,0.4307
15,0.2190,0.9429,0.3910
16,0.2168,0.9429,0.3905
17,0.2164,0.9429,0.4414
18,0.2150,0.9429,0.6187
19,0.2152,0.9429,0.6155
20,0.2152,0.9429,0.3866
21,0.2167,0.9429,0.6140
22,0.2164,0.9429,0.3849
23,0.2144,0.9429,0.3855
24,0.2149,0.9429,0.3760
25,0.2152,0.9429,0.3810
26,0.2139,0.9429,0.3844
27,0.2152,0.9429,0.6172
28,0.2140,0.9429,0.6183
29,0.2155,0.9429,0.4017
30,0.2139,0.9429,0.3887
31,0.2141,0.9429,0.4175
32,0.2150,0.9429,0.3874
33,0.2146,0.9429,0.4570
34,0.2159,0.9429,0.5787
35,0.2145,0.9429,0.6673
36,0.2148,0.9429,0.4600
37,0.2141,0.9429,0.3828
38,0.2150,0.9429,0.3845
39,0.2148,0.9429,0.3814
40,0.2141,0.9429,0.3841
41,0.2149,0.9429,0.3832
42,0.2140,0.9429,0.3846
43,0.2145,0.9429,0.3840
44,0.2150,0.9429,0.3845
45,0.2150,0.9429,0.3838
46,0.2148,0.9429,0.6154
47,0.2145,0.9429,0.3828
48,0.2145,0.9429,0.3834
49,0.2144,0.9429,0.3842
50,0.2142,0.9429,0.3852
51,0.2143,0.9429,0.6181
52,0.2145,0.9429,0.3996
53,0.2142,0.9429,0.3868
54,0.2140,0.9429,0.3849
55,0.2140,0.9429,0.3858
56,0.2145,0.9429,0.6107
57,0.2148,0.9429,0.6216
58,0.2145,0.9429,0.3874
59,0.2142,0.9429,0.3865
60,0.2144,0.9429,0.3858
61,0.2144,0.9429,0.4408
62,0.2143,0.9429,0.4350
63,0.2142,0.9429,0.3851
64,0.2146,0.9429,0.3850
65,0.2144,0.9429,0.3840
66,0.2143,0.9429,0.3847
67,0.2143,0.9429,0.3850
68,0.2143,0.9429,0.3845
69,0.2142,0.9429,0.3809
70,0.2141,0.9429,0.6193
71,0.2141,0.9429,0.5312
72,0.2145,0.9429,0.3844
73,0.2141,0.9429,0.3852
74,0.2142,0.9429,0.6185
75,0.2142,0.9429,0.6160
76,0.2141,0.9429,0.6156
77,0.2142,0.9429,0.4128
78,0.2143,0.9429,0.6157
79,0.2145,0.9429,0.6144
80,0.2142,0.9429,0.6155
81,0.2141,0.9429,0.6157
82,0.2144,0.9429,0.6175
83,0.2142,0.9429,0.6157
84,0.2141,0.9429,0.6165
85,0.2149,0.9429,0.3839
86,0.2147,0.9429,0.3831
87,0.2141,0.9429,0.6159
88,0.2139,0.9429,0.6155
89,0.2143,0.9429,0.6157
90,0.2141,0.9429,0.6174
91,0.2141,0.9429,0.6175
92,0.2142,0.9429,0.6167
93,0.2142,0.9429,0.6212
94,0.2140,0.9429,0.6208
95,0.2140,0.9429,0.6191
96,0.2141,0.9429,0.6178
97,0.2140,0.9429,0.6174
98,0.2143,0.9429,0.6178
99,0.2141,0.9429,0.3819
100,0.2142,0.9429,0.6174
