Epoch,Loss,TestAcc,TestAuc
1,0.2397,0.9619,0.5772
2,0.1914,0.9619,0.5792
3,0.1809,0.9619,0.4247
4,0.1770,0.9619,0.5758
5,0.1790,0.9619,0.4221
6,0.1780,0.9619,0.5811
7,0.1759,0.9619,0.4626
8,0.1748,0.9619,0.5806
9,0.1758,0.9619,0.5761
10,0.1759,0.9619,0.5787
11,0.1752,0.9619,0.5777
12,0.1749,0.9619,0.4616
13,0.1747,0.9619,0.4623
14,0.1750,0.9619,0.5790
15,0.1754,0.9619,0.5793
16,0.1747,0.9619,0.5767
17,0.1754,0.9619,0.4242
18,0.1738,0.9619,0.5735
19,0.1734,0.9619,0.5986
20,0.1731,0.9619,0.4382
21,0.1734,0.9619,0.5768
22,0.1736,0.9619,0.4560
23,0.1734,0.9619,0.4625
24,0.1719,0.9619,0.5764
25,0.1732,0.9619,0.5764
26,0.1734,0.9619,0.5721
27,0.1737,0.9619,0.5747
28,0.1729,0.9619,0.5750
29,0.1730,0.9619,0.5760
30,0.1731,0.9619,0.5766
31,0.1738,0.9619,0.5430
32,0.1726,0.9619,0.4293
33,0.1736,0.9619,0.5733
34,0.1747,0.9619,0.5767
35,0.1736,0.9619,0.5760
36,0.1725,0.9619,0.5730
37,0.1731,0.9619,0.5478
38,0.1728,0.9619,0.5775
39,0.1728,0.9619,0.5750
40,0.1735,0.9619,0.5762
41,0.1725,0.9619,0.5770
42,0.1730,0.9619,0.5766
43,0.1736,0.9619,0.5760
44,0.1731,0.9619,0.5758
45,0.1730,0.9619,0.4408
46,0.1728,0.9619,0.5721
47,0.1731,0.9619,0.5768
48,0.1748,0.9619,0.5767
49,0.1736,0.9619,0.5764
50,0.1732,0.9619,0.5763
51,0.1733,0.9619,0.5758
52,0.1727,0.9619,0.5508
53,0.1730,0.9619,0.4266
54,0.1733,0.9619,0.5859
55,0.1729,0.9619,0.5767
56,0.1729,0.9619,0.5774
57,0.1725,0.9619,0.5769
58,0.1740,0.9619,0.5766
59,0.1734,0.9619,0.5766
60,0.1727,0.9619,0.5767
61,0.1731,0.9619,0.5769
62,0.1734,0.9619,0.5768
63,0.1729,0.9619,0.4384
64,0.1733,0.9619,0.5721
65,0.1725,0.9619,0.4297
66,0.1729,0.9619,0.5760
67,0.1731,0.9619,0.5761
68,0.1728,0.9619,0.5762
69,0.1727,0.9619,0.5765
70,0.1730,0.9619,0.5766
71,0.1730,0.9619,0.5761
72,0.1727,0.9619,0.5763
73,0.1723,0.9619,0.5770
74,0.1738,0.9619,0.5767
75,0.1733,0.9619,0.5765
76,0.1727,0.9619,0.5762
77,0.1731,0.9619,0.5765
78,0.1729,0.9619,0.5737
79,0.1731,0.9619,0.5762
80,0.1730,0.9619,0.5767
81,0.1730,0.9619,0.5767
82,0.1727,0.9619,0.5770
83,0.1735,0.9619,0.5767
84,0.1734,0.9619,0.5767
85,0.1731,0.9619,0.5765
86,0.1731,0.9619,0.5769
87,0.1734,0.9619,0.5767
88,0.1731,0.9619,0.5770
89,0.1730,0.9619,0.5768
90,0.1731,0.9619,0.5766
91,0.1726,0.9619,0.5769
92,0.1727,0.9619,0.5765
93,0.1730,0.9619,0.5767
94,0.1728,0.9619,0.5753
95,0.1726,0.9619,0.5767
96,0.1730,0.9619,0.5767
97,0.1727,0.9619,0.5768
98,0.1726,0.9619,0.5767
99,0.1726,0.9619,0.5765
100,0.1726,0.9619,0.5765
