Epoch,Loss,TestAcc,TestAuc
1,0.7003,0.6237,0.5142
2,0.6712,0.6237,0.5309
3,0.6688,0.6237,0.5175
4,0.6665,0.6237,0.5128
5,0.6657,0.6237,0.4802
6,0.6674,0.6237,0.5175
7,0.6634,0.6237,0.5374
8,0.6649,0.6237,0.5147
9,0.6656,0.6237,0.5298
10,0.6674,0.6237,0.3895
11,0.6653,0.6237,0.5137
12,0.6659,0.6237,0.4785
13,0.6662,0.6223,0.4856
14,0.6653,0.6237,0.4890
15,0.6650,0.6237,0.5128
16,0.6653,0.6237,0.4859
17,0.6645,0.6237,0.5155
18,0.6639,0.6237,0.5255
19,0.6666,0.6237,0.4422
20,0.6660,0.6237,0.5069
21,0.6635,0.6237,0.5097
22,0.6647,0.6237,0.4899
23,0.6645,0.6237,0.5127
24,0.6693,0.6237,0.4875
25,0.6648,0.6237,0.5127
26,0.6648,0.6237,0.5181
27,0.6647,0.6237,0.6216
28,0.6646,0.6237,0.5117
29,0.6645,0.6237,0.5155
30,0.6648,0.6237,0.5042
31,0.6644,0.6237,0.5104
32,0.6643,0.6237,0.5216
33,0.6645,0.6237,0.5143
34,0.6656,0.6237,0.4871
35,0.6641,0.6237,0.5142
36,0.6646,0.6237,0.5172
37,0.6645,0.6237,0.4848
38,0.6642,0.6237,0.4866
39,0.6644,0.6237,0.5122
40,0.6643,0.6237,0.4889
41,0.6643,0.6237,0.5148
42,0.6646,0.6237,0.5118
43,0.6643,0.6237,0.4872
44,0.6644,0.6237,0.5180
45,0.6654,0.6237,0.5010
46,0.6645,0.6237,0.5114
47,0.6645,0.6237,0.4930
48,0.6643,0.6237,0.5126
49,0.6645,0.6237,0.4897
50,0.6646,0.6237,0.5141
51,0.6641,0.6237,0.4897
52,0.6643,0.6237,0.5135
53,0.6648,0.6237,0.5096
54,0.6642,0.6237,0.4881
55,0.6645,0.6237,0.4891
56,0.6644,0.6237,0.4884
57,0.6642,0.6237,0.5109
58,0.6644,0.6237,0.5394
59,0.6642,0.6237,0.5112
60,0.6647,0.6237,0.4897
61,0.6641,0.6237,0.4897
62,0.6642,0.6237,0.5106
63,0.6646,0.6237,0.4892
64,0.6645,0.6237,0.4897
65,0.6643,0.6237,0.4898
66,0.6643,0.6237,0.5100
67,0.6644,0.6237,0.4852
68,0.6643,0.6237,0.4898
69,0.6642,0.6237,0.5100
70,0.6643,0.6237,0.5100
71,0.6645,0.6237,0.5101
72,0.6644,0.6237,0.4902
73,0.6645,0.6237,0.5093
74,0.6641,0.6237,0.4890
75,0.6643,0.6237,0.4901
76,0.6641,0.6237,0.4900
77,0.6641,0.6237,0.5087
78,0.6642,0.6237,0.4888
79,0.6643,0.6237,0.4900
80,0.6643,0.6237,0.5114
81,0.6642,0.6237,0.4909
82,0.6643,0.6237,0.4898
83,0.6643,0.6237,0.4901
84,0.6643,0.6237,0.5083
85,0.6643,0.6237,0.4897
86,0.6641,0.6237,0.4901
87,0.6642,0.6237,0.5089
88,0.6643,0.6237,0.4870
89,0.6642,0.6237,0.4946
90,0.6644,0.6237,0.4930
91,0.6643,0.6237,0.4918
92,0.6643,0.6237,0.5040
93,0.6642,0.6237,0.5021
94,0.6643,0.6237,0.5030
95,0.6644,0.6237,0.5421
96,0.6642,0.6237,0.4937
97,0.6641,0.6237,0.5073
98,0.6644,0.6237,0.4896
99,0.6643,0.6237,0.4905
100,0.6642,0.6237,0.4992
