Epoch,Loss,TestAcc,TestAuc
1,0.5466,0.8433,0.4630
2,0.4649,0.8433,0.4526
3,0.4572,0.8433,0.4891
4,0.4521,0.8433,0.4661
5,0.4502,0.8433,0.4537
6,0.4495,0.8433,0.4576
7,0.4480,0.8433,0.4525
8,0.4480,0.8433,0.4527
9,0.4481,0.8433,0.4532
10,0.4472,0.8433,0.4594
11,0.4480,0.8433,0.4531
12,0.4482,0.8433,0.5563
13,0.4480,0.8433,0.4521
14,0.4465,0.8433,0.4508
15,0.4464,0.8433,0.4482
16,0.4474,0.8433,0.4493
17,0.4473,0.8433,0.4406
18,0.4468,0.8433,0.4494
19,0.4463,0.8433,0.5488
20,0.4467,0.8433,0.5432
21,0.4460,0.8433,0.5457
22,0.4465,0.8433,0.5450
23,0.4462,0.8433,0.5445
24,0.4463,0.8433,0.4496
25,0.4464,0.8433,0.4508
26,0.4460,0.8433,0.4490
27,0.4460,0.8433,0.4430
28,0.4461,0.8433,0.5425
29,0.4463,0.8433,0.5237
30,0.4460,0.8433,0.4457
31,0.4463,0.8433,0.5444
32,0.4461,0.8433,0.5446
33,0.4458,0.8433,0.4485
34,0.4465,0.8433,0.5405
35,0.4460,0.8433,0.5445
36,0.4466,0.8433,0.5463
37,0.4459,0.8433,0.5443
38,0.4463,0.8433,0.5435
39,0.4460,0.8433,0.5441
40,0.4459,0.8433,0.5464
41,0.4464,0.8433,0.5439
42,0.4462,0.8433,0.5438
43,0.4461,0.8433,0.5424
44,0.4461,0.8433,0.4564
45,0.4462,0.8433,0.5548
46,0.4458,0.8433,0.5497
47,0.4462,0.8433,0.5450
48,0.4463,0.8433,0.5446
49,0.4459,0.8433,0.5482
50,0.4459,0.8433,0.5445
51,0.4460,0.8433,0.5487
52,0.4461,0.8433,0.5486
53,0.4461,0.8433,0.4454
54,0.4460,0.8433,0.5477
55,0.4460,0.8433,0.5483
56,0.4461,0.8433,0.4533
57,0.4460,0.8433,0.5496
58,0.4461,0.8433,0.5477
59,0.4461,0.8433,0.4532
60,0.4460,0.8433,0.4513
61,0.4460,0.8433,0.5477
62,0.4462,0.8433,0.5486
63,0.4460,0.8433,0.5488
64,0.4460,0.8433,0.4517
65,0.4463,0.8433,0.5487
66,0.4460,0.8433,0.5486
67,0.4461,0.8433,0.4515
68,0.4460,0.8433,0.5493
69,0.4460,0.8433,0.5458
70,0.4461,0.8433,0.4501
71,0.4460,0.8433,0.5489
72,0.4460,0.8433,0.5488
73,0.4460,0.8433,0.4513
74,0.4463,0.8433,0.5493
75,0.4460,0.8433,0.5498
76,0.4460,0.8433,0.5504
77,0.4460,0.8433,0.5456
78,0.4461,0.8433,0.5503
79,0.4459,0.8433,0.5497
80,0.4460,0.8433,0.5527
81,0.4462,0.8433,0.5491
82,0.4463,0.8433,0.4497
83,0.4462,0.8433,0.5475
84,0.4459,0.8433,0.4512
85,0.4461,0.8433,0.5642
86,0.4459,0.8433,0.4470
87,0.4460,0.8433,0.5393
88,0.4461,0.8433,0.5535
89,0.4461,0.8433,0.5403
90,0.4459,0.8433,0.5481
91,0.4461,0.8433,0.5591
92,0.4462,0.8433,0.5000
93,0.4460,0.8433,0.4717
94,0.4459,0.8433,0.5033
95,0.4461,0.8433,0.4598
96,0.4460,0.8433,0.5154
97,0.4460,0.8433,0.4979
98,0.4460,0.8433,0.5263
99,0.4460,0.8433,0.4994
100,0.4460,0.8433,0.5199
