Epoch,Loss,TestAcc,TestAuc
1,0.3812,0.9092,0.4431
2,0.3407,0.9092,0.4573
3,0.3345,0.9092,0.4395
4,0.3267,0.9092,0.4346
5,0.3338,0.9092,0.4363
6,0.3270,0.9092,0.4400
7,0.3261,0.9092,0.4422
8,0.3247,0.9092,0.4342
9,0.3247,0.9092,0.4408
10,0.3259,0.9092,0.4834
11,0.3243,0.9092,0.5638
12,0.3268,0.9092,0.4477
13,0.3262,0.9092,0.5651
14,0.3250,0.9092,0.5661
15,0.3246,0.9092,0.4394
16,0.3247,0.9092,0.4310
17,0.3249,0.9092,0.4505
18,0.3228,0.9092,0.4474
19,0.3229,0.9092,0.5622
20,0.3294,0.9092,0.4377
21,0.3277,0.9092,0.4383
22,0.3249,0.9092,0.4365
23,0.3232,0.9092,0.4373
24,0.3241,0.9092,0.4412
25,0.3249,0.9092,0.4386
26,0.3237,0.9092,0.4317
27,0.3250,0.9092,0.4361
28,0.3239,0.9092,0.4339
29,0.3245,0.9092,0.4339
30,0.3241,0.9092,0.5618
31,0.3239,0.9092,0.5646
32,0.3238,0.9092,0.5637
33,0.3240,0.9092,0.4599
34,0.3231,0.9092,0.5022
35,0.3234,0.9092,0.4564
36,0.3240,0.9092,0.4549
37,0.3243,0.9092,0.4500
38,0.3238,0.9092,0.4403
39,0.3237,0.9092,0.5616
40,0.3239,0.9092,0.4369
41,0.3253,0.9092,0.4241
42,0.3237,0.9092,0.5600
43,0.3241,0.9092,0.5602
44,0.3239,0.9092,0.5602
45,0.3239,0.9092,0.5620
46,0.3239,0.9092,0.5604
47,0.3237,0.9092,0.4390
48,0.3237,0.9092,0.5614
49,0.3239,0.9092,0.5597
50,0.3237,0.9092,0.4380
51,0.3236,0.9092,0.4357
52,0.3236,0.9092,0.5616
53,0.3238,0.9092,0.5611
54,0.3238,0.9092,0.5608
55,0.3237,0.9092,0.5610
56,0.3239,0.9092,0.5613
57,0.3239,0.9092,0.5600
58,0.3238,0.9092,0.5619
59,0.3240,0.9092,0.5617
60,0.3237,0.9092,0.5618
61,0.3238,0.9092,0.5606
62,0.3236,0.9092,0.5614
63,0.3238,0.9092,0.4391
64,0.3236,0.9092,0.5610
65,0.3235,0.9092,0.5611
66,0.3239,0.9092,0.4545
67,0.3237,0.9092,0.4619
68,0.3234,0.9092,0.5618
69,0.3235,0.9092,0.5614
70,0.3239,0.9092,0.4385
71,0.3236,0.9092,0.5617
72,0.3238,0.9092,0.5613
73,0.3236,0.9092,0.5612
74,0.3237,0.9092,0.5604
75,0.3237,0.9092,0.4390
76,0.3236,0.9092,0.5610
77,0.3237,0.9092,0.5608
78,0.3236,0.9092,0.5611
79,0.3236,0.9092,0.5617
80,0.3236,0.9092,0.5612
81,0.3237,0.9092,0.5611
82,0.3236,0.9092,0.5611
83,0.3236,0.9092,0.5611
84,0.3237,0.9092,0.5608
85,0.3239,0.9092,0.5606
86,0.3237,0.9092,0.5616
87,0.3237,0.9092,0.5612
88,0.3238,0.9092,0.4384
89,0.3237,0.9092,0.5608
90,0.3238,0.9092,0.5612
91,0.3240,0.9092,0.5613
92,0.3238,0.9092,0.4380
93,0.3236,0.9092,0.4381
94,0.3237,0.9092,0.5615
95,0.3237,0.9092,0.4410
96,0.3279,0.9092,0.4376
97,0.3259,0.9092,0.4377
98,0.3239,0.9092,0.5378
99,0.3241,0.9092,0.4362
100,0.3238,0.9092,0.5774
