Epoch,Loss,TestAcc,TestAuc
1,0.4414,0.8682,0.4605
2,0.4062,0.8682,0.4563
3,0.4069,0.8682,0.4516
4,0.4056,0.8682,0.4558
5,0.4019,0.8682,0.5679
6,0.4017,0.8682,0.4541
7,0.4002,0.8682,0.5264
8,0.3996,0.8682,0.4488
9,0.3994,0.8682,0.4441
10,0.3983,0.8682,0.4354
11,0.3990,0.8682,0.4386
12,0.3968,0.8682,0.5425
13,0.3990,0.8682,0.4350
14,0.3983,0.8682,0.4124
15,0.3967,0.8682,0.4337
16,0.3973,0.8682,0.4963
17,0.3978,0.8682,0.4486
18,0.3964,0.8682,0.4482
19,0.3981,0.8682,0.4505
20,0.3978,0.8682,0.4539
21,0.3976,0.8682,0.4541
22,0.3978,0.8682,0.4558
23,0.3978,0.8682,0.5124
24,0.3977,0.8682,0.4416
25,0.3969,0.8682,0.4451
26,0.3971,0.8682,0.4436
27,0.3978,0.8682,0.4449
28,0.3975,0.8682,0.4459
29,0.3968,0.8682,0.4457
30,0.3985,0.8682,0.4391
31,0.3973,0.8682,0.4388
32,0.3971,0.8682,0.4400
33,0.3968,0.8682,0.4388
34,0.3970,0.8682,0.4292
35,0.3968,0.8682,0.4410
36,0.3975,0.8682,0.4267
37,0.3974,0.8682,0.4272
38,0.3972,0.8682,0.3797
39,0.3973,0.8682,0.4380
40,0.3973,0.8682,0.4338
41,0.3970,0.8682,0.4379
42,0.3970,0.8682,0.5142
43,0.3970,0.8682,0.4796
44,0.3971,0.8682,0.4396
45,0.3970,0.8682,0.5320
46,0.3970,0.8682,0.5429
47,0.3967,0.8682,0.5443
48,0.3970,0.8682,0.5427
49,0.3969,0.8682,0.5421
50,0.3969,0.8682,0.5429
51,0.3972,0.8682,0.5437
52,0.3972,0.8682,0.5443
53,0.3970,0.8682,0.5465
54,0.3969,0.8682,0.5471
55,0.3969,0.8682,0.5475
56,0.3969,0.8682,0.5468
57,0.3969,0.8682,0.5465
58,0.3969,0.8682,0.5460
59,0.3970,0.8682,0.5461
60,0.3969,0.8682,0.5441
61,0.3970,0.8682,0.5423
62,0.3969,0.8682,0.5393
63,0.3968,0.8682,0.5375
64,0.3971,0.8682,0.5365
65,0.3973,0.8682,0.4491
66,0.3971,0.8682,0.4597
67,0.3971,0.8682,0.4566
68,0.3971,0.8682,0.5458
69,0.3971,0.8682,0.4541
70,0.3975,0.8682,0.5477
71,0.3970,0.8682,0.5505
72,0.3970,0.8682,0.5514
73,0.3970,0.8682,0.4477
74,0.3969,0.8682,0.5502
75,0.3970,0.8682,0.5508
76,0.3970,0.8682,0.4482
77,0.3970,0.8682,0.5511
78,0.3969,0.8682,0.4482
79,0.3972,0.8682,0.5511
80,0.3970,0.8682,0.4535
81,0.3970,0.8682,0.5579
82,0.3969,0.8682,0.4875
83,0.3970,0.8682,0.5582
84,0.3969,0.8682,0.5441
85,0.3969,0.8682,0.5488
86,0.3971,0.8682,0.5410
87,0.3970,0.8682,0.5169
88,0.3971,0.8682,0.5154
89,0.3970,0.8682,0.5000
90,0.3969,0.8682,0.4956
91,0.3970,0.8682,0.4934
92,0.3970,0.8682,0.5000
93,0.3971,0.8682,0.5000
94,0.3969,0.8682,0.5030
95,0.3970,0.8682,0.5000
96,0.3970,0.8682,0.5000
97,0.3970,0.8682,0.5000
98,0.3970,0.8682,0.5000
99,0.3970,0.8682,0.5000
100,0.3969,0.8682,0.5000
