Epoch,Loss,TestAcc,TestAuc
1,0.3345,0.9297,0.5507
2,0.2791,0.9297,0.5523
3,0.2763,0.9297,0.5416
4,0.2745,0.9297,0.3045
5,0.2710,0.9297,0.5587
6,0.2663,0.9297,0.3846
7,0.2650,0.9297,0.3416
8,0.2674,0.9297,0.5510
9,0.2640,0.9297,0.5572
10,0.2633,0.9297,0.5478
11,0.2626,0.9297,0.3976
12,0.2636,0.9297,0.3468
13,0.2622,0.9297,0.5475
14,0.2642,0.9297,0.3108
15,0.2646,0.9297,0.5504
16,0.2624,0.9297,0.5478
17,0.2622,0.9297,0.5447
18,0.2640,0.9297,0.5542
19,0.2636,0.9297,0.5607
20,0.2702,0.9297,0.5498
21,0.2696,0.9297,0.5455
22,0.2644,0.9297,0.5545
23,0.2620,0.9297,0.5458
24,0.2621,0.9297,0.5488
25,0.2618,0.9297,0.5447
26,0.2624,0.9297,0.5512
27,0.2633,0.9297,0.5502
28,0.2616,0.9297,0.5555
29,0.2631,0.9297,0.5592
30,0.2621,0.9297,0.4300
31,0.2617,0.9297,0.5808
32,0.2634,0.9297,0.5591
33,0.2624,0.9297,0.3299
34,0.2624,0.9297,0.5529
35,0.2625,0.9297,0.5499
36,0.2622,0.9297,0.5531
37,0.2612,0.9297,0.5540
38,0.2617,0.9297,0.5537
39,0.2626,0.9297,0.5509
40,0.2617,0.9297,0.5524
41,0.2625,0.9297,0.4398
42,0.2624,0.9297,0.5483
43,0.2621,0.9297,0.5467
44,0.2620,0.9297,0.5482
45,0.2617,0.9297,0.5502
46,0.2622,0.9297,0.5461
47,0.2614,0.9297,0.5499
48,0.2612,0.9297,0.5503
49,0.2619,0.9297,0.5522
50,0.2619,0.9297,0.5510
51,0.2625,0.9297,0.5525
52,0.2618,0.9297,0.5429
53,0.2617,0.9297,0.5453
54,0.2619,0.9297,0.3825
55,0.2612,0.9297,0.5484
56,0.2625,0.9297,0.5391
57,0.2613,0.9297,0.4454
58,0.2617,0.9297,0.5429
59,0.2615,0.9297,0.4436
60,0.2619,0.9297,0.4418
61,0.2619,0.9297,0.5208
62,0.2621,0.9297,0.5454
63,0.2618,0.9297,0.4309
64,0.2620,0.9297,0.3828
65,0.2619,0.9297,0.5311
66,0.2612,0.9297,0.3801
67,0.2617,0.9297,0.4451
68,0.2614,0.9297,0.4357
69,0.2615,0.9297,0.4463
70,0.2610,0.9297,0.5393
71,0.2611,0.9297,0.4414
72,0.2616,0.9297,0.5484
73,0.2626,0.9297,0.5469
74,0.2620,0.9297,0.5464
75,0.2621,0.9297,0.5496
76,0.2612,0.9297,0.5498
77,0.2615,0.9297,0.5556
78,0.2613,0.9297,0.4519
79,0.2614,0.9297,0.5507
80,0.2616,0.9297,0.5501
81,0.2612,0.9297,0.5513
82,0.2615,0.9297,0.5491
83,0.2614,0.9297,0.5490
84,0.2613,0.9297,0.5480
85,0.2615,0.9297,0.5476
86,0.2614,0.9297,0.5478
87,0.2612,0.9297,0.5471
88,0.2612,0.9297,0.4478
89,0.2613,0.9297,0.5442
90,0.2614,0.9297,0.4482
91,0.2614,0.9297,0.4483
92,0.2611,0.9297,0.4481
93,0.2612,0.9297,0.5476
94,0.2613,0.9297,0.5490
95,0.2614,0.9297,0.4483
96,0.2612,0.9297,0.3814
97,0.2613,0.9297,0.3716
98,0.2614,0.9297,0.4495
99,0.2613,0.9297,0.4482
100,0.2612,0.9297,0.4240
