Epoch,Loss,TestAcc,TestAuc
1,0.1649,0.9868,0.5572
2,0.1226,0.9868,0.5635
3,0.1139,0.9868,0.6108
4,0.1031,0.9868,0.7341
5,0.1025,0.9868,0.7249
6,0.0930,0.9868,0.7275
7,0.0976,0.9868,0.7381
8,0.0949,0.9868,0.6222
9,0.0910,0.9868,0.5936
10,0.0931,0.9868,0.7452
11,0.0920,0.9868,0.7426
12,0.0912,0.9868,0.5965
13,0.0936,0.9868,0.7307
14,0.0906,0.9868,0.7431
15,0.0907,0.9868,0.5964
16,0.0905,0.9868,0.7398
17,0.0959,0.9868,0.6245
18,0.0906,0.9868,0.7831
19,0.0927,0.9868,0.6570
20,0.0895,0.9868,0.5219
21,0.0903,0.9868,0.7223
22,0.0906,0.9868,0.7397
23,0.0889,0.9868,0.6641
24,0.0900,0.9868,0.7061
25,0.0884,0.9868,0.6331
26,0.0905,0.9868,0.6155
27,0.0910,0.9868,0.6738
28,0.0907,0.9868,0.7365
29,0.0884,0.9868,0.6194
30,0.0923,0.9868,0.6213
31,0.0885,0.9868,0.7330
32,0.0899,0.9868,0.5837
33,0.0897,0.9868,0.6226
34,0.0898,0.9868,0.7375
35,0.0892,0.9868,0.3839
36,0.0892,0.9868,0.4565
37,0.0906,0.9868,0.5888
38,0.0891,0.9868,0.6147
39,0.0892,0.9868,0.5851
40,0.0891,0.9868,0.7441
41,0.0889,0.9868,0.4756
42,0.0887,0.9868,0.5495
43,0.0900,0.9868,0.4477
44,0.0896,0.9868,0.5472
45,0.0897,0.9868,0.5558
46,0.0895,0.9868,0.5756
47,0.0896,0.9868,0.5870
48,0.0893,0.9868,0.5614
49,0.0898,0.9868,0.5947
50,0.0892,0.9868,0.5392
51,0.0915,0.9868,0.4036
52,0.0894,0.9868,0.5739
53,0.0893,0.9868,0.5896
54,0.0891,0.9868,0.5889
55,0.0895,0.9868,0.5959
56,0.0895,0.9868,0.5911
57,0.0898,0.9868,0.5758
58,0.0891,0.9868,0.5748
59,0.0888,0.9868,0.4075
60,0.0890,0.9868,0.4196
61,0.0892,0.9868,0.4478
62,0.0898,0.9868,0.4121
63,0.0892,0.9868,0.3290
64,0.0891,0.9868,0.3962
65,0.0889,0.9868,0.5439
66,0.0899,0.9868,0.5983
67,0.0877,0.9868,0.5434
68,0.0913,0.9868,0.5978
69,0.0893,0.9868,0.5838
70,0.0887,0.9868,0.5718
71,0.0903,0.9868,0.5909
72,0.0903,0.9868,0.5472
73,0.0890,0.9868,0.5940
74,0.0892,0.9868,0.5685
75,0.0897,0.9868,0.5771
76,0.0890,0.9868,0.5680
77,0.0892,0.9868,0.5731
78,0.0892,0.9868,0.5517
79,0.0894,0.9868,0.5537
80,0.0890,0.9868,0.5727
81,0.0893,0.9868,0.6044
82,0.0892,0.9868,0.5889
83,0.0890,0.9868,0.5909
84,0.0890,0.9868,0.5873
85,0.0895,0.9868,0.6044
86,0.0890,0.9868,0.5878
87,0.0889,0.9868,0.3736
88,0.0896,0.9868,0.5945
89,0.0893,0.9868,0.4669
90,0.0893,0.9868,0.4666
91,0.0894,0.9868,0.5535
92,0.0890,0.9868,0.5420
93,0.0893,0.9868,0.5721
94,0.0891,0.9868,0.5822
95,0.0895,0.9868,0.5695
96,0.0888,0.9868,0.5522
97,0.0900,0.9868,0.5416
98,0.0899,0.9868,0.5493
99,0.0891,0.9868,0.5713
100,0.0898,0.9868,0.5948
