Epoch,Loss,TestAcc,TestAuc
1,0.4859,0.8814,0.4672
2,0.3580,0.8814,0.4675
3,0.3501,0.8814,0.4416
4,0.3484,0.8814,0.5241
5,0.3462,0.8814,0.4660
6,0.3484,0.8814,0.4300
7,0.3467,0.8814,0.4661
8,0.3474,0.8814,0.4692
9,0.3464,0.8814,0.4678
10,0.3474,0.8814,0.4655
11,0.3459,0.8814,0.4515
12,0.3460,0.8814,0.4668
13,0.3451,0.8814,0.4648
14,0.3441,0.8814,0.4658
15,0.3449,0.8814,0.4673
16,0.3463,0.8814,0.4684
17,0.3467,0.8814,0.4674
18,0.3455,0.8814,0.4669
19,0.3446,0.8814,0.4655
20,0.3450,0.8814,0.4726
21,0.3444,0.8814,0.4711
22,0.3450,0.8814,0.4797
23,0.3445,0.8814,0.4731
24,0.3450,0.8814,0.4661
25,0.3442,0.8814,0.4654
26,0.3439,0.8814,0.4844
27,0.3452,0.8814,0.4654
28,0.3439,0.8814,0.4754
29,0.3446,0.8814,0.4761
30,0.3448,0.8814,0.4568
31,0.3446,0.8814,0.5250
32,0.3457,0.8814,0.4572
33,0.3444,0.8814,0.5177
34,0.3445,0.8814,0.4592
35,0.3440,0.8814,0.5270
36,0.3444,0.8814,0.4560
37,0.3443,0.8814,0.4564
38,0.3445,0.8814,0.4530
39,0.3443,0.8814,0.4549
40,0.3439,0.8814,0.4569
41,0.3447,0.8814,0.4514
42,0.3447,0.8814,0.4527
43,0.3445,0.8814,0.5377
44,0.3442,0.8814,0.4596
45,0.3443,0.8814,0.4564
46,0.3443,0.8814,0.4409
47,0.3444,0.8814,0.5295
48,0.3442,0.8814,0.4790
49,0.3442,0.8814,0.4557
50,0.3444,0.8814,0.5282
51,0.3441,0.8814,0.5059
52,0.3448,0.8814,0.4439
53,0.3444,0.8814,0.5296
54,0.3443,0.8814,0.5196
55,0.3443,0.8814,0.4602
56,0.3444,0.8814,0.5349
57,0.3442,0.8814,0.4479
58,0.3442,0.8814,0.4562
59,0.3442,0.8814,0.4562
60,0.3441,0.8814,0.4527
61,0.3443,0.8814,0.5324
62,0.3441,0.8814,0.4558
63,0.3440,0.8814,0.4568
64,0.3437,0.8814,0.4597
65,0.3446,0.8814,0.4590
66,0.3442,0.8814,0.4583
67,0.3441,0.8814,0.4565
68,0.3443,0.8814,0.5451
69,0.3443,0.8814,0.4551
70,0.3444,0.8814,0.4690
71,0.3442,0.8814,0.4583
72,0.3441,0.8814,0.4551
73,0.3442,0.8814,0.4664
74,0.3441,0.8814,0.4551
75,0.3443,0.8814,0.4547
76,0.3441,0.8814,0.4642
77,0.3442,0.8814,0.5428
78,0.3446,0.8814,0.4816
79,0.3441,0.8814,0.5393
80,0.3442,0.8814,0.4565
81,0.3442,0.8814,0.4564
82,0.3441,0.8814,0.5361
83,0.3442,0.8814,0.5428
84,0.3441,0.8814,0.5402
85,0.3441,0.8814,0.4585
86,0.3443,0.8814,0.4559
87,0.3443,0.8814,0.4603
88,0.3443,0.8814,0.5453
89,0.3442,0.8814,0.4658
90,0.3441,0.8814,0.4610
91,0.3442,0.8814,0.4909
92,0.3442,0.8814,0.4970
93,0.3441,0.8814,0.4738
94,0.3441,0.8814,0.5185
95,0.3441,0.8814,0.4997
96,0.3443,0.8814,0.5062
97,0.3442,0.8814,0.5150
98,0.3443,0.8814,0.5432
99,0.3443,0.8814,0.4803
100,0.3441,0.8814,0.5000
