Epoch,Loss,TestAcc,TestAuc
1,0.1001,0.9898,0.3664
2,0.0685,0.9898,0.3684
3,0.0622,0.9898,0.3680
4,0.0600,0.9898,0.3689
5,0.0545,0.9898,0.3706
6,0.0526,0.9898,0.3695
7,0.0590,0.9898,0.3731
8,0.0551,0.9898,0.3769
9,0.0526,0.9898,0.3807
10,0.0525,0.9898,0.3830
11,0.0500,0.9898,0.3845
12,0.0525,0.9898,0.3887
13,0.0504,0.9898,0.3885
14,0.0498,0.9898,0.3886
15,0.0502,0.9898,0.3875
16,0.0556,0.9898,0.3892
17,0.0511,0.9898,0.3896
18,0.0528,0.9898,0.3919
19,0.0492,0.9898,0.3865
20,0.0502,0.9898,0.3851
21,0.0499,0.9898,0.3893
22,0.0522,0.9898,0.3898
23,0.0520,0.9898,0.3879
24,0.0494,0.9898,0.3896
25,0.0499,0.9898,0.3868
26,0.0503,0.9898,0.3856
27,0.0512,0.9898,0.3835
28,0.0500,0.9898,0.3837
29,0.0493,0.9898,0.3837
30,0.0499,0.9898,0.3822
31,0.0493,0.9898,0.3832
32,0.0501,0.9898,0.3805
33,0.0494,0.9898,0.3813
34,0.0508,0.9898,0.3818
35,0.0501,0.9898,0.3809
36,0.0502,0.9898,0.3801
37,0.0496,0.9898,0.3801
38,0.0489,0.9898,0.3798
39,0.0498,0.9898,0.3794
40,0.0497,0.9898,0.3802
41,0.0491,0.9898,0.3801
42,0.0503,0.9898,0.3788
43,0.0495,0.9898,0.3767
44,0.0496,0.9898,0.3769
45,0.0502,0.9898,0.3788
46,0.0496,0.9898,0.3807
47,0.0490,0.9898,0.3784
48,0.0497,0.9898,0.3792
49,0.0485,0.9898,0.3767
50,0.0494,0.9898,0.3775
51,0.0495,0.9898,0.3769
52,0.0509,0.9898,0.3777
53,0.0582,0.9898,0.3788
54,0.0519,0.9898,0.3799
55,0.0508,0.9898,0.3794
56,0.0496,0.9898,0.3792
57,0.0499,0.9898,0.3794
58,0.0491,0.9898,0.3788
59,0.0496,0.9898,0.3771
60,0.0492,0.9898,0.3655
61,0.0499,0.9898,0.3744
62,0.0494,0.9898,0.3701
63,0.0489,0.9898,0.3736
64,0.0492,0.9898,0.3786
65,0.0491,0.9898,0.3790
66,0.0494,0.9898,0.3706
67,0.0491,0.9898,0.3723
68,0.0497,0.9898,0.3720
69,0.0489,0.9898,0.3754
70,0.0511,0.9898,0.3784
71,0.0493,0.9898,0.3780
72,0.0492,0.9898,0.3777
73,0.0488,0.9898,0.3780
74,0.0498,0.9898,0.3775
75,0.0491,0.9898,0.3777
76,0.0498,0.9898,0.3786
77,0.0494,0.9898,0.3771
78,0.0496,0.9898,0.3779
79,0.0493,0.9898,0.3765
80,0.0493,0.9898,0.3777
81,0.0494,0.9898,0.3774
82,0.0495,0.9898,0.3790
83,0.0501,0.9898,0.3796
84,0.0493,0.9898,0.3791
85,0.0493,0.9898,0.3801
86,0.0492,0.9898,0.3791
87,0.0497,0.9898,0.3796
88,0.0492,0.9898,0.3775
89,0.0495,0.9898,0.3805
90,0.0490,0.9898,0.3767
91,0.0521,0.9898,0.3786
92,0.0502,0.9898,0.3788
93,0.0496,0.9898,0.3782
94,0.0501,0.9898,0.3790
95,0.0492,0.9898,0.3775
96,0.0492,0.9898,0.3780
97,0.0487,0.9898,0.3771
98,0.0494,0.9898,0.3792
99,0.0503,0.9898,0.3786
100,0.0499,0.9898,0.3780
