Epoch,Loss,TestAcc,TestAuc
1,0.1555,0.9883,0.5452
2,0.0864,0.9883,0.5450
3,0.0798,0.9883,0.5450
4,0.0713,0.9883,0.5483
5,0.0634,0.9883,0.5487
6,0.0669,0.9883,0.5491
7,0.0626,0.9883,0.5483
8,0.0618,0.9883,0.5481
9,0.0618,0.9883,0.5481
10,0.0653,0.9883,0.5454
11,0.0641,0.9883,0.5313
12,0.0627,0.9883,0.5500
13,0.0600,0.9883,0.5491
14,0.0580,0.9883,0.5485
15,0.0601,0.9883,0.5491
16,0.0586,0.9883,0.5489
17,0.0621,0.9883,0.5481
18,0.0592,0.9883,0.5487
19,0.0605,0.9883,0.5476
20,0.0595,0.9883,0.5480
21,0.0564,0.9883,0.5463
22,0.0602,0.9883,0.5474
23,0.0599,0.9883,0.5487
24,0.0594,0.9883,0.5476
25,0.0578,0.9883,0.5478
26,0.0607,0.9883,0.5502
27,0.0632,0.9883,0.5517
28,0.0585,0.9883,0.5498
29,0.0595,0.9883,0.5496
30,0.0606,0.9883,0.5493
31,0.0589,0.9883,0.5483
32,0.0592,0.9883,0.4726
33,0.0589,0.9883,0.5469
34,0.0594,0.9883,0.5463
35,0.0573,0.9883,0.5480
36,0.0578,0.9883,0.5477
37,0.0592,0.9883,0.5481
38,0.0581,0.9883,0.5492
39,0.0590,0.9883,0.5481
40,0.0593,0.9883,0.5487
41,0.0585,0.9883,0.5476
42,0.0577,0.9883,0.5474
43,0.0588,0.9883,0.5461
44,0.0581,0.9883,0.4517
45,0.0605,0.9883,0.5474
46,0.0580,0.9883,0.5467
47,0.0587,0.9883,0.5407
48,0.0585,0.9883,0.5474
49,0.0581,0.9883,0.5450
50,0.0585,0.9883,0.5470
51,0.0592,0.9883,0.5474
52,0.0586,0.9883,0.5485
53,0.0575,0.9883,0.5467
54,0.0578,0.9883,0.5448
55,0.0588,0.9883,0.5452
56,0.0582,0.9883,0.5443
57,0.0583,0.9883,0.5441
58,0.0581,0.9883,0.5476
59,0.0581,0.9883,0.5470
60,0.0583,0.9883,0.5476
61,0.0574,0.9883,0.5472
62,0.0588,0.9883,0.5461
63,0.0596,0.9883,0.5448
64,0.0573,0.9883,0.5454
65,0.0582,0.9883,0.5476
66,0.0609,0.9883,0.5450
67,0.0586,0.9883,0.5476
68,0.0593,0.9883,0.5469
69,0.0585,0.9883,0.5467
70,0.0581,0.9883,0.5469
71,0.0586,0.9883,0.5467
72,0.0605,0.9883,0.5450
73,0.0586,0.9883,0.5478
74,0.0590,0.9883,0.5454
75,0.0584,0.9883,0.5470
76,0.0600,0.9883,0.5357
77,0.0591,0.9883,0.5461
78,0.0578,0.9883,0.5452
79,0.0574,0.9883,0.5441
80,0.0598,0.9883,0.5450
81,0.0572,0.9883,0.5448
82,0.0599,0.9883,0.5443
83,0.0582,0.9883,0.5437
84,0.0582,0.9883,0.5435
85,0.0582,0.9883,0.5465
86,0.0585,0.9883,0.5450
87,0.0584,0.9883,0.5428
88,0.0584,0.9883,0.5454
89,0.0587,0.9883,0.5463
90,0.0590,0.9883,0.5446
91,0.0583,0.9883,0.5433
92,0.0580,0.9883,0.5444
93,0.0578,0.9883,0.5446
94,0.0578,0.9883,0.5437
95,0.0593,0.9883,0.5460
96,0.0580,0.9883,0.5441
97,0.0591,0.9883,0.5441
98,0.0583,0.9883,0.5431
99,0.0590,0.9883,0.5446
100,0.0593,0.9883,0.5441
