Epoch,Loss,TestAcc,TestAuc
1,0.5095,0.8536,0.6443
2,0.4549,0.8536,0.6446
3,0.4424,0.8536,0.6465
4,0.4401,0.8536,0.6451
5,0.4394,0.8536,0.6460
6,0.4378,0.8536,0.6562
7,0.4372,0.8536,0.6448
8,0.4375,0.8536,0.6574
9,0.4403,0.8536,0.6576
10,0.4450,0.8536,0.5201
11,0.4346,0.8536,0.6481
12,0.4349,0.8536,0.6521
13,0.4359,0.8536,0.6498
14,0.4348,0.8536,0.6480
15,0.4353,0.8536,0.6492
16,0.4340,0.8536,0.6496
17,0.4358,0.8536,0.6496
18,0.4352,0.8536,0.6461
19,0.4353,0.8536,0.6436
20,0.4344,0.8536,0.6474
21,0.4340,0.8536,0.6470
22,0.4336,0.8536,0.6466
23,0.4354,0.8536,0.6446
24,0.4340,0.8536,0.6448
25,0.4353,0.8536,0.6424
26,0.4338,0.8536,0.6441
27,0.4338,0.8536,0.6433
28,0.4358,0.8536,0.6381
29,0.4352,0.8536,0.6425
30,0.4342,0.8536,0.4178
31,0.4338,0.8536,0.6134
32,0.4341,0.8536,0.6210
33,0.4343,0.8536,0.3544
34,0.4337,0.8536,0.6438
35,0.4344,0.8536,0.6407
36,0.4346,0.8536,0.6442
37,0.4345,0.8536,0.3549
38,0.4341,0.8536,0.6417
39,0.4340,0.8536,0.6386
40,0.4338,0.8536,0.6426
41,0.4335,0.8536,0.6434
42,0.4346,0.8536,0.3965
43,0.4341,0.8536,0.6430
44,0.4343,0.8536,0.6418
45,0.4342,0.8536,0.6445
46,0.4347,0.8536,0.6443
47,0.4340,0.8536,0.6438
48,0.4340,0.8536,0.6447
49,0.4342,0.8536,0.6439
50,0.4338,0.8536,0.3560
51,0.4340,0.8536,0.3562
52,0.4339,0.8536,0.3563
53,0.4338,0.8536,0.3566
54,0.4338,0.8536,0.3566
55,0.4341,0.8536,0.3719
56,0.4340,0.8536,0.6435
57,0.4338,0.8536,0.6434
58,0.4339,0.8536,0.6434
59,0.4338,0.8536,0.6434
60,0.4339,0.8536,0.6431
61,0.4339,0.8536,0.3568
62,0.4340,0.8536,0.3566
63,0.4339,0.8536,0.3567
64,0.4338,0.8536,0.3567
65,0.4338,0.8536,0.3569
66,0.4339,0.8536,0.3568
67,0.4340,0.8536,0.3564
68,0.4339,0.8536,0.6426
69,0.4338,0.8536,0.6436
70,0.4339,0.8536,0.6433
71,0.4338,0.8536,0.3769
72,0.4338,0.8536,0.6382
73,0.4338,0.8536,0.6423
74,0.4340,0.8536,0.5621
75,0.4338,0.8536,0.6315
76,0.4338,0.8536,0.6371
77,0.4339,0.8536,0.4769
78,0.4339,0.8536,0.5012
79,0.4338,0.8536,0.3828
80,0.4338,0.8536,0.4427
81,0.4339,0.8536,0.4993
82,0.4339,0.8536,0.5046
83,0.4341,0.8536,0.5327
84,0.4338,0.8536,0.5019
85,0.4338,0.8536,0.4539
86,0.4340,0.8536,0.5269
87,0.4340,0.8536,0.5261
88,0.4339,0.8536,0.5000
89,0.4340,0.8536,0.5000
90,0.4338,0.8536,0.5286
91,0.4338,0.8536,0.4969
92,0.4339,0.8536,0.5000
93,0.4338,0.8536,0.5029
94,0.4339,0.8536,0.5000
95,0.4338,0.8536,0.5000
96,0.4340,0.8536,0.4765
97,0.4340,0.8536,0.4542
98,0.4338,0.8536,0.5000
99,0.4338,0.8536,0.4847
100,0.4339,0.8536,0.5049
