Epoch,Loss,TestAcc,TestAuc
1,0.3813,0.9327,0.4385
2,0.2753,0.9327,0.4308
3,0.2620,0.9327,0.4328
4,0.2476,0.9327,0.4303
5,0.2542,0.9327,0.4230
6,0.2514,0.9327,0.4187
7,0.2422,0.9327,0.3974
8,0.2506,0.9327,0.4672
9,0.2459,0.9327,0.4810
10,0.2462,0.9327,0.4502
11,0.2478,0.9327,0.4480
12,0.2432,0.9327,0.4419
13,0.2459,0.9327,0.4433
14,0.2440,0.9327,0.4197
15,0.2443,0.9327,0.4278
16,0.2426,0.9327,0.4723
17,0.2440,0.9327,0.4420
18,0.2437,0.9327,0.4407
19,0.2440,0.9327,0.4424
20,0.2425,0.9327,0.4377
21,0.2438,0.9327,0.4470
22,0.2446,0.9327,0.4421
23,0.2438,0.9327,0.4412
24,0.2429,0.9327,0.4402
25,0.2436,0.9327,0.4457
26,0.2445,0.9327,0.5574
27,0.2437,0.9327,0.4416
28,0.2435,0.9327,0.4401
29,0.2445,0.9327,0.4004
30,0.2433,0.9327,0.4301
31,0.2440,0.9327,0.4409
32,0.2433,0.9327,0.4417
33,0.2436,0.9327,0.4389
34,0.2434,0.9327,0.4261
35,0.2426,0.9327,0.5561
36,0.2440,0.9327,0.5559
37,0.2437,0.9327,0.5478
38,0.2433,0.9327,0.4408
39,0.2436,0.9327,0.4480
40,0.2424,0.9327,0.4519
41,0.2430,0.9327,0.4951
42,0.2437,0.9327,0.5642
43,0.2444,0.9327,0.4374
44,0.2435,0.9327,0.5594
45,0.2434,0.9327,0.4369
46,0.2431,0.9327,0.4403
47,0.2448,0.9327,0.4364
48,0.2424,0.9327,0.4315
49,0.2432,0.9327,0.4356
50,0.2428,0.9327,0.4604
51,0.2427,0.9327,0.5492
52,0.2427,0.9327,0.5554
53,0.2424,0.9327,0.4261
54,0.2429,0.9327,0.5178
55,0.2426,0.9327,0.5075
56,0.2423,0.9327,0.5551
57,0.2430,0.9327,0.5536
58,0.2425,0.9327,0.4372
59,0.2428,0.9327,0.4379
60,0.2427,0.9327,0.4377
61,0.2429,0.9327,0.4376
62,0.2430,0.9327,0.5648
63,0.2440,0.9327,0.4290
64,0.2435,0.9327,0.5241
65,0.2429,0.9327,0.4870
66,0.2429,0.9327,0.4346
67,0.2422,0.9327,0.4277
68,0.2423,0.9327,0.4351
69,0.2428,0.9327,0.5627
70,0.2425,0.9327,0.5579
71,0.2431,0.9327,0.4332
72,0.2432,0.9327,0.5594
73,0.2434,0.9327,0.5546
74,0.2429,0.9327,0.5593
75,0.2436,0.9327,0.4343
76,0.2435,0.9327,0.4342
77,0.2425,0.9327,0.5646
78,0.2429,0.9327,0.5618
79,0.2423,0.9327,0.5592
80,0.2430,0.9327,0.5604
81,0.2426,0.9327,0.5605
82,0.2422,0.9327,0.5335
83,0.2427,0.9327,0.5599
84,0.2426,0.9327,0.4280
85,0.2424,0.9327,0.5604
86,0.2434,0.9327,0.5593
87,0.2425,0.9327,0.5539
88,0.2422,0.9327,0.4296
89,0.2422,0.9327,0.5628
90,0.2424,0.9327,0.4348
91,0.2423,0.9327,0.4345
92,0.2422,0.9327,0.4339
93,0.2425,0.9327,0.4419
94,0.2422,0.9327,0.5653
95,0.2424,0.9327,0.5641
96,0.2422,0.9327,0.4118
97,0.2423,0.9327,0.5586
98,0.2423,0.9327,0.4282
99,0.2423,0.9327,0.5630
100,0.2426,0.9327,0.4364
