Epoch,Loss,TestAcc,TestAuc
1,0.0908,0.9854,0.6148
2,0.0778,0.9854,0.6094
3,0.0707,0.9854,0.6109
4,0.0692,0.9854,0.6011
5,0.0681,0.9854,0.6012
6,0.0657,0.9854,0.5977
7,0.0641,0.9854,0.5981
8,0.0645,0.9854,0.5952
9,0.0656,0.9854,0.6026
10,0.0660,0.9854,0.6013
11,0.0642,0.9854,0.6036
12,0.0651,0.9854,0.6003
13,0.0633,0.9854,0.3947
14,0.0651,0.9854,0.5897
15,0.0650,0.9854,0.5913
16,0.0641,0.9854,0.4048
17,0.0653,0.9854,0.5994
18,0.0641,0.9854,0.6032
19,0.0629,0.9854,0.3860
20,0.0648,0.9854,0.6013
21,0.0644,0.9854,0.6032
22,0.0640,0.9854,0.5996
23,0.0624,0.9854,0.3976
24,0.0651,0.9854,0.5955
25,0.0627,0.9854,0.6036
26,0.0634,0.9854,0.6045
27,0.0627,0.9854,0.6056
28,0.0629,0.9854,0.6066
29,0.0623,0.9854,0.6019
30,0.0632,0.9854,0.6033
31,0.0628,0.9854,0.6082
32,0.0633,0.9854,0.6035
33,0.0627,0.9854,0.6016
34,0.0631,0.9854,0.6051
35,0.0626,0.9854,0.5970
36,0.0624,0.9854,0.6013
37,0.0644,0.9854,0.3799
38,0.0632,0.9854,0.6022
39,0.0632,0.9854,0.6036
40,0.0633,0.9854,0.6033
41,0.0645,0.9854,0.6069
42,0.0626,0.9854,0.6078
43,0.0630,0.9854,0.6035
44,0.0633,0.9854,0.6106
45,0.0630,0.9854,0.6075
46,0.0632,0.9854,0.6069
47,0.0624,0.9854,0.6068
48,0.0631,0.9854,0.6067
49,0.0630,0.9854,0.6071
50,0.0620,0.9854,0.6081
51,0.0628,0.9854,0.6071
52,0.0624,0.9854,0.6072
53,0.0636,0.9854,0.6079
54,0.0627,0.9854,0.6082
55,0.0632,0.9854,0.6102
56,0.0619,0.9854,0.6045
57,0.0640,0.9854,0.6043
58,0.0625,0.9854,0.6047
59,0.0629,0.9854,0.6036
60,0.0633,0.9854,0.6041
61,0.0624,0.9854,0.6048
62,0.0635,0.9854,0.6033
63,0.0620,0.9854,0.5970
64,0.0640,0.9854,0.3831
65,0.0636,0.9854,0.6038
66,0.0639,0.9854,0.6016
67,0.0631,0.9854,0.5966
68,0.0629,0.9854,0.6029
69,0.0627,0.9854,0.6019
70,0.0630,0.9854,0.6050
71,0.0629,0.9854,0.6059
72,0.0630,0.9854,0.6047
73,0.0621,0.9854,0.6065
74,0.0632,0.9854,0.6025
75,0.0630,0.9854,0.6051
76,0.0631,0.9854,0.6059
77,0.0633,0.9854,0.6068
78,0.0625,0.9854,0.6103
79,0.0634,0.9854,0.6063
80,0.0626,0.9854,0.6071
81,0.0645,0.9854,0.6065
82,0.0636,0.9854,0.6071
83,0.0637,0.9854,0.6047
84,0.0631,0.9854,0.6075
85,0.0627,0.9854,0.6077
86,0.0633,0.9854,0.6076
87,0.0626,0.9854,0.6075
88,0.0633,0.9854,0.6069
89,0.0615,0.9854,0.6085
90,0.0641,0.9854,0.6069
91,0.0630,0.9854,0.6068
92,0.0626,0.9854,0.6074
93,0.0630,0.9854,0.6097
94,0.0626,0.9854,0.6096
95,0.0632,0.9854,0.6060
96,0.0640,0.9854,0.6051
97,0.0644,0.9854,0.6051
98,0.0640,0.9854,0.6026
99,0.0632,0.9854,0.6062
100,0.0626,0.9854,0.6047
