Epoch,Loss,TestAcc,TestAuc
1,0.2380,0.9663,0.4781
2,0.1971,0.9663,0.4769
3,0.2007,0.9663,0.4784
4,0.1888,0.9663,0.4806
5,0.1824,0.9663,0.4809
6,0.1790,0.9663,0.4955
7,0.1823,0.9663,0.4884
8,0.1795,0.9663,0.4912
9,0.1795,0.9663,0.4871
10,0.1782,0.9663,0.4799
11,0.1778,0.9663,0.4942
12,0.1792,0.9663,0.5297
13,0.1770,0.9663,0.4692
14,0.1778,0.9663,0.4676
15,0.1781,0.9663,0.5092
16,0.1791,0.9663,0.5019
17,0.1768,0.9663,0.4995
18,0.1764,0.9663,0.4693
19,0.1763,0.9663,0.3524
20,0.1755,0.9663,0.5075
21,0.1769,0.9663,0.4878
22,0.1750,0.9663,0.4881
23,0.1760,0.9663,0.4986
24,0.1754,0.9663,0.4939
25,0.1757,0.9663,0.5069
26,0.1756,0.9663,0.4626
27,0.1763,0.9663,0.4886
28,0.1756,0.9663,0.4888
29,0.1752,0.9663,0.5370
30,0.1746,0.9663,0.4909
31,0.1749,0.9663,0.4995
32,0.1752,0.9663,0.4943
33,0.1758,0.9663,0.5390
34,0.1757,0.9663,0.4847
35,0.1746,0.9663,0.4807
36,0.1754,0.9663,0.4844
37,0.1754,0.9663,0.5258
38,0.1751,0.9663,0.4844
39,0.1762,0.9663,0.4835
40,0.1755,0.9663,0.4827
41,0.1756,0.9663,0.5291
42,0.1756,0.9663,0.4736
43,0.1752,0.9663,0.4757
44,0.1756,0.9663,0.4744
45,0.1756,0.9663,0.4751
46,0.1757,0.9663,0.4767
47,0.1747,0.9663,0.4739
48,0.1754,0.9663,0.4737
49,0.1758,0.9663,0.5225
50,0.1749,0.9663,0.4742
51,0.1755,0.9663,0.4743
52,0.1754,0.9663,0.4727
53,0.1756,0.9663,0.4745
54,0.1757,0.9663,0.4778
55,0.1757,0.9663,0.4955
56,0.1751,0.9663,0.4762
57,0.1757,0.9663,0.4749
58,0.1757,0.9663,0.4765
59,0.1752,0.9663,0.4874
60,0.1753,0.9663,0.4846
61,0.1758,0.9663,0.4793
62,0.1773,0.9663,0.4731
63,0.1752,0.9663,0.5221
64,0.1761,0.9663,0.4864
65,0.1752,0.9663,0.4875
66,0.1753,0.9663,0.4767
67,0.1752,0.9663,0.4797
68,0.1752,0.9663,0.4861
69,0.1750,0.9663,0.4831
70,0.1759,0.9663,0.4101
71,0.1749,0.9663,0.3592
72,0.1753,0.9663,0.5052
73,0.1756,0.9663,0.4849
74,0.1755,0.9663,0.4884
75,0.1756,0.9663,0.5328
76,0.1753,0.9663,0.4847
77,0.1752,0.9663,0.4844
78,0.1751,0.9663,0.4759
79,0.1753,0.9663,0.4745
80,0.1757,0.9663,0.4822
81,0.1752,0.9663,0.4861
82,0.1754,0.9663,0.4870
83,0.1751,0.9663,0.4885
84,0.1756,0.9663,0.4775
85,0.1749,0.9663,0.4665
86,0.1749,0.9663,0.3669
87,0.1761,0.9663,0.4668
88,0.1750,0.9663,0.4697
89,0.1749,0.9663,0.4708
90,0.1752,0.9663,0.5178
91,0.1753,0.9663,0.4689
92,0.1750,0.9663,0.5116
93,0.1753,0.9663,0.4920
94,0.1752,0.9663,0.5048
95,0.1749,0.9663,0.5148
96,0.1749,0.9663,0.5001
97,0.1751,0.9663,0.4975
98,0.1752,0.9663,0.4667
99,0.1746,0.9663,0.5119
100,0.1751,0.9663,0.3897
