Epoch,Loss,TestAcc,TestAuc
1,0.6364,0.7584,0.4778
2,0.6010,0.7584,0.4962
3,0.5953,0.7584,0.4845
4,0.6013,0.7584,0.4820
5,0.5952,0.7584,0.4832
6,0.5948,0.7584,0.4908
7,0.5977,0.7584,0.4872
8,0.5947,0.7584,0.4798
9,0.5934,0.7584,0.4675
10,0.5950,0.7584,0.4789
11,0.5944,0.7584,0.4775
12,0.5944,0.7584,0.4773
13,0.5931,0.7584,0.4806
14,0.5944,0.7584,0.4876
15,0.5936,0.7584,0.4785
16,0.5945,0.7584,0.4840
17,0.5936,0.7584,0.4784
18,0.5944,0.7584,0.4780
19,0.5938,0.7584,0.4754
20,0.5939,0.7584,0.4763
21,0.5933,0.7584,0.4745
22,0.5956,0.7584,0.4734
23,0.5933,0.7584,0.4724
24,0.5935,0.7584,0.4709
25,0.5932,0.7584,0.4763
26,0.5928,0.7584,0.4708
27,0.5928,0.7584,0.4702
28,0.5938,0.7584,0.4724
29,0.5946,0.7584,0.4747
30,0.5940,0.7584,0.4703
31,0.5939,0.7584,0.4736
32,0.5936,0.7584,0.5347
33,0.5936,0.7584,0.5143
34,0.5942,0.7584,0.5104
35,0.5939,0.7584,0.4707
36,0.5938,0.7584,0.4723
37,0.5937,0.7584,0.4210
38,0.5938,0.7584,0.4459
39,0.5936,0.7584,0.4663
40,0.5941,0.7584,0.4644
41,0.5939,0.7584,0.4654
42,0.5932,0.7584,0.4044
43,0.5938,0.7584,0.4384
44,0.5941,0.7584,0.4089
45,0.5943,0.7584,0.4540
46,0.5939,0.7584,0.5109
47,0.5933,0.7584,0.5093
48,0.5938,0.7584,0.5178
49,0.5934,0.7584,0.5208
50,0.5943,0.7584,0.5219
51,0.5940,0.7584,0.5206
52,0.5941,0.7584,0.5206
53,0.5940,0.7584,0.5204
54,0.5939,0.7584,0.5167
55,0.5940,0.7584,0.5167
56,0.5938,0.7584,0.5183
57,0.5939,0.7584,0.4729
58,0.5937,0.7584,0.5132
59,0.5941,0.7584,0.4806
60,0.5941,0.7584,0.5222
61,0.5937,0.7584,0.5236
62,0.5936,0.7584,0.5181
63,0.5939,0.7584,0.5211
64,0.5936,0.7584,0.5216
65,0.5937,0.7584,0.5197
66,0.5937,0.7584,0.5220
67,0.5936,0.7584,0.5060
68,0.5938,0.7584,0.5184
69,0.5938,0.7584,0.4786
70,0.5937,0.7584,0.4768
71,0.5936,0.7584,0.4742
72,0.5937,0.7584,0.5270
73,0.5937,0.7584,0.5275
74,0.5938,0.7584,0.5260
75,0.5937,0.7584,0.5250
76,0.5940,0.7584,0.4739
77,0.5938,0.7584,0.4726
78,0.5937,0.7584,0.5285
79,0.5937,0.7584,0.5288
80,0.5938,0.7584,0.5283
81,0.5938,0.7584,0.5289
82,0.5938,0.7584,0.5291
83,0.5938,0.7584,0.4532
84,0.5937,0.7584,0.4577
85,0.5938,0.7584,0.5013
86,0.5936,0.7584,0.4826
87,0.5937,0.7584,0.5007
88,0.5937,0.7584,0.5175
89,0.5941,0.7584,0.5146
90,0.5941,0.7584,0.5000
91,0.5940,0.7584,0.5126
92,0.5937,0.7584,0.5000
93,0.5936,0.7584,0.4970
94,0.5941,0.7584,0.5000
95,0.5940,0.7584,0.5000
96,0.5938,0.7584,0.5059
97,0.5937,0.7584,0.5000
98,0.5936,0.7584,0.5000
99,0.5937,0.7584,0.5000
100,0.5939,0.7584,0.5000
