Epoch,Loss,TestAcc,TestAuc
1,0.6584,0.6875,0.5006
2,0.5995,0.6875,0.5041
3,0.5979,0.6875,0.5224
4,0.5897,0.6875,0.5249
5,0.5956,0.6875,0.5112
6,0.5896,0.6875,0.5168
7,0.5883,0.6875,0.5088
8,0.5867,0.6875,0.4958
9,0.5919,0.6875,0.5094
10,0.5891,0.6875,0.5099
11,0.5864,0.6875,0.5101
12,0.5859,0.6875,0.5147
13,0.5904,0.6875,0.4994
14,0.5910,0.6875,0.5378
15,0.5895,0.6875,0.5109
16,0.5833,0.6875,0.5387
17,0.5832,0.6875,0.5750
18,0.5844,0.6875,0.5264
19,0.5858,0.6875,0.5697
20,0.5876,0.6875,0.5237
21,0.5816,0.6875,0.5208
22,0.5844,0.6875,0.5301
23,0.5879,0.6875,0.5401
24,0.5864,0.6875,0.4789
25,0.5840,0.6875,0.4867
26,0.5869,0.6875,0.4697
27,0.5854,0.6875,0.4699
28,0.5857,0.6875,0.5176
29,0.5829,0.6875,0.5313
30,0.5856,0.6875,0.5166
31,0.5846,0.6875,0.5148
32,0.5867,0.6875,0.4919
33,0.5842,0.6875,0.4610
34,0.5842,0.6875,0.4752
35,0.5868,0.6875,0.4531
36,0.5927,0.6875,0.4463
37,0.5860,0.6875,0.5048
38,0.5859,0.6875,0.3710
39,0.5851,0.6875,0.4700
40,0.5827,0.6875,0.4757
41,0.5857,0.6875,0.4786
42,0.5846,0.6875,0.5124
43,0.5844,0.6875,0.5099
44,0.5843,0.6875,0.5040
45,0.5837,0.6875,0.4373
46,0.5836,0.6875,0.5086
47,0.5854,0.6875,0.4740
48,0.5850,0.6875,0.4735
49,0.5839,0.6875,0.4843
50,0.5838,0.6875,0.4805
51,0.5839,0.6875,0.4851
52,0.5836,0.6875,0.4904
53,0.5843,0.6875,0.5113
54,0.5840,0.6875,0.5095
55,0.5848,0.6875,0.5084
56,0.5842,0.6875,0.5135
57,0.5839,0.6875,0.5076
58,0.5846,0.6875,0.4557
59,0.5839,0.6875,0.4559
60,0.5846,0.6875,0.5072
61,0.5855,0.6875,0.4215
62,0.5840,0.6875,0.4639
63,0.5836,0.6875,0.4863
64,0.5836,0.6875,0.5067
65,0.5838,0.6875,0.5036
66,0.5840,0.6875,0.5050
67,0.5838,0.6875,0.5062
68,0.5842,0.6875,0.5099
69,0.5838,0.6875,0.4907
70,0.5843,0.6875,0.4921
71,0.5874,0.6875,0.4496
72,0.5847,0.6875,0.4902
73,0.5840,0.6875,0.4922
74,0.5840,0.6875,0.4854
75,0.5839,0.6875,0.4949
76,0.5832,0.6875,0.4561
77,0.5847,0.6875,0.4929
78,0.5848,0.6875,0.4540
79,0.5839,0.6875,0.4696
80,0.5838,0.6875,0.4200
81,0.5833,0.6875,0.4834
82,0.5842,0.6875,0.4416
83,0.5839,0.6875,0.4811
84,0.5842,0.6875,0.4574
85,0.5839,0.6875,0.4595
86,0.5838,0.6875,0.4886
87,0.5840,0.6875,0.4520
88,0.5838,0.6875,0.5060
89,0.5841,0.6875,0.5854
90,0.5837,0.6875,0.5105
91,0.5839,0.6875,0.5121
92,0.5836,0.6875,0.5072
93,0.5842,0.6875,0.5045
94,0.5840,0.6875,0.5036
95,0.5841,0.6875,0.5223
96,0.5836,0.6875,0.5056
97,0.5837,0.6875,0.5040
98,0.5839,0.6875,0.5103
99,0.5834,0.6875,0.5168
100,0.5841,0.6875,0.5149
