Epoch,Loss,TestAcc,TestAuc
1,0.6769,0.7535,0.5181
2,0.5926,0.7535,0.5233
3,0.5855,0.7535,0.5176
4,0.5491,0.7535,0.5177
5,0.5425,0.7535,0.5157
6,0.5462,0.7535,0.5184
7,0.5440,0.7535,0.5240
8,0.5385,0.7535,0.5270
9,0.5352,0.7535,0.5160
10,0.5552,0.7535,0.5541
11,0.5468,0.7535,0.4724
12,0.5355,0.7535,0.3361
13,0.5431,0.7535,0.4583
14,0.5376,0.7535,0.4698
15,0.5379,0.7535,0.4642
16,0.5367,0.7535,0.4603
17,0.5348,0.7535,0.4570
18,0.5361,0.7535,0.4696
19,0.5351,0.7535,0.4665
20,0.5368,0.7535,0.4546
21,0.5352,0.7535,0.5051
22,0.5318,0.7535,0.4406
23,0.5341,0.7535,0.4535
24,0.5363,0.7535,0.4537
25,0.5334,0.7535,0.5388
26,0.5357,0.7535,0.5489
27,0.5335,0.7535,0.5435
28,0.5369,0.7535,0.4350
29,0.5353,0.7535,0.5299
30,0.5490,0.7535,0.5215
31,0.5387,0.7535,0.5351
32,0.5384,0.7535,0.5375
33,0.5343,0.7535,0.5344
34,0.5362,0.7535,0.4603
35,0.5340,0.7535,0.6287
36,0.5354,0.7535,0.5382
37,0.5337,0.7535,0.5380
38,0.5338,0.7535,0.5391
39,0.5329,0.7535,0.5354
40,0.5335,0.7535,0.5348
41,0.5340,0.7535,0.5368
42,0.5338,0.7535,0.5358
43,0.5355,0.7535,0.5344
44,0.5340,0.7535,0.5428
45,0.5343,0.7535,0.4613
46,0.5335,0.7535,0.5199
47,0.5343,0.7535,0.4546
48,0.5336,0.7535,0.5275
49,0.5341,0.7535,0.5285
50,0.5339,0.7535,0.5305
51,0.5341,0.7535,0.4672
52,0.5342,0.7535,0.4650
53,0.5332,0.7535,0.4661
54,0.5334,0.7535,0.4629
55,0.5340,0.7535,0.4664
56,0.5339,0.7535,0.4677
57,0.5335,0.7535,0.4641
58,0.5336,0.7535,0.4675
59,0.5333,0.7535,0.4680
60,0.5343,0.7535,0.4759
61,0.5334,0.7535,0.4836
62,0.5332,0.7535,0.5395
63,0.5363,0.7535,0.4725
64,0.5341,0.7535,0.5190
65,0.5333,0.7535,0.5166
66,0.5332,0.7535,0.5146
67,0.5412,0.7535,0.4874
68,0.5487,0.7535,0.4782
69,0.5348,0.7535,0.4965
70,0.5335,0.7535,0.5762
71,0.5339,0.7535,0.5727
72,0.5361,0.7535,0.6763
73,0.5340,0.7535,0.4964
74,0.5334,0.7535,0.6124
75,0.5327,0.7535,0.4799
76,0.5340,0.7535,0.4804
77,0.5340,0.7535,0.5790
78,0.5343,0.7535,0.4779
79,0.5339,0.7535,0.5013
80,0.5318,0.7535,0.6262
81,0.5337,0.7535,0.6001
82,0.5338,0.7535,0.4940
83,0.5324,0.7535,0.4912
84,0.5330,0.7535,0.4801
85,0.5338,0.7535,0.4801
86,0.5338,0.7535,0.4743
87,0.5336,0.7535,0.4792
88,0.5328,0.7535,0.4824
89,0.5320,0.7535,0.4905
90,0.5341,0.7535,0.6186
91,0.5365,0.7535,0.4762
92,0.5343,0.7535,0.4754
93,0.5361,0.7535,0.4735
94,0.5334,0.7535,0.4755
95,0.5324,0.7535,0.4747
96,0.5342,0.7535,0.4737
97,0.5339,0.7535,0.4753
98,0.5331,0.7535,0.4777
99,0.5338,0.7535,0.4888
100,0.5337,0.7535,0.4842
