Epoch,Loss,TestAcc,TestAuc
1,0.4718,0.8507,0.4671
2,0.4104,0.8507,0.4647
3,0.4039,0.8507,0.4707
4,0.3952,0.8507,0.4712
5,0.4037,0.8507,0.4778
6,0.3884,0.8507,0.4708
7,0.3906,0.8507,0.4761
8,0.3872,0.8507,0.4702
9,0.3898,0.8507,0.4704
10,0.3872,0.8507,0.4651
11,0.3905,0.8507,0.4761
12,0.3872,0.8507,0.4846
13,0.3914,0.8507,0.4729
14,0.3887,0.8507,0.4864
15,0.3864,0.8507,0.5284
16,0.3876,0.8507,0.4893
17,0.3863,0.8507,0.5287
18,0.3893,0.8507,0.4909
19,0.3884,0.8507,0.5026
20,0.3849,0.8507,0.5068
21,0.3866,0.8507,0.5056
22,0.3867,0.8507,0.4984
23,0.3866,0.8507,0.4788
24,0.3916,0.8507,0.4778
25,0.3857,0.8507,0.4723
26,0.3855,0.8507,0.4879
27,0.3819,0.8507,0.6528
28,0.3871,0.8507,0.4823
29,0.3860,0.8507,0.4747
30,0.3843,0.8507,0.4759
31,0.3846,0.8507,0.4839
32,0.3854,0.8507,0.5129
33,0.3866,0.8507,0.4789
34,0.3841,0.8507,0.5708
35,0.3848,0.8507,0.4801
36,0.3842,0.8507,0.5710
37,0.3863,0.8507,0.4779
38,0.3835,0.8507,0.4773
39,0.3841,0.8507,0.4766
40,0.3851,0.8507,0.4752
41,0.3839,0.8507,0.4775
42,0.3864,0.8507,0.4697
43,0.3848,0.8507,0.4724
44,0.3850,0.8507,0.4705
45,0.3851,0.8507,0.5288
46,0.3843,0.8507,0.4988
47,0.3823,0.8507,0.5314
48,0.3860,0.8507,0.4785
49,0.3848,0.8507,0.6276
50,0.3862,0.8507,0.5714
51,0.3851,0.8507,0.4927
52,0.3836,0.8507,0.5696
53,0.3817,0.8507,0.6156
54,0.3857,0.8507,0.5220
55,0.3833,0.8507,0.4747
56,0.3843,0.8507,0.5524
57,0.3830,0.8507,0.6038
58,0.3862,0.8507,0.4724
59,0.3842,0.8507,0.4717
60,0.3856,0.8507,0.4715
61,0.3848,0.8507,0.4751
62,0.3842,0.8507,0.5261
63,0.3840,0.8507,0.5699
64,0.3846,0.8507,0.5314
65,0.3842,0.8507,0.4999
66,0.3839,0.8507,0.5304
67,0.3846,0.8507,0.5291
68,0.3826,0.8507,0.5403
69,0.3823,0.8507,0.5364
70,0.3854,0.8507,0.5875
71,0.3838,0.8507,0.5626
72,0.3838,0.8507,0.6014
73,0.3841,0.8507,0.5976
74,0.3833,0.8507,0.5642
75,0.3846,0.8507,0.5003
76,0.3839,0.8507,0.4822
77,0.3838,0.8507,0.4899
78,0.3839,0.8507,0.4844
79,0.3835,0.8507,0.5800
80,0.3845,0.8507,0.4873
81,0.3844,0.8507,0.4867
82,0.3831,0.8507,0.5876
83,0.3805,0.8507,0.4755
84,0.3850,0.8507,0.6075
85,0.3841,0.8507,0.4888
86,0.3836,0.8507,0.6223
87,0.3846,0.8507,0.4775
88,0.3845,0.8507,0.5309
89,0.3842,0.8507,0.5336
90,0.3835,0.8507,0.5293
91,0.3840,0.8507,0.5295
92,0.3843,0.8507,0.5293
93,0.3842,0.8507,0.5322
94,0.3838,0.8507,0.5308
95,0.3837,0.8507,0.5305
96,0.3841,0.8507,0.5311
97,0.3836,0.8507,0.5294
98,0.3841,0.8507,0.5304
99,0.3844,0.8507,0.5309
100,0.3838,0.8507,0.5360
