Epoch,Loss,TestAcc,TestAuc
1,0.7644,0.7465,0.5372
2,0.5566,0.7465,0.4452
3,0.5420,0.7465,0.4522
4,0.5297,0.7465,0.3814
5,0.5321,0.7465,0.5457
6,0.5345,0.7465,0.5381
7,0.5245,0.7465,0.3867
8,0.5309,0.7465,0.4450
9,0.5261,0.7465,0.5549
10,0.5279,0.7465,0.5033
11,0.5234,0.7465,0.3616
12,0.5253,0.7465,0.3759
13,0.5208,0.7465,0.3557
14,0.5246,0.7465,0.5473
15,0.5263,0.7465,0.5783
16,0.5298,0.7465,0.4435
17,0.5335,0.7465,0.6651
18,0.5259,0.7465,0.5810
19,0.5254,0.7465,0.5633
20,0.5233,0.7465,0.5614
21,0.5226,0.7465,0.5710
22,0.5253,0.7465,0.4229
23,0.5255,0.7465,0.4955
24,0.5230,0.7465,0.3603
25,0.5247,0.7465,0.5682
26,0.5232,0.7465,0.5667
27,0.5222,0.7465,0.4370
28,0.5205,0.7465,0.5720
29,0.5231,0.7465,0.6065
30,0.5228,0.7465,0.4284
31,0.5345,0.7465,0.4119
32,0.5236,0.7465,0.4038
33,0.5235,0.7465,0.3970
34,0.5244,0.7465,0.3459
35,0.5268,0.7465,0.3758
36,0.5239,0.7465,0.3900
37,0.5228,0.7465,0.3821
38,0.5226,0.7465,0.3277
39,0.5241,0.7465,0.5313
40,0.5219,0.7465,0.3574
41,0.5200,0.7465,0.3520
42,0.5224,0.7465,0.3950
43,0.5226,0.7465,0.4007
44,0.5228,0.7465,0.4206
45,0.5234,0.7465,0.4069
46,0.5222,0.7465,0.4746
47,0.5219,0.7465,0.3689
48,0.5220,0.7465,0.5059
49,0.5210,0.7465,0.4298
50,0.5260,0.7465,0.4267
51,0.5237,0.7465,0.4233
52,0.5229,0.7465,0.4105
53,0.5285,0.7465,0.4333
54,0.5217,0.7465,0.5549
55,0.5259,0.7465,0.5616
56,0.5226,0.7465,0.5462
57,0.5221,0.7465,0.5421
58,0.5223,0.7465,0.5592
59,0.5220,0.7465,0.5654
60,0.5221,0.7465,0.5682
61,0.5229,0.7465,0.4485
62,0.5212,0.7465,0.4448
63,0.5215,0.7465,0.4416
64,0.5213,0.7465,0.4414
65,0.5222,0.7465,0.4471
66,0.5225,0.7465,0.5820
67,0.5223,0.7465,0.5959
68,0.5211,0.7465,0.4413
69,0.5217,0.7465,0.4421
70,0.5215,0.7465,0.4400
71,0.5229,0.7465,0.5688
72,0.5213,0.7465,0.4441
73,0.5216,0.7465,0.4433
74,0.5222,0.7465,0.4453
75,0.5217,0.7465,0.4420
76,0.5216,0.7465,0.4461
77,0.5203,0.7465,0.4651
78,0.5223,0.7465,0.4518
79,0.5217,0.7465,0.4462
80,0.5213,0.7465,0.4475
81,0.5212,0.7465,0.5692
82,0.5218,0.7465,0.4535
83,0.5217,0.7465,0.6133
84,0.5216,0.7465,0.4736
85,0.5214,0.7465,0.4578
86,0.5213,0.7465,0.5992
87,0.5212,0.7465,0.4686
88,0.5220,0.7465,0.4553
89,0.5221,0.7465,0.4558
90,0.5265,0.7465,0.4458
91,0.5243,0.7465,0.4598
92,0.5231,0.7465,0.4471
93,0.5273,0.7465,0.4453
94,0.5221,0.7465,0.5591
95,0.5215,0.7465,0.5567
96,0.5220,0.7465,0.5551
97,0.5212,0.7465,0.5572
98,0.5212,0.7465,0.5551
99,0.5216,0.7465,0.5540
100,0.5237,0.7465,0.4454
