Epoch,Loss,TestAcc,TestAuc
1,0.6464,0.7188,0.5188
2,0.5774,0.7188,0.5276
3,0.5610,0.7188,0.5419
4,0.5554,0.7188,0.4699
5,0.5582,0.7188,0.4571
6,0.5511,0.7188,0.4628
7,0.5554,0.7188,0.5493
8,0.5505,0.7188,0.4663
9,0.5517,0.7188,0.4670
10,0.5523,0.7188,0.4648
11,0.5536,0.7188,0.4751
12,0.5475,0.7188,0.5565
13,0.5527,0.7188,0.5447
14,0.5515,0.7188,0.4659
15,0.5525,0.7188,0.4525
16,0.5531,0.7188,0.5216
17,0.5498,0.7188,0.5440
18,0.5636,0.7188,0.4594
19,0.5557,0.7188,0.5408
20,0.5534,0.7188,0.4560
21,0.5494,0.7188,0.4546
22,0.5506,0.7188,0.4594
23,0.5525,0.7188,0.4953
24,0.5494,0.7188,0.5122
25,0.5502,0.7188,0.4481
26,0.5486,0.7188,0.4588
27,0.5491,0.7188,0.4631
28,0.5500,0.7188,0.4718
29,0.5497,0.7188,0.5500
30,0.5487,0.7188,0.5474
31,0.5513,0.7188,0.5298
32,0.5499,0.7188,0.5312
33,0.5528,0.7188,0.3742
34,0.5498,0.7188,0.4779
35,0.5470,0.7188,0.4724
36,0.5484,0.7188,0.4796
37,0.5485,0.7188,0.4692
38,0.5496,0.7188,0.4561
39,0.5494,0.7188,0.4689
40,0.5497,0.7188,0.4652
41,0.5460,0.7188,0.4677
42,0.5489,0.7188,0.4672
43,0.5490,0.7188,0.4635
44,0.5472,0.7188,0.4668
45,0.5486,0.7188,0.4745
46,0.5479,0.7188,0.4852
47,0.5486,0.7188,0.5315
48,0.5491,0.7188,0.4820
49,0.5490,0.7188,0.5433
50,0.5488,0.7188,0.5393
51,0.5487,0.7188,0.5256
52,0.5495,0.7188,0.4819
53,0.5495,0.7188,0.4724
54,0.5487,0.7188,0.4771
55,0.5486,0.7188,0.4715
56,0.5476,0.7188,0.4769
57,0.5494,0.7188,0.5901
58,0.5490,0.7188,0.5676
59,0.5494,0.7188,0.5063
60,0.5468,0.7188,0.4936
61,0.5498,0.7188,0.4977
62,0.5474,0.7188,0.4973
63,0.5493,0.7188,0.5051
64,0.5488,0.7188,0.4840
65,0.5495,0.7188,0.5025
66,0.5481,0.7188,0.6769
67,0.5481,0.7188,0.5992
68,0.5477,0.7188,0.5062
69,0.5504,0.7188,0.5022
70,0.5482,0.7188,0.4905
71,0.5485,0.7188,0.5448
72,0.5484,0.7188,0.4928
73,0.5489,0.7188,0.4821
74,0.5477,0.7188,0.4871
75,0.5488,0.7188,0.4874
76,0.5482,0.7188,0.4910
77,0.5478,0.7188,0.4909
78,0.5483,0.7188,0.4910
79,0.5481,0.7188,0.4910
80,0.5482,0.7188,0.4912
81,0.5481,0.7188,0.4919
82,0.5483,0.7188,0.4923
83,0.5482,0.7188,0.4927
84,0.5480,0.7188,0.4928
85,0.5483,0.7188,0.4937
86,0.5478,0.7188,0.4952
87,0.5476,0.7188,0.4961
88,0.5480,0.7188,0.4973
89,0.5474,0.7188,0.5044
90,0.5483,0.7188,0.4936
91,0.5487,0.7188,0.4909
92,0.5481,0.7188,0.4960
93,0.5481,0.7188,0.4956
94,0.5476,0.7188,0.4959
95,0.5489,0.7188,0.4987
96,0.5485,0.7188,0.4967
97,0.5482,0.7188,0.4950
98,0.5479,0.7188,0.4963
99,0.5473,0.7188,0.4963
100,0.5485,0.7188,0.4970
