Epoch,Loss,TestAcc,TestAuc
1,0.6738,0.6667,0.4794
2,0.6284,0.6667,0.4790
3,0.6447,0.6667,0.4830
4,0.6193,0.6667,0.4910
5,0.6152,0.6667,0.4898
6,0.6184,0.6667,0.4917
7,0.6146,0.6667,0.4977
8,0.6089,0.6667,0.5592
9,0.6189,0.6667,0.5001
10,0.6165,0.6667,0.4913
11,0.6157,0.6667,0.5200
12,0.6224,0.6667,0.5055
13,0.6073,0.6667,0.5067
14,0.6124,0.6667,0.5012
15,0.6075,0.6667,0.4994
16,0.6098,0.6667,0.5022
17,0.6115,0.6667,0.5201
18,0.6090,0.6667,0.5179
19,0.6085,0.6667,0.5082
20,0.6086,0.6667,0.4952
21,0.6090,0.6667,0.5085
22,0.6090,0.6667,0.4994
23,0.6100,0.6667,0.5004
24,0.6085,0.6667,0.5120
25,0.6087,0.6667,0.6102
26,0.6089,0.6667,0.5168
27,0.6059,0.6667,0.5156
28,0.6089,0.6667,0.5725
29,0.6072,0.6667,0.4972
30,0.6067,0.6667,0.4978
31,0.6079,0.6667,0.5238
32,0.6088,0.6667,0.5136
33,0.6075,0.6667,0.5096
34,0.6078,0.6667,0.5147
35,0.6084,0.6667,0.5094
36,0.6092,0.6667,0.5053
37,0.6076,0.6667,0.5097
38,0.6064,0.6667,0.5124
39,0.6066,0.6667,0.5198
40,0.6070,0.6667,0.5324
41,0.6078,0.6667,0.5043
42,0.6073,0.6667,0.5199
43,0.6064,0.6667,0.5195
44,0.6071,0.6667,0.5184
45,0.6076,0.6667,0.5190
46,0.6073,0.6667,0.5197
47,0.6060,0.6667,0.5227
48,0.6077,0.6667,0.5257
49,0.6081,0.6667,0.5114
50,0.6083,0.6667,0.5122
51,0.6066,0.6667,0.5172
52,0.6066,0.6667,0.5208
53,0.6072,0.6667,0.5211
54,0.6070,0.6667,0.5217
55,0.6069,0.6667,0.5206
56,0.6076,0.6667,0.5210
57,0.6087,0.6667,0.4876
58,0.6073,0.6667,0.5490
59,0.6069,0.6667,0.5687
60,0.6066,0.6667,0.5176
61,0.6087,0.6667,0.5186
62,0.6075,0.6667,0.4836
63,0.6072,0.6667,0.5291
64,0.6077,0.6667,0.5236
65,0.6072,0.6667,0.5237
66,0.6070,0.6667,0.5290
67,0.6078,0.6667,0.5263
68,0.6060,0.6667,0.5407
69,0.6091,0.6667,0.4951
70,0.6077,0.6667,0.4890
71,0.6070,0.6667,0.4766
72,0.6077,0.6667,0.4804
73,0.6071,0.6667,0.4808
74,0.6075,0.6667,0.4819
75,0.6070,0.6667,0.4804
76,0.6076,0.6667,0.4797
77,0.6072,0.6667,0.4842
78,0.6075,0.6667,0.5230
79,0.6074,0.6667,0.5223
80,0.6076,0.6667,0.5210
81,0.6074,0.6667,0.5212
82,0.6074,0.6667,0.5226
83,0.6072,0.6667,0.5221
84,0.6071,0.6667,0.5212
85,0.6074,0.6667,0.5235
86,0.6072,0.6667,0.5209
87,0.6073,0.6667,0.5219
88,0.6068,0.6667,0.5223
89,0.6074,0.6667,0.5243
90,0.6073,0.6667,0.5235
91,0.6081,0.6667,0.5231
92,0.6070,0.6667,0.5229
93,0.6069,0.6667,0.5264
94,0.6071,0.6667,0.5251
95,0.6074,0.6667,0.5233
96,0.6077,0.6667,0.5227
97,0.6076,0.6667,0.4596
98,0.6071,0.6667,0.4752
99,0.6072,0.6667,0.5245
100,0.6072,0.6667,0.5223
