Epoch,Loss,TestAcc,TestAuc
1,0.6719,0.6771,0.5195
2,0.6158,0.6771,0.5153
3,0.6110,0.6771,0.5106
4,0.6058,0.6771,0.5157
5,0.6015,0.6771,0.5203
6,0.6080,0.6771,0.4585
7,0.6042,0.6771,0.4015
8,0.6026,0.6771,0.5136
9,0.6126,0.6771,0.4712
10,0.6051,0.6771,0.4764
11,0.6031,0.6771,0.4672
12,0.5985,0.6771,0.4695
13,0.6001,0.6771,0.5183
14,0.5995,0.6771,0.5236
15,0.5944,0.6771,0.4714
16,0.5973,0.6771,0.4583
17,0.5934,0.6771,0.5264
18,0.5972,0.6771,0.5290
19,0.5968,0.6771,0.5248
20,0.5944,0.6771,0.5276
21,0.5977,0.6771,0.5235
22,0.5975,0.6771,0.5168
23,0.5975,0.6771,0.5161
24,0.5972,0.6771,0.5024
25,0.5956,0.6771,0.5262
26,0.5980,0.6771,0.5291
27,0.5973,0.6771,0.5372
28,0.5992,0.6771,0.5256
29,0.6010,0.6771,0.5271
30,0.5992,0.6771,0.5246
31,0.5962,0.6771,0.5246
32,0.5963,0.6771,0.5564
33,0.5963,0.6771,0.5514
34,0.5965,0.6771,0.5470
35,0.5954,0.6771,0.5300
36,0.5968,0.6771,0.5262
37,0.5955,0.6771,0.5259
38,0.5957,0.6771,0.5259
39,0.5966,0.6771,0.5261
40,0.5956,0.6771,0.5235
41,0.5959,0.6771,0.4649
42,0.5958,0.6771,0.5218
43,0.5966,0.6771,0.4702
44,0.5956,0.6771,0.4726
45,0.5959,0.6771,0.4741
46,0.5957,0.6771,0.4752
47,0.5957,0.6771,0.4757
48,0.5950,0.6771,0.4753
49,0.5956,0.6771,0.4649
50,0.5953,0.6771,0.4766
51,0.5952,0.6771,0.4781
52,0.5985,0.6771,0.4632
53,0.5954,0.6771,0.4915
54,0.5956,0.6771,0.4816
55,0.5956,0.6771,0.4760
56,0.5957,0.6771,0.4792
57,0.5953,0.6771,0.4820
58,0.5962,0.6771,0.4849
59,0.5955,0.6771,0.4811
60,0.5955,0.6771,0.4831
61,0.5946,0.6771,0.4844
62,0.5955,0.6771,0.4859
63,0.5955,0.6771,0.4839
64,0.5955,0.6771,0.4831
65,0.5957,0.6771,0.4853
66,0.5955,0.6771,0.4841
67,0.5961,0.6771,0.4891
68,0.5958,0.6771,0.4936
69,0.5957,0.6771,0.4846
70,0.5952,0.6771,0.4845
71,0.5957,0.6771,0.4860
72,0.5962,0.6771,0.5904
73,0.5960,0.6771,0.4821
74,0.5966,0.6771,0.5110
75,0.5956,0.6771,0.4866
76,0.5955,0.6771,0.4872
77,0.5955,0.6771,0.4850
78,0.5954,0.6771,0.4858
79,0.5955,0.6771,0.4894
80,0.5965,0.6771,0.4835
81,0.5959,0.6771,0.4939
82,0.5956,0.6771,0.4833
83,0.5957,0.6771,0.4937
84,0.5959,0.6771,0.5166
85,0.5954,0.6771,0.5189
86,0.5959,0.6771,0.6099
87,0.5954,0.6771,0.5615
88,0.5955,0.6771,0.5383
89,0.5953,0.6771,0.4832
90,0.5956,0.6771,0.4844
91,0.5950,0.6771,0.5573
92,0.5954,0.6771,0.5576
93,0.5956,0.6771,0.4898
94,0.5919,0.6771,0.4934
95,0.6014,0.6771,0.4819
96,0.5959,0.6771,0.4915
97,0.5964,0.6771,0.4955
98,0.5953,0.6771,0.4910
99,0.5958,0.6771,0.4326
100,0.5955,0.6771,0.4756
