Epoch,Loss,TestAcc,TestAuc
1,0.6853,0.6667,0.5167
2,0.6375,0.6667,0.5209
3,0.6250,0.6667,0.5305
4,0.6260,0.6667,0.5371
5,0.6127,0.6667,0.5279
6,0.6127,0.6667,0.5227
7,0.6173,0.6667,0.5172
8,0.6187,0.6667,0.5186
9,0.6135,0.6667,0.5228
10,0.6120,0.6667,0.5218
11,0.6104,0.6667,0.5323
12,0.6176,0.6667,0.5037
13,0.6152,0.6667,0.5492
14,0.6250,0.6667,0.5845
15,0.6115,0.6667,0.4893
16,0.6108,0.6667,0.5488
17,0.6137,0.6667,0.6136
18,0.6093,0.6667,0.5449
19,0.6097,0.6667,0.5388
20,0.6092,0.6667,0.5413
21,0.6107,0.6667,0.5431
22,0.6107,0.6667,0.6659
23,0.6110,0.6667,0.5333
24,0.6130,0.6667,0.5630
25,0.6123,0.6667,0.5326
26,0.6107,0.6667,0.5413
27,0.6094,0.6667,0.5354
28,0.6109,0.6667,0.5269
29,0.6118,0.6667,0.5253
30,0.6106,0.6667,0.5249
31,0.6109,0.6667,0.4796
32,0.6100,0.6667,0.5277
33,0.6103,0.6667,0.5243
34,0.6106,0.6667,0.3689
35,0.6159,0.6667,0.4812
36,0.6197,0.6667,0.4828
37,0.6132,0.6667,0.4794
38,0.6112,0.6667,0.5215
39,0.6124,0.6667,0.4979
40,0.6082,0.6667,0.5445
41,0.6114,0.6667,0.5294
42,0.6096,0.6667,0.6039
43,0.6112,0.6667,0.5222
44,0.6109,0.6667,0.5017
45,0.6094,0.6667,0.4927
46,0.6095,0.6667,0.4892
47,0.6091,0.6667,0.5058
48,0.6085,0.6667,0.4888
49,0.6088,0.6667,0.4988
50,0.6094,0.6667,0.5064
51,0.6090,0.6667,0.5021
52,0.6143,0.6667,0.5126
53,0.6103,0.6667,0.6287
54,0.6087,0.6667,0.5262
55,0.6103,0.6667,0.6530
56,0.6122,0.6667,0.4924
57,0.6096,0.6667,0.4704
58,0.6105,0.6667,0.4773
59,0.6097,0.6667,0.5236
60,0.6091,0.6667,0.5300
61,0.6112,0.6667,0.5228
62,0.6097,0.6667,0.5140
63,0.6100,0.6667,0.5060
64,0.6096,0.6667,0.4724
65,0.6079,0.6667,0.4814
66,0.6108,0.6667,0.4819
67,0.6097,0.6667,0.4835
68,0.6096,0.6667,0.4830
69,0.6094,0.6667,0.4676
70,0.6097,0.6667,0.4739
71,0.6105,0.6667,0.4777
72,0.6131,0.6667,0.4778
73,0.6096,0.6667,0.4815
74,0.6098,0.6667,0.4868
75,0.6101,0.6667,0.4897
76,0.6094,0.6667,0.4759
77,0.6099,0.6667,0.5120
78,0.6096,0.6667,0.5821
79,0.6087,0.6667,0.4878
80,0.6103,0.6667,0.5042
81,0.6094,0.6667,0.4903
82,0.6096,0.6667,0.5887
83,0.6096,0.6667,0.4868
84,0.6094,0.6667,0.4872
85,0.6099,0.6667,0.4892
86,0.6096,0.6667,0.4880
87,0.6089,0.6667,0.4874
88,0.6092,0.6667,0.4872
89,0.6103,0.6667,0.4870
90,0.6096,0.6667,0.4885
91,0.6094,0.6667,0.4887
92,0.6094,0.6667,0.4850
93,0.6093,0.6667,0.4911
94,0.6094,0.6667,0.4912
95,0.6094,0.6667,0.4918
96,0.6088,0.6667,0.4931
97,0.6100,0.6667,0.4954
98,0.6100,0.6667,0.6414
99,0.6101,0.6667,0.5012
100,0.6095,0.6667,0.5049
